GenCapitalCosts_index_1,GenCapitalCosts_index_2,GenCapitalCosts
C-Biomass_IGCC,2020,0.0
C-Biomass_IGCC,2030,0.0
C-Central_PV-1,2020,375677.5767678882
C-Central_PV-1,2030,375677.5767678882
C-Central_PV-2,2020,541618.2635801653
C-Central_PV-2,2030,541618.2635801653
C-Coal_IGCC,2020,2535747.500862853
C-Coal_IGCC,2030,2535747.500862853
C-Coal_ST,2020,411840.16728896805
C-Coal_ST,2030,0.0
C-Commercial_PV,2020,0.0
C-Commercial_PV,2030,0.0
C-NG_CC,2020,226819.89511360374
C-NG_CC,2030,0.0
C-NG_GT,2020,125164.37766366196
C-NG_GT,2030,0.0
C-Nuclear,2020,0.0
C-Nuclear,2030,0.0
C-Residential_PV,2020,0.0
C-Residential_PV,2030,0.0
C-Wind-1,2020,0.0
C-Wind-1,2030,498237.2053223575
C-Wind-2,2020,0.0
C-Wind-2,2030,374971.48499956884
N-Biomass_IGCC,2020,0.0
N-Biomass_IGCC,2030,0.0
N-Biomass_IGCC_CCS,2020,0.0
N-Biomass_IGCC_CCS,2030,0.0
N-Central_PV-1,2020,55503.693089175016
N-Central_PV-1,2030,55503.693089175016
N-Central_PV-2,2020,459874.97157293366
N-Central_PV-2,2030,459874.97157293366
N-Coal_IGCC,2020,0.0
N-Coal_IGCC,2030,0.0
N-Coal_IGCC_CCS,2020,0.0
N-Coal_IGCC_CCS,2030,-2.028195379073115e-10
N-Coal_ST,2020,411840.16728896805
N-Coal_ST,2030,411840.16728896805
N-Commercial_PV,2020,0.0
N-Commercial_PV,2030,0.0
N-Geothermal,2020,458317.52960571623
N-Geothermal,2030,0.0
N-NG_CC,2020,226819.89511360374
N-NG_CC,2030,0.0
N-NG_CC_CCS,2020,0.0
N-NG_CC_CCS,2030,0.0
N-NG_GT,2020,125164.37766366196
N-NG_GT,2030,0.0
N-Nuclear,2020,0.0
N-Nuclear,2030,0.0
N-Residential_PV,2020,0.0
N-Residential_PV,2030,0.0
N-Wind-1,2020,0.0
N-Wind-1,2030,565024.2978911747
N-Wind-2,2020,0.0
N-Wind-2,2030,154859.5875847584
S-Biomass_IGCC,2020,0.0
S-Biomass_IGCC,2030,0.0
S-Biomass_IGCC_CCS,2020,0.0
S-Biomass_IGCC_CCS,2030,0.0
S-Central_PV-1,2020,0.0
S-Central_PV-1,2030,0.0
S-Central_PV-2,2020,0.0
S-Central_PV-2,2030,0.0
S-Commercial_PV,2020,0.0
S-Commercial_PV,2030,0.0
S-Geothermal,2020,1367975.6355844461
S-Geothermal,2030,0.0
S-NG_CC,2020,0.0
S-NG_CC,2030,0.0
S-NG_CC_CCS,2020,0.0
S-NG_CC_CCS,2030,0.0
S-NG_GT,2020,125164.37766366196
S-NG_GT,2030,0.0
S-Residential_PV,2020,0.0
S-Residential_PV,2030,0.0
