GenFixedOMCosts_index_1,GenFixedOMCosts_index_2,GenFixedOMCosts
C-Biomass_IGCC,2020,0.0
C-Biomass_IGCC,2030,0.0
C-Central_PV-1,2020,66960.0
C-Central_PV-1,2030,66960.0
C-Central_PV-2,2020,100440.0
C-Central_PV-2,2030,100440.0
C-Coal_IGCC,2020,257221.80906028565
C-Coal_IGCC,2030,257221.80906028565
C-Coal_ST,2020,42780.0
C-Coal_ST,2030,0.0
C-Commercial_PV,2020,0.0
C-Commercial_PV,2030,0.0
C-NG_CC,2020,11736.6
C-NG_CC,2030,0.0
C-NG_GT,2020,9783.6
C-NG_GT,2030,0.0
C-Nuclear,2020,0.0
C-Nuclear,2030,0.0
C-Residential_PV,2020,0.0
C-Residential_PV,2030,0.0
C-Wind-1,2020,0.0
C-Wind-1,2030,178560.0
C-Wind-2,2020,0.0
C-Wind-2,2030,133920.0
N-Biomass_IGCC,2020,0.0
N-Biomass_IGCC,2030,0.0
N-Biomass_IGCC_CCS,2020,0.0
N-Biomass_IGCC_CCS,2030,0.0
N-Central_PV-1,2020,10315.383230462221
N-Central_PV-1,2030,10315.383230462221
N-Central_PV-2,2020,83700.0
N-Central_PV-2,2030,83700.0
N-Coal_IGCC,2020,0.0
N-Coal_IGCC,2030,0.0
N-Coal_IGCC_CCS,2020,0.0
N-Coal_IGCC_CCS,2030,-1.8021066865136407e-11
N-Coal_ST,2020,42780.0
N-Coal_ST,2030,42780.0
N-Commercial_PV,2020,0.0
N-Commercial_PV,2030,0.0
N-Geothermal,2020,0.0
N-Geothermal,2030,0.0
N-NG_CC,2020,11736.6
N-NG_CC,2030,0.0
N-NG_CC_CCS,2020,0.0
N-NG_CC_CCS,2030,0.0
N-NG_GT,2020,9783.6
N-NG_GT,2030,0.0
N-Nuclear,2020,0.0
N-Nuclear,2030,0.0
N-Residential_PV,2020,0.0
N-Residential_PV,2030,0.0
N-Wind-1,2020,0.0
N-Wind-1,2030,204514.50957578162
N-Wind-2,2020,0.0
N-Wind-2,2030,55800.0
S-Biomass_IGCC,2020,0.0
S-Biomass_IGCC,2030,0.0
S-Biomass_IGCC_CCS,2020,0.0
S-Biomass_IGCC_CCS,2030,0.0
S-Central_PV-1,2020,0.0
S-Central_PV-1,2030,0.0
S-Central_PV-2,2020,0.0
S-Central_PV-2,2030,0.0
S-Commercial_PV,2020,0.0
S-Commercial_PV,2030,0.0
S-Geothermal,2020,0.0
S-Geothermal,2030,0.0
S-NG_CC,2020,0.0
S-NG_CC,2030,0.0
S-NG_CC_CCS,2020,0.0
S-NG_CC_CCS,2030,0.0
S-NG_GT,2020,9783.6
S-NG_GT,2030,0.0
S-Residential_PV,2020,0.0
S-Residential_PV,2030,0.0
