TXPowerNet_index_1,TXPowerNet_index_2,TXPowerNet
Central,1,-6.784975877590531
Central,2,-7.524152223947418
Central,3,-6.890572498498672
Central,4,-7.207362361223066
Central,5,-7.52415222394746
Central,6,-10.13338601486614
Central,7,-11.857726289417325
North,1,2.6192502954065473
North,2,1.5632840863252344
North,3,2.0912671908658944
North,4,1.7744773281415007
North,5,1.5632840863252415
North,6,1.9112813751432287
North,7,0.05986469790492019
South,1,3.4300550044878504
South,2,4.4860212135691375
South,3,3.9580381090285117
South,4,4.6972144553854305
South,5,5.541987422650479
South,6,7.653919840813093
South,7,11.087645195353717
