PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerTP,timepoint,10370768.141025526,1714125.1660072987
2020,GenVariableOMCostsInTP,timepoint,9763208.594317151,1613705.1108388654
2020,LocalTDFixedCosts,annual,12301562.251187941,2033255.121436115
2020,TotalGenFixedCosts,annual,49033995.11026465,8104549.621150053
2020,TxFixedCosts,annual,2191632.3229565923,362242.4171796634
2030,FuelCostsPerTP,timepoint,5782860.537646799,1556923.6498758039
2030,GenVariableOMCostsInTP,timepoint,1613153.5766922066,434310.4832086885
2030,LocalTDFixedCosts,annual,7948301.128537895,2139926.758183739
2030,TotalGenFixedCosts,annual,26399538.3142037,7107566.450826372
2030,TxFixedCosts,annual,1345472.1299513734,362242.4171796634
