gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2020,11.897949635958753,0.0,0.0,7.246484665005071,1432674.5050101622,261415.3832304622,142.38502767910836,0.1873028870041572
Central_PV,Solar,2030,24.320719461605965,0.0,0.0,7.246484665005071,1432674.5050101622,261415.3832304622,69.65643138530703,0.3828666817991667
Coal_IGCC,Coal,2020,78.89422976032321,383880.3873985902,59911.0157723133,11.1166636007799,2535747.500862853,257221.80906028565,40.267199603479774,0.8095999999999977
Coal_IGCC,Coal,2030,78.89444576154364,383881.4384086885,59911.17980018407,11.1166636007799,2535747.500862853,257221.80906028565,40.2672129252411,0.8095999999999977
Coal_IGCC_CCS,Coal,2030,-3.0973233402201476e-15,-3.053341348789021e-11,-4.606482987378395e-13,-4.36429983171956e-16,-2.028195379073115e-10,-1.8021066865136407e-11,81.158690545014,0.8095999999999989
Coal_ST,Coal,2020,29.664062784000002,103824.219744,26209.97931343104,4.0,823680.3345779361,85560.0,34.151240903803505,0.846
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
Commercial_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248005,1126000.5036962752,0.0,4.0,1826293.1651901624,0.0,86.92875369396619,0.96858075
Geothermal,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,NaturalGas,2020,0.0,0.0,0.0,4.0,453639.7902272075,23473.2,0.0,0.0
NG_CC,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,NaturalGas,2020,0.0,0.0,0.0,6.0,375493.1329909859,29350.800000000003,0.0,0.0
NG_GT,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2030,83.49277524940007,0.0,0.0,11.66513458021114,1593092.5757978593,572794.5095757816,25.941083031386,0.816502797519504
