generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2020,3.3933186,0.0,0.0,2.0,375677.5767678882,66960.0,130.44386011024375,0.19355052991247065
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2030,6.700730399999999,0.0,0.0,2.0,375677.5767678882,66960.0,66.05828950331208,0.3822
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2020,4.6389672,0.0,0.0,3.0,541618.2635801653,100440.0,138.4054329119131,0.1764004829582011
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2030,10.5665364,0.0,0.0,3.0,541618.2635801653,100440.0,60.76352715206662,0.4018
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2020,78.89422976032321,383880.3873985902,59911.0157723133,11.1166636007799,2535747.500862853,257221.80906028565,40.267199603479774,0.8095999999999977
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2030,78.89444576154364,383881.4384086885,59911.17980018407,11.1166636007799,2535747.500862853,257221.80906028565,40.2672129252411,0.8095999999999977
C-Coal_ST,C-Coal_ST,Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648,2.0,411840.16728896805,42780.0,34.251240903803506,0.846
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-NG_CC,C-NG_CC,NG_CC,Central,NaturalGas,2020,0.0,0.0,0.0,2.0,226819.89511360374,11736.6,0.0,0.0
C-NG_CC,C-NG_CC,NG_CC,Central,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
