load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,2.66058,2.61925,5.27983
North,2025011512,2.66058,1.56328,4.22386
North,2025011600,2.66058,2.09127,4.75185
North,2025011612,2.66058,1.77448,4.43506
North,2025061500,2.66058,1.56328,4.22386
North,2025061512,4.42452,1.91128,6.3358
North,2035011512,6.27593,0.0598647,6.3358
Central,2025011500,10.6921,-6.78498,3.90707
Central,2025011512,10.6921,-7.52415,3.1679
Central,2025011600,10.6921,-6.89057,3.80148
Central,2025011612,10.6921,-7.20736,3.48469
Central,2025061500,10.6921,-7.52415,3.1679
Central,2025061512,14.3573,-10.1334,4.22386
Central,2035011512,16.7152,-11.8577,4.85744
South,2025011500,2.90574,3.43006,6.3358
South,2025011512,2.90574,4.48602,7.39176
South,2025011600,2.90574,3.95804,6.86378
South,2025011612,2.90574,4.69721,7.60296
South,2025061500,2.90574,5.54199,8.44773
South,2025061512,2.90574,7.65392,10.5597
South,2035011512,0,11.0876,11.0876
