PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,TotalGenFixedCosts,26133910.669195384,4260036.585435422,annual
2020,LocalTDFixedCosts,12473345.391672084,2033255.1214361135,annual
2020,FuelCostsPerPeriod,19911254.652011786,3245693.855511407,annual
2020,TxFixedCosts,1144663.9755519226,186589.3886148835,annual
2030,TotalGenFixedCosts,17062562.49804407,5471305.418789327,annual
2030,LocalTDFixedCosts,8027601.104064253,2574141.9218585,annual
2030,FuelCostsPerPeriod,9036268.980153112,2897582.789362213,annual
2030,TxFixedCosts,791691.3447292544,253864.86613146888,annual
2020,GenVariableOMCostsInTP,11028059.629809106,1797661.9758146834,timepoint
2030,GenVariableOMCostsInTP,4266361.819117821,1368057.6139797906,timepoint
