generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
N-Geothermal,2025011500,0.0,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011512,0.0,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011600,0.0,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011612,0.0,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025061500,0.0,0.96858075,2.122644713625,61195.84709380875,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-Geothermal,2025061512,0.0,0.96858075,2.122644713625,61195.84709380875,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-Geothermal,2035011512,0.0,0.96858075,8.4905788545,244783.388375235,N-Geothermal,Geothermal,North,Geothermal,2030,8766.0
N-Coal_IGCC,2025011500,-1.2933283848042275e-12,-1.55431223447522e-15,-1.7031283050528155e-15,-1.0358766976992236e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011512,-1.2933283848042275e-12,-1.55431223447522e-15,-1.7031283050528155e-15,-1.0358766976992236e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011600,-1.2933283848042275e-12,-1.55431223447522e-15,-1.7031283050528155e-15,-1.0358766976992236e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011612,-1.2933283848042275e-12,-1.55431223447522e-15,-1.7031283050528155e-15,-1.0358766976992236e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
N-Coal_IGCC,2025061512,-2.586670933446557e-12,-1.55431223447522e-15,-3.4062752618524445e-15,-2.071764739763894e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
N-Coal_IGCC,2035011512,-1.0346683733786228e-11,-1.55431223447522e-15,-1.3625101047409778e-14,-8.287058959055575e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2030,8766.0
N-Coal_IGCC_CCS,2035011512,-7.559356697236348e-13,-5.79829685129872e-16,-5.082787019848458e-15,-5.010611444166609e-11,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2030,8766.0
N-Coal_ST,2025011500,1593.8457296486404,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011512,1593.8457296486404,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011600,1593.8457296486404,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011612,1593.8457296486404,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025061500,3187.70891424,1.692,3.708018,12607.261199999999,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-Coal_ST,2025061512,3187.70891424,1.692,3.708018,12607.261199999999,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-Coal_ST,2035011512,12750.83565696,1.692,14.832072,50429.044799999996,N-Coal_ST,Coal,North,Coal_ST,2030,8766.0
N-NG_CC,2025011500,732.8801826178561,1.88,2.05999872,7030.981631232001,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011512,609.4148546115034,1.56328408632524,1.7129591578863639,5846.500901781948,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011600,732.8801826178561,1.88,2.05999872,7030.981631232001,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011612,691.7442916487195,1.7744773281415,1.9443728854470799,6636.339095319429,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025061500,1253.01294393198,1.60711907044805,3.5220014428869018,12020.943124717283,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
N-NG_CC,2025061512,1465.768391346,1.88,4.120019999999999,14062.040261999999,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
N-NG_CC,2035011512,5863.073565384,1.88,16.480079999999997,56248.161047999994,N-NG_CC,NaturalGas,North,NG_CC,2030,8766.0
N-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2030,8766.0
N-NG_GT,2025011500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011600,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011612,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025061500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2025061512,2168.9078495002836,1.79521650448786,3.934216969585145,109398.77127325413,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2035011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2030,8766.0
N-Nuclear,2035011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2030,8766.0
N-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
