GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Oahu_AES,1993,180.0,.
Oahu_Airport_DSG,2013,8.0,.
Oahu_CentralTrackingPV_PV_01_X_00_15,2017,27.6,.
Oahu_CentralTrackingPV_PV_02_X_00_15,2017,5.0,.
Oahu_CentralTrackingPV_PV_02_X_00_15,2020,5.0,.
Oahu_CentralTrackingPV_PV_04_B_00_15,2014,5.0,.
Oahu_CentralTrackingPV_PV_04_X_15_17,2012,6.0,.
Oahu_CentralTrackingPV_PV_05_C_00_15,2020,20.0,.
Oahu_CentralTrackingPV_PV_06_C_00_15,2012,1.0,.
Oahu_CentralTrackingPV_PV_07_B_00_15,2016,6.5,.
Oahu_CentralTrackingPV_PV_07_X_00_15,2020,60.599999999999994,.
Oahu_CentralTrackingPV_PV_11_B_00_15,2020,49.0,.
Oahu_CIP_CT,2009,113.0,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2013,42.438417282539916,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2014,24.842000360511154,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2015,13.95187975429268,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2016,29.156297341888465,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2017,29.03452283031732,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2018,61.43524108763668,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2019,12.403603821459699,.
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2020,109.17954780291888,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2013,2.758077967717952,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2014,1.6144846640300197,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2015,0.9067343841401091,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2016,1.8948713563825739,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2017,1.8869572158726218,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2018,3.99268388727032,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2019,0.8061117405135881,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2020,7.095592262921858,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2013,3.59350474974214,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2014,2.1035149754588125,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2015,1.1813858615672042,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2016,2.4688313017289722,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2017,2.4585199538100553,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2018,5.202075025092997,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2019,1.0502844380267038,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2020,9.24485993415933,.
Oahu_Hawaii_Cogen,1982,12.2,.
Oahu_H-Power,1989,73.0,.
Oahu_IC_Schofield,2018,48.84,.
Oahu_Kahe_1,1963,82.1,.
Oahu_Kahe_2,1964,82.1,.
Oahu_Kahe_3,1970,86.1,.
Oahu_Kahe_4,1972,85.3,.
Oahu_Kahe_5,1974,134.3,.
Oahu_Kahe_6,1981,134.4,.
Oahu_Kalaeloa_CC1,1989,90.0,.
Oahu_Kalaeloa_CC2,1991,90.0,.
Oahu_Kalaeloa_CC3,1991,28.0,.
Oahu_OnshoreWind_OnWind_Kahuku,2011,30.0,.
Oahu_OnshoreWind_OnWind_Kawailoa,2012,69.0,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2013,16.7721489794237,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2014,17.543749053537628,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2015,10.979176286772732,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2016,6.325687294902997,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2017,8.270215035858833,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2018,4.866097061826824,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2019,3.9989427989681237,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2020,3.6979471044221506,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2013,7.147722900839745,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2014,7.476552767948596,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2015,4.678953774712929,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2016,2.6957940808180654,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2017,3.5244860678973366,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2018,2.0737660659465296,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2019,1.704214233870631,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2020,1.5759400442244607,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2013,11.136094108409349,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2014,11.648408365212687,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2015,7.289771901758921,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2016,4.200025238437252,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2017,5.491120610071667,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2018,3.230910653586367,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2019,2.6551519067764136,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2020,2.4553017632556178,.
