timepoint_id,timestamp,timeseries
2020012300,2020-01-23-00:00,20200123
2020012302,2020-01-23-02:00,20200123
2020012304,2020-01-23-04:00,20200123
2020012306,2020-01-23-06:00,20200123
2020012308,2020-01-23-08:00,20200123
2020012310,2020-01-23-10:00,20200123
2020012312,2020-01-23-12:00,20200123
2020012314,2020-01-23-14:00,20200123
2020012316,2020-01-23-16:00,20200123
2020012318,2020-01-23-18:00,20200123
2020012320,2020-01-23-20:00,20200123
2020012322,2020-01-23-22:00,20200123
2020022300,2020-02-23-00:00,20200223
2020022302,2020-02-23-02:00,20200223
2020022304,2020-02-23-04:00,20200223
2020022306,2020-02-23-06:00,20200223
2020022308,2020-02-23-08:00,20200223
2020022310,2020-02-23-10:00,20200223
2020022312,2020-02-23-12:00,20200223
2020022314,2020-02-23-14:00,20200223
2020022316,2020-02-23-16:00,20200223
2020022318,2020-02-23-18:00,20200223
2020022320,2020-02-23-20:00,20200223
2020022322,2020-02-23-22:00,20200223
2020032300,2020-03-23-00:00,20200323
2020032302,2020-03-23-02:00,20200323
2020032304,2020-03-23-04:00,20200323
2020032306,2020-03-23-06:00,20200323
2020032308,2020-03-23-08:00,20200323
2020032310,2020-03-23-10:00,20200323
2020032312,2020-03-23-12:00,20200323
2020032314,2020-03-23-14:00,20200323
2020032316,2020-03-23-16:00,20200323
2020032318,2020-03-23-18:00,20200323
2020032320,2020-03-23-20:00,20200323
2020032322,2020-03-23-22:00,20200323
2020042300,2020-04-23-00:00,20200423
2020042302,2020-04-23-02:00,20200423
2020042304,2020-04-23-04:00,20200423
2020042306,2020-04-23-06:00,20200423
2020042308,2020-04-23-08:00,20200423
2020042310,2020-04-23-10:00,20200423
2020042312,2020-04-23-12:00,20200423
2020042314,2020-04-23-14:00,20200423
2020042316,2020-04-23-16:00,20200423
2020042318,2020-04-23-18:00,20200423
2020042320,2020-04-23-20:00,20200423
2020042322,2020-04-23-22:00,20200423
2020052300,2020-05-23-00:00,20200523
2020052302,2020-05-23-02:00,20200523
2020052304,2020-05-23-04:00,20200523
2020052306,2020-05-23-06:00,20200523
2020052308,2020-05-23-08:00,20200523
2020052310,2020-05-23-10:00,20200523
2020052312,2020-05-23-12:00,20200523
2020052314,2020-05-23-14:00,20200523
2020052316,2020-05-23-16:00,20200523
2020052318,2020-05-23-18:00,20200523
2020052320,2020-05-23-20:00,20200523
2020052322,2020-05-23-22:00,20200523
2020062300,2020-06-23-00:00,20200623
2020062302,2020-06-23-02:00,20200623
2020062304,2020-06-23-04:00,20200623
2020062306,2020-06-23-06:00,20200623
2020062308,2020-06-23-08:00,20200623
2020062310,2020-06-23-10:00,20200623
2020062312,2020-06-23-12:00,20200623
2020062314,2020-06-23-14:00,20200623
2020062316,2020-06-23-16:00,20200623
2020062318,2020-06-23-18:00,20200623
2020062320,2020-06-23-20:00,20200623
2020062322,2020-06-23-22:00,20200623
2020072300,2020-07-23-00:00,20200723
2020072302,2020-07-23-02:00,20200723
2020072304,2020-07-23-04:00,20200723
2020072306,2020-07-23-06:00,20200723
2020072308,2020-07-23-08:00,20200723
2020072310,2020-07-23-10:00,20200723
2020072312,2020-07-23-12:00,20200723
2020072314,2020-07-23-14:00,20200723
2020072316,2020-07-23-16:00,20200723
2020072318,2020-07-23-18:00,20200723
2020072320,2020-07-23-20:00,20200723
2020072322,2020-07-23-22:00,20200723
2020082300,2020-08-23-00:00,20200823
2020082302,2020-08-23-02:00,20200823
2020082304,2020-08-23-04:00,20200823
2020082306,2020-08-23-06:00,20200823
2020082308,2020-08-23-08:00,20200823
2020082310,2020-08-23-10:00,20200823
2020082312,2020-08-23-12:00,20200823
2020082314,2020-08-23-14:00,20200823
2020082316,2020-08-23-16:00,20200823
2020082318,2020-08-23-18:00,20200823
2020082320,2020-08-23-20:00,20200823
2020082322,2020-08-23-22:00,20200823
2020092300,2020-09-23-00:00,20200923
2020092302,2020-09-23-02:00,20200923
2020092304,2020-09-23-04:00,20200923
2020092306,2020-09-23-06:00,20200923
2020092308,2020-09-23-08:00,20200923
2020092310,2020-09-23-10:00,20200923
2020092312,2020-09-23-12:00,20200923
2020092314,2020-09-23-14:00,20200923
2020092316,2020-09-23-16:00,20200923
2020092318,2020-09-23-18:00,20200923
2020092320,2020-09-23-20:00,20200923
2020092322,2020-09-23-22:00,20200923
2020102300,2020-10-23-00:00,20201023
2020102302,2020-10-23-02:00,20201023
2020102304,2020-10-23-04:00,20201023
2020102306,2020-10-23-06:00,20201023
2020102308,2020-10-23-08:00,20201023
2020102310,2020-10-23-10:00,20201023
2020102312,2020-10-23-12:00,20201023
2020102314,2020-10-23-14:00,20201023
2020102316,2020-10-23-16:00,20201023
2020102318,2020-10-23-18:00,20201023
2020102320,2020-10-23-20:00,20201023
2020102322,2020-10-23-22:00,20201023
2020112300,2020-11-23-00:00,20201123
2020112302,2020-11-23-02:00,20201123
2020112304,2020-11-23-04:00,20201123
2020112306,2020-11-23-06:00,20201123
2020112308,2020-11-23-08:00,20201123
2020112310,2020-11-23-10:00,20201123
2020112312,2020-11-23-12:00,20201123
2020112314,2020-11-23-14:00,20201123
2020112316,2020-11-23-16:00,20201123
2020112318,2020-11-23-18:00,20201123
2020112320,2020-11-23-20:00,20201123
2020112322,2020-11-23-22:00,20201123
2020122300,2020-12-23-00:00,20201223
2020122302,2020-12-23-02:00,20201223
2020122304,2020-12-23-04:00,20201223
2020122306,2020-12-23-06:00,20201223
2020122308,2020-12-23-08:00,20201223
2020122310,2020-12-23-10:00,20201223
2020122312,2020-12-23-12:00,20201223
2020122314,2020-12-23-14:00,20201223
2020122316,2020-12-23-16:00,20201223
2020122318,2020-12-23-18:00,20201223
2020122320,2020-12-23-20:00,20201223
2020122322,2020-12-23-22:00,20201223
2025012300,2025-01-23-00:00,20250123
2025012302,2025-01-23-02:00,20250123
2025012304,2025-01-23-04:00,20250123
2025012306,2025-01-23-06:00,20250123
2025012308,2025-01-23-08:00,20250123
2025012310,2025-01-23-10:00,20250123
2025012312,2025-01-23-12:00,20250123
2025012314,2025-01-23-14:00,20250123
2025012316,2025-01-23-16:00,20250123
2025012318,2025-01-23-18:00,20250123
2025012320,2025-01-23-20:00,20250123
2025012322,2025-01-23-22:00,20250123
2025022300,2025-02-23-00:00,20250223
2025022302,2025-02-23-02:00,20250223
2025022304,2025-02-23-04:00,20250223
2025022306,2025-02-23-06:00,20250223
2025022308,2025-02-23-08:00,20250223
2025022310,2025-02-23-10:00,20250223
2025022312,2025-02-23-12:00,20250223
2025022314,2025-02-23-14:00,20250223
2025022316,2025-02-23-16:00,20250223
2025022318,2025-02-23-18:00,20250223
2025022320,2025-02-23-20:00,20250223
2025022322,2025-02-23-22:00,20250223
2025032300,2025-03-23-00:00,20250323
2025032302,2025-03-23-02:00,20250323
2025032304,2025-03-23-04:00,20250323
