GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_AES,Oahu,AES,0.0,180.0,180.0,61,0.0,0,0,0,0,2.0,multiple,.,24.0,24.0,0.0,.,.,.
Oahu_Airport_DSG,Oahu,Airport_DSG,0.0,8.0,8.0,61,0.0,0,0,0,0,37.46,multiple,.,1.0,1.0,15.75,.,.,.
Oahu_Battery_4,Oahu,Battery_4,153000.0,3000.0,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.88,4.0,365.0
Oahu_Battery_6,Oahu,Battery_6,153000.0,3000.0,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.88,6.0,365.0
Oahu_Battery_Conting,Oahu,Battery_Conting,153000.0,3000.0,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.88,0.0,.
Oahu_Battery_Reg,Oahu,Battery_Reg,153000.0,3000.0,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.88,0.0,.
Oahu_CC_152,Oahu,CC_152,154728.859257,1505.86,150.586,30,0.05,0,0,0,0,4.49,multiple,.,.,.,.,.,.,.
Oahu_CIP_CT,Oahu,CIP_CT,0.0,113.0,113.0,61,0.0,0,0,0,0,40.76,multiple,.,1.0,1.0,1.11504424779,.,.,.
Oahu_CentralTrackingPV_PV_01,Oahu,CentralTrackingPV,445104.888173,272.066085442,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_02,Oahu,CentralTrackingPV,440662.005014,235.386587132,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_03,Oahu,CentralTrackingPV,436438.934452,74.0786511353,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_04,Oahu,CentralTrackingPV,429074.514586,246.034665955,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_05,Oahu,CentralTrackingPV,424814.338131,34.1890525823,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_06,Oahu,CentralTrackingPV,416193.337838,5.40065683847,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_07,Oahu,CentralTrackingPV,425997.378551,382.345403729,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_08,Oahu,CentralTrackingPV,432118.783808,728.008319372,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_09,Oahu,CentralTrackingPV,448640.957901,338.270244585,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_10,Oahu,CentralTrackingPV,438034.999705,1248.96028196,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_11,Oahu,CentralTrackingPV,445272.538963,346.391874227,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_12,Oahu,CentralTrackingPV,449881.914465,246.924233801,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_13,Oahu,CentralTrackingPV,448572.798148,489.409195047,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_14,Oahu,CentralTrackingPV,438991.076971,103.340691038,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_15,Oahu,CentralTrackingPV,428848.107774,252.478623361,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_16,Oahu,CentralTrackingPV,434037.984398,254.376785129,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_17,Oahu,CentralTrackingPV,438923.026354,8.01186714309,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_18,Oahu,CentralTrackingPV,429887.151214,0.493028702088,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
