GENERATION_PROJECT	SPINNING_RESERVE_TYPE
Oahu_AES	contingency
Oahu_AES	regulation
Oahu_Airport_DSG	contingency
Oahu_Airport_DSG	regulation
Oahu_Battery_Conting	contingency
Oahu_Battery_Reg	contingency
Oahu_Battery_Reg	regulation
Oahu_CC_152	contingency
Oahu_CC_152	regulation
Oahu_CIP_CT	contingency
Oahu_CIP_CT	regulation
Oahu_CentralTrackingPV_PV_01	contingency
Oahu_CentralTrackingPV_PV_01	regulation
Oahu_CentralTrackingPV_PV_02	contingency
Oahu_CentralTrackingPV_PV_02	regulation
Oahu_CentralTrackingPV_PV_03	contingency
Oahu_CentralTrackingPV_PV_03	regulation
Oahu_CentralTrackingPV_PV_04	contingency
Oahu_CentralTrackingPV_PV_04	regulation
Oahu_CentralTrackingPV_PV_05	contingency
Oahu_CentralTrackingPV_PV_05	regulation
Oahu_CentralTrackingPV_PV_06	contingency
Oahu_CentralTrackingPV_PV_06	regulation
Oahu_CentralTrackingPV_PV_07	contingency
Oahu_CentralTrackingPV_PV_07	regulation
Oahu_CentralTrackingPV_PV_08	contingency
Oahu_CentralTrackingPV_PV_08	regulation
Oahu_CentralTrackingPV_PV_09	contingency
Oahu_CentralTrackingPV_PV_09	regulation
Oahu_CentralTrackingPV_PV_10	contingency
Oahu_CentralTrackingPV_PV_10	regulation
Oahu_CentralTrackingPV_PV_11	contingency
Oahu_CentralTrackingPV_PV_11	regulation
Oahu_CentralTrackingPV_PV_12	contingency
Oahu_CentralTrackingPV_PV_12	regulation
Oahu_CentralTrackingPV_PV_13	contingency
Oahu_CentralTrackingPV_PV_13	regulation
Oahu_CentralTrackingPV_PV_14	contingency
Oahu_CentralTrackingPV_PV_14	regulation
Oahu_CentralTrackingPV_PV_15	contingency
Oahu_CentralTrackingPV_PV_15	regulation
Oahu_CentralTrackingPV_PV_16	contingency
Oahu_CentralTrackingPV_PV_16	regulation
Oahu_CentralTrackingPV_PV_17	contingency
Oahu_CentralTrackingPV_PV_17	regulation
Oahu_CentralTrackingPV_PV_18	contingency
Oahu_CentralTrackingPV_PV_18	regulation
Oahu_FlatDistPV_Oahu_FlatDistPV_0	contingency
Oahu_FlatDistPV_Oahu_FlatDistPV_0	regulation
Oahu_FlatDistPV_Oahu_FlatDistPV_1	contingency
Oahu_FlatDistPV_Oahu_FlatDistPV_1	regulation
Oahu_FlatDistPV_Oahu_FlatDistPV_2	contingency
Oahu_FlatDistPV_Oahu_FlatDistPV_2	regulation
Oahu_FlatDistPV_Oahu_FlatDistPV_3	contingency
Oahu_FlatDistPV_Oahu_FlatDistPV_3	regulation
Oahu_H-Power	contingency
Oahu_H-Power	regulation
Oahu_Honolulu_8	contingency
Oahu_Honolulu_8	regulation
Oahu_Honolulu_9	contingency
Oahu_Honolulu_9	regulation
Oahu_IC_Barge	contingency
Oahu_IC_Barge	regulation
Oahu_IC_MCBH	contingency
