TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20070112,2020,2.0,12,153.1292984869326
20070119,2020,2.0,12,112.96423658872075
20070212,2020,2.0,12,133.0467675378267
20070502,2020,2.0,12,90.37138927097661
20070922,2020,2.0,12,223.4181568088033
20071027,2020,2.0,12,178.23246217331499
20071215,2020,2.0,12,92.88170563961486
20080220,2020,2.0,12,170.7015130674003
20080410,2020,2.0,12,125.51581843191195
20080617,2020,2.0,12,138.06740027510318
20080818,2020,2.0,12,170.7015130674003
20080910,2020,2.0,12,203.33562585969736
20081122,2020,2.0,12,32.63411279229711
25070112,2025,2.0,12,153.1292984869326
25070119,2025,2.0,12,112.96423658872075
25070212,2025,2.0,12,133.0467675378267
25070502,2025,2.0,12,90.37138927097661
25070922,2025,2.0,12,223.4181568088033
25071027,2025,2.0,12,178.23246217331499
25071215,2025,2.0,12,92.88170563961486
25080220,2025,2.0,12,170.7015130674003
25080410,2025,2.0,12,125.51581843191195
25080617,2025,2.0,12,138.06740027510318
25080818,2025,2.0,12,170.7015130674003
25080910,2025,2.0,12,203.33562585969736
25081122,2025,2.0,12,32.63411279229711
30070112,2030,2.0,12,153.1292984869326
30070119,2030,2.0,12,112.96423658872075
30070212,2030,2.0,12,133.0467675378267
30070502,2030,2.0,12,90.37138927097661
30070922,2030,2.0,12,223.4181568088033
30071027,2030,2.0,12,178.23246217331499
30071215,2030,2.0,12,92.88170563961486
30080220,2030,2.0,12,170.7015130674003
30080410,2030,2.0,12,125.51581843191195
30080617,2030,2.0,12,138.06740027510318
30080818,2030,2.0,12,170.7015130674003
30080910,2030,2.0,12,203.33562585969736
30081122,2030,2.0,12,32.63411279229711
35070112,2035,2.0,12,153.1292984869326
35070119,2035,2.0,12,112.96423658872075
35070212,2035,2.0,12,133.0467675378267
35070502,2035,2.0,12,90.37138927097661
35070922,2035,2.0,12,223.4181568088033
35071027,2035,2.0,12,178.23246217331499
35071215,2035,2.0,12,92.88170563961486
35080220,2035,2.0,12,170.7015130674003
35080410,2035,2.0,12,125.51581843191195
35080617,2035,2.0,12,138.06740027510318
35080818,2035,2.0,12,170.7015130674003
35080910,2035,2.0,12,203.33562585969736
35081122,2035,2.0,12,32.63411279229711
40070112,2040,2.0,12,153.1292984869326
40070119,2040,2.0,12,112.96423658872075
40070212,2040,2.0,12,133.0467675378267
40070502,2040,2.0,12,90.37138927097661
40070922,2040,2.0,12,223.4181568088033
40071027,2040,2.0,12,178.23246217331499
40071215,2040,2.0,12,92.88170563961486
40080220,2040,2.0,12,170.7015130674003
40080410,2040,2.0,12,125.51581843191195
40080617,2040,2.0,12,138.06740027510318
40080818,2040,2.0,12,170.7015130674003
40080910,2040,2.0,12,203.33562585969736
40081122,2040,2.0,12,32.63411279229711
45070112,2045,2.0,12,153.1292984869326
45070119,2045,2.0,12,112.96423658872075
45070212,2045,2.0,12,133.0467675378267
45070502,2045,2.0,12,90.37138927097661
45070922,2045,2.0,12,223.4181568088033
45071027,2045,2.0,12,178.23246217331499
45071215,2045,2.0,12,92.88170563961486
45080220,2045,2.0,12,170.7015130674003
45080410,2045,2.0,12,125.51581843191195
45080617,2045,2.0,12,138.06740027510318
45080818,2045,2.0,12,170.7015130674003
45080910,2045,2.0,12,203.33562585969736
45081122,2045,2.0,12,32.63411279229711
