GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_AES,1992,1850000.0,.,0.0
Oahu_Airport_DSG,2013,530587.244468,.,0.0
Oahu_Battery_4,2020,1813835.26184,0.0,19470.0
Oahu_Battery_4,2025,1338821.07354,0.0,19470.0
Oahu_Battery_4,2030,1086689.11174,0.0,19470.0
Oahu_Battery_4,2035,929115.722736,0.0,19470.0
Oahu_Battery_4,2040,816590.642578,0.0,19470.0
Oahu_Battery_4,2045,729618.531047,0.0,19470.0
Oahu_Battery_6,2020,2184423.78043,0.0,27490.0
Oahu_Battery_6,2025,1612206.29276,0.0,27490.0
Oahu_Battery_6,2030,1308700.86576,0.0,27490.0
Oahu_Battery_6,2035,1118643.92998,0.0,27490.0
Oahu_Battery_6,2040,983427.996528,0.0,27490.0
Oahu_Battery_6,2045,879238.017397,0.0,27490.0
Oahu_Battery_Conting,2020,501877.415879,0.0,5420.0
Oahu_Battery_Conting,2025,355996.952125,0.0,5420.0
Oahu_Battery_Conting,2030,281214.888416,0.0,5420.0
Oahu_Battery_Conting,2035,235841.490971,0.0,5420.0
Oahu_Battery_Conting,2040,205288.150369,0.0,5420.0
Oahu_Battery_Conting,2045,182404.632762,0.0,5420.0
Oahu_Battery_Reg,2020,728141.260143,0.0,7610.0
Oahu_Battery_Reg,2025,522923.752643,0.0,7610.0
Oahu_Battery_Reg,2030,416758.906655,0.0,7610.0
Oahu_Battery_Reg,2035,351980.956313,0.0,7610.0
Oahu_Battery_Reg,2040,306954.662932,0.0,7610.0
Oahu_Battery_Reg,2045,273606.949143,0.0,7610.0
Oahu_CC_152,2020,1622023.11403,.,17290.0
Oahu_CC_152,2025,1583249.60287,.,17290.0
Oahu_CC_152,2030,1550966.32364,.,17290.0
Oahu_CC_152,2035,1526913.33882,.,17290.0
Oahu_CC_152,2040,1510660.10335,.,17290.0
Oahu_CC_152,2045,1511097.20278,.,17290.0
Oahu_CIP_CT,2009,530587.244468,.,0.0
Oahu_CentralTrackingPV_PV_01,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_01,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_01,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_01,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_01,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_01,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_02,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_02,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_02,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_02,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_02,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_02,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_03,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_03,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_03,2030,1925018.93951,.,27400.0
