GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_land_class,gen_land_area,gen_slope_class
Oahu_AES,Oahu,AES,0.0,180.0,180.0,.,30,0.09667000000000003,0,0,1,0,3.534118543727179,multiple,.,24.0,24.0,0.0,.,.,.,.,.,.
Oahu_Airport_DSG,Oahu,Airport_DSG,0.0,8.0,8.0,.,61,0.0,0,0,0,0,16.374951224777195,multiple,.,1.0,1.0,0.125,.,.,.,.,.,.
Oahu_Battery_Bulk,Oahu,Battery_Bulk,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,.,365.0,.,.,.
Oahu_Battery_Conting,Oahu,Battery_Conting,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.,.,.,.
Oahu_Battery_Reg,Oahu,Battery_Reg,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.,.,.,.
Oahu_CC_152,Oahu,CC_152,154728.85925650457,1505.8600000000001,150.586,.,30,0.05,0,0,0,0,4.49,multiple,.,.,.,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_01_B_00_15,Oahu,CentralTrackingPV,26623.79753142103,4.142993809823646,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,125745.8694691719,00_to_15
Oahu_CentralTrackingPV_PV_01_B_15_17,Oahu,CentralTrackingPV,27134.51277546998,0.006560865107251416,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,199.131769259486,15_to_17
Oahu_CentralTrackingPV_PV_01_B_17_20,Oahu,CentralTrackingPV,26732.31011859247,0.0032773452032170487,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,99.4721790681821,17_to_20
Oahu_CentralTrackingPV_PV_01_C_00_15,Oahu,CentralTrackingPV,27776.397474223995,10.560505961729243,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,320526.668672127,00_to_15
