STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,7.52351607195043
Oahu_Battery_Bulk,2025,28.46527731857893
Oahu_Battery_Bulk,2030,1701.501626784505
Oahu_Battery_Bulk,2035,399.23478033170704
Oahu_Battery_Bulk,2040,1404.268223375909
Oahu_Battery_Bulk,2045,7842.795320236933
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
