PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,TotalGenFixedCosts,2080694694.4251893,511351515.2330921,annual
2020,FuelCostsPerPeriod,1718618529.4506464,422367679.1683453,annual
2020,StorageEnergyInstallCosts,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,AESDeactivateFixedCost,0.0,0.0,annual
2025,TotalGenFixedCosts,1934095395.0333147,551029946.5134567,annual
2025,FuelCostsPerPeriod,1335406752.4674282,380461642.83078754,annual
2025,StorageEnergyInstallCosts,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,AESDeactivateFixedCost,0.0,0.0,annual
2030,TotalGenFixedCosts,1853714279.4582024,612246385.4819741,annual
2030,FuelCostsPerPeriod,1036112985.871582,342208309.8675916,annual
2030,StorageEnergyInstallCosts,0.0,0.0,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,AESDeactivateFixedCost,0.0,0.0,annual
2035,TotalGenFixedCosts,1695713028.4912071,649264884.8937707,annual
2035,FuelCostsPerPeriod,975162854.462453,373376265.80518335,annual
2035,StorageEnergyInstallCosts,0.0,0.0,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,AESDeactivateFixedCost,0.0,0.0,annual
2040,TotalGenFixedCosts,1570392985.7719896,697050155.3527498,annual
2040,FuelCostsPerPeriod,693044935.3745582,307621776.3617885,annual
2040,StorageEnergyInstallCosts,0.0,0.0,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,AESDeactivateFixedCost,0.0,0.0,annual
2045,TotalGenFixedCosts,1957958415.793366,1007500496.4860917,annual
2045,FuelCostsPerPeriod,170402418.8675081,87683436.08660367,annual
2045,StorageEnergyInstallCosts,0.0,0.0,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,AESDeactivateFixedCost,0.0,0.0,annual
2020,GenVariableOMCostsInTP,89405992.71111766,21972416.215719137,timepoint
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2020,UnservedLoadPenalty,0.0,0.0,timepoint
2020,UnservedReservePenalty,0.0,0.0,timepoint
2025,GenVariableOMCostsInTP,70188793.43995133,19997011.10626668,timepoint
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,UnservedLoadPenalty,0.0,0.0,timepoint
2025,UnservedReservePenalty,0.0,0.0,timepoint
2030,GenVariableOMCostsInTP,56408153.999983974,18630534.80296582,timepoint
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,UnservedLoadPenalty,0.0,0.0,timepoint
2030,UnservedReservePenalty,0.0,0.0,timepoint
2035,GenVariableOMCostsInTP,48480084.166770406,18562348.54442632,timepoint
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,UnservedLoadPenalty,0.0,0.0,timepoint
2035,UnservedReservePenalty,0.0,0.0,timepoint
2040,GenVariableOMCostsInTP,35027488.091309935,15547647.14111453,timepoint
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,UnservedLoadPenalty,0.0,0.0,timepoint
2040,UnservedReservePenalty,0.0,0.0,timepoint
2045,GenVariableOMCostsInTP,14528180.789387481,7475720.240164858,timepoint
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,UnservedLoadPenalty,0.0,0.0,timepoint
2045,UnservedReservePenalty,0.0,0.0,timepoint
