gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,Oahu,multiple,2020,1462.7959967791178,2925591.9935582397,2427892.7627150994
AES,Oahu,multiple,2025,1389.1191179073473,2778238.2358146957,2313466.3146376708
AES,Oahu,multiple,2030,1371.320235597209,2742640.47119442,2284957.0009519025
AES,Oahu,multiple,2035,1352.8014324987234,2705602.8649974484,2256551.379432962
AES,Oahu,multiple,2040,1295.3400423405596,2590680.0846811216,2154440.973160245
AES,Oahu,multiple,2045,323.6066704042777,647213.3408085553,0.0
Airport_DSG,Oahu,multiple,2020,0.487,18243.02,367.229059886
Airport_DSG,Oahu,multiple,2025,0.974,36486.04,730.8221884860001
Airport_DSG,Oahu,multiple,2030,0.974,36486.04,730.8221884860001
Airport_DSG,Oahu,multiple,2035,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2045,0.0,0.0,0.0
Battery_4,Oahu,Battery,2020,78.66990908663551,0.0,0.0
Battery_4,Oahu,Battery,2025,165.99474131649902,0.0,0.0
Battery_4,Oahu,Battery,2030,122.94689247477977,0.0,0.0
Battery_4,Oahu,Battery,2035,55.253458824520635,0.0,0.0
Battery_4,Oahu,Battery,2040,0.0,0.0,0.0
Battery_4,Oahu,Battery,2045,0.0,0.0,0.0
Battery_6,Oahu,Battery,2020,0.0,0.0,0.0
Battery_6,Oahu,Battery,2025,19.162771369651676,0.0,0.0
Battery_6,Oahu,Battery,2030,316.9918682901875,0.0,0.0
Battery_6,Oahu,Battery,2035,529.94264445651,0.0,0.0
Battery_6,Oahu,Battery,2040,1286.9265442539265,0.0,0.0
Battery_6,Oahu,Battery,2045,2778.870211285335,0.0,0.0
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,11.731829999999999,0.0,0.0
Battery_Conting,Oahu,Battery,2040,35.19548999999999,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,75.8185301625245,0.0,0.0
Battery_Reg,Oahu,Battery,2040,198.939624624761,0.0,0.0
Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0
CC_152,Oahu,multiple,2020,876.2248053004723,3934249.375799118,493922.5519924933
CC_152,Oahu,multiple,2025,708.8538921110478,3182753.9755786033,401916.005121137
CC_152,Oahu,multiple,2030,613.6132313805348,2755123.408898599,347032.64864821837
CC_152,Oahu,multiple,2035,565.5963846428332,2539527.7670463175,318406.982669691
CC_152,Oahu,multiple,2040,260.1598096325689,1168117.5452502344,145975.31214312123
