load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,UnservedLoad,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-01-23-00:00,0.0,96.5,0.0,0.0,75.0,0.0,42.8,0.0,361.8983104169399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,361.8983104169399,0.0,0.0,0.0,-7.16582349014061e-12,373.23873505740005,576.1983104169401,0.0,0.0,532.598516655,37.7613396771,5.83845408484,0.0,429.0400217589663,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-02:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,0.0,342.976962216933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,342.976962216933,0.0,0.0,0.0,26.806824191264987,373.23873505740005,527.7769622169329,0.0,0.0,482.672997961,42.6987132984,2.40525095753,0.0,485.34684595017995,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-04:00,0.0,88.0197759979,0.0,0.0,75.0,0.0,42.8,0.0,376.184973046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,376.184973046,0.0,0.0,0.0,-9.583800419932231e-11,373.23873505740005,582.0047490439,0.0,0.0,564.319411133,16.5824772481,1.10286066272,0.0,437.5202457611,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-06:00,0.0,180.0,0.0,0.0,146.162,0.0,42.8,0.0,458.2993567964,22.5487403081,22.5487403081,0.0,0.0,0.0,0.0,0.0,42.8,0.0,458.2993567964,0.0,0.0,0.0,-1.226965196110541e-10,350.6899947493,849.8100971045001,0.0,0.0,845.770985082,0.0,4.03911202243,0.0,424.96402175900005,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-08:00,0.0,148.931127797,0.0,0.0,146.162,0.0,42.8,136.06478216271697,461.58497512429994,0.0,0.0,0.0,0.0,0.0,23.2905109156,48.24880269517,42.8,0.0,461.58497512429994,64.525468551947,0.0,-6.008527009271347e-11,-1.2118306358388509e-10,373.23873505740005,935.5428850840171,0.0,0.0,918.921213665,1.52278208972,15.0988893287,0.0,456.0328939625,425.1855814172361,0.0,typical
Oahu,2020,2020-01-23-10:00,0.0,121.310106583,0.0,0.0,77.7333144,0.0,42.8,322.2541138607,406.61670395889996,0.0,0.0,0.0,0.0,0.0,44.9747857845,120.6078595491,42.8,0.0,406.61670395889996,156.6714685271,0.0,2.0442314507818082e-11,-1.0737721822806634e-10,373.23873505740005,970.7142388026,0.0,0.0,957.789031729,2.3291405442,10.5960665289,0.0,437.6366007765,437.6366007764191,0.0,typical
Oahu,2020,2020-01-23-12:00,0.0,115.903420983,0.0,0.0,75.0,0.0,42.8,387.13434722680006,369.99932744511,0.0,0.0,0.0,0.0,0.0,35.356605512,153.896729884,42.8,0.0,369.99932744511,197.8810118308,0.0,5.4498627832799684e-11,-4.305888978706207e-12,373.23873505740005,990.8370956549097,0.0,0.0,968.355032392,14.0884830594,8.39358020309,0.0,437.6366007765,437.6366007764191,0.0,typical
Oahu,2020,2020-01-23-14:00,0.0,148.343534583,0.0,0.0,91.3998864,0.0,42.8,333.0564149212,362.24656664875005,0.0,0.0,0.0,0.0,0.0,31.3544570703,134.1048420518,42.8,0.0,362.24656664875005,167.5971157991,0.0,1.7767121107681305e-11,-6.504308203147957e-11,373.23873505740005,977.84640255295,0.0,0.0,959.755831599,7.68316283858,10.4074081149,0.0,437.6366007765,437.6366007764191,0.0,typical
Oahu,2020,2020-01-23-16:00,0.0,180.0,0.0,0.0,163.70625960799998,0.0,42.8,141.35564390076,437.43833388298,0.0,0.0,0.0,0.0,0.0,32.9864587785,49.0731999714,42.8,0.0,437.43833388298,59.29598515086,0.0,-2.6908253403234994e-11,-2.602007498353487e-11,373.23873505740005,965.3002373917396,0.0,0.0,952.048600371,0.0,13.2516370207,0.0,435.419762151,425.4123311938528,0.0,typical
Oahu,2020,2020-01-23-18:00,0.0,180.0,30.10639016459567,0.0,341.35236117520435,0.0,42.8,0.0,449.32983951639994,29.6396702137,29.6396702137,0.0,0.0,0.0,0.0,0.0,42.8,0.0,449.32983951639994,0.0,0.0,0.0,3.519318170219776e-11,343.59906484370003,1073.2282610699,0.0,0.0,1054.70131556,0.0,18.52694551,0.0,366.50727041917,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-20:00,0.0,180.0,0.0,0.0,330.586,0.0,42.8,0.0,376.4570183068999,13.0590430847,13.0590430847,0.0,0.0,0.0,0.0,0.0,42.8,0.0,376.4570183068999,0.0,0.0,0.0,-3.6994407537349616e-11,360.1796919727,942.9020613916,0.0,0.0,926.331121705,0.0,16.5709396866,0.0,358.540021759,330.5904574741271,0.0,typical
Oahu,2020,2020-01-23-22:00,0.0,180.0,0.0,0.0,89.9495642848,0.0,42.8,0.0,352.56544449702,42.6987132984,42.6987132984,0.0,0.0,0.0,0.0,0.0,42.8,0.0,352.56544449702,0.0,0.0,0.0,8.981260180007666e-12,330.540021759,708.01372208022,0.0,0.0,696.143020798,0.0,11.8707012823,0.0,330.5904574741663,330.5904574741271,0.0,typical
Oahu,2020,2020-02-23-00:00,0.0,180.0,0.0,0.0,196.975557685,0.0,42.8,0.0,201.49722129625002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,201.49722129625002,0.0,0.0,0.0,-1.6015633264032658e-11,373.23873505740005,621.27277898125,0.0,0.0,572.735611598,42.6987132984,5.83845408484,0.0,374.15046407399,320.78148912373047,0.0,typical
Oahu,2020,2020-02-23-02:00,0.0,180.0,0.0,0.0,77.4217223041,0.0,42.8,0.0,246.94908708788003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,246.94908708788003,0.0,0.0,0.0,-1.708144736767281e-11,373.23873505740005,547.1708093919799,0.0,0.0,502.066845136,42.6987132984,2.40525095753,0.0,343.1182994549,324.1335904250276,0.0,typical
