load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-01-23-00:00,568.213,0,532.599,29.7762,5.83845,0
Oahu,2020-01-23-02:00,529.198,0,482.673,44.1197,2.40525,0
Oahu,2020-01-23-04:00,591.798,0,564.319,26.3761,1.10286,0
Oahu,2020-01-23-06:00,849.81,0,845.771,0,4.03911,0
Oahu,2020-01-23-08:00,934.02,0,918.921,0,15.0989,0
Oahu,2020-01-23-10:00,971.604,0,957.789,3.21862,10.5961,0
Oahu,2020-01-23-12:00,995.656,0,968.355,18.9076,8.39358,0
Oahu,2020-01-23-14:00,974.418,0,959.756,4.25431,10.4074,0
Oahu,2020-01-23-16:00,965.3,0,952.049,0,13.2516,0
Oahu,2020-01-23-18:00,1073.23,0,1054.7,0,18.5269,0
Oahu,2020-01-23-20:00,942.902,0,926.331,0,16.5709,0
Oahu,2020-01-23-22:00,708.014,0,696.143,0,11.8707,0
Oahu,2020-02-23-00:00,622.694,0,572.736,44.1197,5.83845,0
Oahu,2020-02-23-02:00,537.705,0,502.067,33.2334,2.40525,0
Oahu,2020-02-23-04:00,542.166,0,518.145,22.919,1.10286,0
Oahu,2020-02-23-06:00,651.629,0,647.59,0,4.03911,0
Oahu,2020-02-23-08:00,868.154,0,853.055,0,15.0989,0
Oahu,2020-02-23-10:00,948.522,0,937.926,0,10.5961,0
Oahu,2020-02-23-12:00,973.195,0,941.162,23.6386,8.39358,0
Oahu,2020-02-23-14:00,946.733,0,936.325,0,10.4074,0
Oahu,2020-02-23-16:00,965.449,0,952.197,0,13.2516,0
Oahu,2020-02-23-18:00,1029.61,0,1011.09,0,18.5269,0
Oahu,2020-02-23-20:00,940.1,0,923.53,0,16.5709,0
Oahu,2020-02-23-22:00,772.199,0,760.328,0,11.8707,0
Oahu,2020-03-23-00:00,594.333,0,568.836,19.6579,5.83845,0
Oahu,2020-03-23-02:00,549.964,0,503.439,44.1197,2.40525,0
Oahu,2020-03-23-04:00,517.647,0,516.544,0,1.10286,0
Oahu,2020-03-23-06:00,635.911,0,609.133,22.7385,4.03911,0
Oahu,2020-03-23-08:00,812.305,0,795.72,1.486,15.0989,0
Oahu,2020-03-23-10:00,908.594,0,853.878,44.1197,10.5961,0
Oahu,2020-03-23-12:00,870.528,0,862.135,0,8.39358,0
Oahu,2020-03-23-14:00,879.704,0,858.041,11.2554,10.4074,0
Oahu,2020-03-23-16:00,887.107,0,873.856,0,13.2516,0
Oahu,2020-03-23-18:00,945.853,0,927.326,0,18.5269,0
Oahu,2020-03-23-20:00,900.992,0,884.422,0,16.5709,0
Oahu,2020-03-23-22:00,722.856,0,710.986,0,11.8707,0
Oahu,2020-04-23-00:00,561.357,0,543.073,12.4458,5.83845,0
Oahu,2020-04-23-02:00,514.957,0,492.896,19.6563,2.40525,0
Oahu,2020-04-23-04:00,605.997,0,560.775,44.1197,1.10286,0
Oahu,2020-04-23-06:00,824.641,0,820.602,0,4.03911,0
Oahu,2020-04-23-08:00,977.107,0,962.009,0,15.0989,0
Oahu,2020-04-23-10:00,1039.55,0,1028.95,0,10.5961,0
Oahu,2020-04-23-12:00,1094.68,0,1052.35,33.9379,8.39358,0
Oahu,2020-04-23-14:00,1067.68,0,1057.27,0,10.4074,0
Oahu,2020-04-23-16:00,1057.62,0,1044.36,0,13.2516,0
Oahu,2020-04-23-18:00,1064.27,0,1045.75,0,18.5269,0
Oahu,2020-04-23-20:00,998.019,0,981.448,0,16.5709,0
Oahu,2020-04-23-22:00,769.491,0,733.57,24.0502,11.8707,0
Oahu,2020-05-23-00:00,665.187,0,615.228,44.1197,5.83845,0
