generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Oahu_Battery_4,2020-01-23-00:00,Oahu,29.7762,0,52.4062
Oahu_Battery_4,2020-01-23-02:00,Oahu,44.1197,0,130.057
Oahu_Battery_4,2020-01-23-04:00,Oahu,26.3761,0,176.479
Oahu_Battery_4,2020-01-23-06:00,Oahu,0,23.2149,130.049
Oahu_Battery_4,2020-01-23-08:00,Oahu,0,0,130.049
Oahu_Battery_4,2020-01-23-10:00,Oahu,3.21862,0,135.714
Oahu_Battery_4,2020-01-23-12:00,Oahu,18.9076,0,168.991
Oahu_Battery_4,2020-01-23-14:00,Oahu,4.25431,0,176.479
Oahu_Battery_4,2020-01-23-16:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-01-23-18:00,Oahu,0,38.2864,99.9061
Oahu_Battery_4,2020-01-23-20:00,Oahu,0,5.83332,88.2394
Oahu_Battery_4,2020-01-23-22:00,Oahu,0,44.1197,0
Oahu_Battery_4,2020-02-23-00:00,Oahu,44.1197,0,77.6507
Oahu_Battery_4,2020-02-23-02:00,Oahu,33.2334,0,136.141
Oahu_Battery_4,2020-02-23-04:00,Oahu,22.919,0,176.479
Oahu_Battery_4,2020-02-23-06:00,Oahu,0,14.1193,148.24
Oahu_Battery_4,2020-02-23-08:00,Oahu,0,20.6995,106.841
Oahu_Battery_4,2020-02-23-10:00,Oahu,0,8.74186,89.3575
Oahu_Battery_4,2020-02-23-12:00,Oahu,23.6386,0,130.962
Oahu_Battery_4,2020-02-23-14:00,Oahu,0,29.0077,72.9461
Oahu_Battery_4,2020-02-23-16:00,Oahu,0,0,72.9461
Oahu_Battery_4,2020-02-23-18:00,Oahu,0,36.473,0
Oahu_Battery_4,2020-02-23-20:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-22:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-00:00,Oahu,19.6579,0,34.5979
Oahu_Battery_4,2020-03-23-02:00,Oahu,44.1197,0,112.249
Oahu_Battery_4,2020-03-23-04:00,Oahu,0,34.7306,42.7874
Oahu_Battery_4,2020-03-23-06:00,Oahu,22.7385,0,82.8071
Oahu_Battery_4,2020-03-23-08:00,Oahu,1.486,0,85.4225
Oahu_Battery_4,2020-03-23-10:00,Oahu,44.1197,0,163.073
Oahu_Battery_4,2020-03-23-12:00,Oahu,0,3.2019,156.669
