generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_4	2020-01-23-00:00	Oahu	15.439	0	27.1726
Oahu_Battery_4	2020-01-23-02:00	Oahu	35.4202	0	89.5121
Oahu_Battery_4	2020-01-23-04:00	Oahu	29.6413	0	141.681
Oahu_Battery_4	2020-01-23-06:00	Oahu	0	13.7139	114.253
Oahu_Battery_4	2020-01-23-08:00	Oahu	0	0	114.253
Oahu_Battery_4	2020-01-23-10:00	Oahu	6.46576	0	125.633
Oahu_Battery_4	2020-01-23-12:00	Oahu	9.11825	0	141.681
Oahu_Battery_4	2020-01-23-14:00	Oahu	0	0	141.681
Oahu_Battery_4	2020-01-23-16:00	Oahu	0	0	141.681
Oahu_Battery_4	2020-01-23-18:00	Oahu	0	29.7547	82.1715
Oahu_Battery_4	2020-01-23-20:00	Oahu	0	9.5799	63.0117
Oahu_Battery_4	2020-01-23-22:00	Oahu	0	31.5058	0
Oahu_Battery_4	2020-02-23-00:00	Oahu	35.4202	0	62.3396
Oahu_Battery_4	2020-02-23-02:00	Oahu	35.4202	0	124.679
Oahu_Battery_4	2020-02-23-04:00	Oahu	9.66006	0	141.681
Oahu_Battery_4	2020-02-23-06:00	Oahu	0	5.45627	130.768
Oahu_Battery_4	2020-02-23-08:00	Oahu	0	35.418	59.9323
Oahu_Battery_4	2020-02-23-10:00	Oahu	0	18.5093	22.9137
Oahu_Battery_4	2020-02-23-12:00	Oahu	25.5441	0	67.8713
Oahu_Battery_4	2020-02-23-14:00	Oahu	0	0	67.8713
Oahu_Battery_4	2020-02-23-16:00	Oahu	0	0	67.8713
Oahu_Battery_4	2020-02-23-18:00	Oahu	0	33.9357	0
Oahu_Battery_4	2020-02-23-20:00	Oahu	0	0	0
Oahu_Battery_4	2020-02-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-03-23-00:00	Oahu	27.5168	0	48.4296
Oahu_Battery_4	2020-03-23-02:00	Oahu	35.4202	0	110.769
Oahu_Battery_4	2020-03-23-04:00	Oahu	0	25.3681	60.0331
Oahu_Battery_4	2020-03-23-06:00	Oahu	30.97	0	114.54
Oahu_Battery_4	2020-03-23-08:00	Oahu	0	17.5995	79.3413
Oahu_Battery_4	2020-03-23-10:00	Oahu	35.4202	0	141.681
Oahu_Battery_4	2020-03-23-12:00	Oahu	0	4.30392	133.073
Oahu_Battery_4	2020-03-23-14:00	Oahu	4.89082	0	141.681
Oahu_Battery_4	2020-03-23-16:00	Oahu	0	0	141.681
Oahu_Battery_4	2020-03-23-18:00	Oahu	0	35.4202	70.8404
Oahu_Battery_4	2020-03-23-20:00	Oahu	0	35.4202	0
Oahu_Battery_4	2020-03-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-04-23-00:00	Oahu	10.9642	0	19.297
Oahu_Battery_4	2020-04-23-02:00	Oahu	34.1161	0	79.3413
Oahu_Battery_4	2020-04-23-04:00	Oahu	35.4202	0	141.681
Oahu_Battery_4	2020-04-23-06:00	Oahu	0	0	141.681
Oahu_Battery_4	2020-04-23-08:00	Oahu	0	29.9697	81.7415
Oahu_Battery_4	2020-04-23-10:00	Oahu	5.72506	0	91.8176
Oahu_Battery_4	2020-04-23-12:00	Oahu	27.2084	0	139.704
Oahu_Battery_4	2020-04-23-14:00	Oahu	0	0	139.704
Oahu_Battery_4	2020-04-23-16:00	Oahu	0	24.0651	91.5742
Oahu_Battery_4	2020-04-23-18:00	Oahu	0	35.4202	20.7338
Oahu_Battery_4	2020-04-23-20:00	Oahu	0	1.2645	18.2048
Oahu_Battery_4	2020-04-23-22:00	Oahu	0	9.1024	0
Oahu_Battery_4	2020-05-23-00:00	Oahu	35.4202	0	62.3396
Oahu_Battery_4	2020-05-23-02:00	Oahu	35.4202	0	124.679
Oahu_Battery_4	2020-05-23-04:00	Oahu	9.66006	0	141.681
Oahu_Battery_4	2020-05-23-06:00	Oahu	0	8.5401	124.601
Oahu_Battery_4	2020-05-23-08:00	Oahu	0	27.4536	69.6934
Oahu_Battery_4	2020-05-23-10:00	Oahu	0	0	69.6934
Oahu_Battery_4	2020-05-23-12:00	Oahu	0	7.82607	54.0412
Oahu_Battery_4	2020-05-23-14:00	Oahu	0	16.6724	20.6965
Oahu_Battery_4	2020-05-23-16:00	Oahu	0	0	20.6965
Oahu_Battery_4	2020-05-23-18:00	Oahu	0	10.3482	0
Oahu_Battery_4	2020-05-23-20:00	Oahu	0	0	0
Oahu_Battery_4	2020-05-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-06-23-00:00	Oahu	35.4202	0	62.3396
Oahu_Battery_4	2020-06-23-02:00	Oahu	0	0.609959	61.1196
