STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,20.043101071609694
Oahu_Battery_Bulk,2025,145.52213324056075
Oahu_Battery_Bulk,2030,1547.673050184062
Oahu_Battery_Bulk,2035,597.5496836379922
Oahu_Battery_Bulk,2040,1368.8190748483598
Oahu_Battery_Bulk,2045,7671.701963730113
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
