ChargeEVs_index_1,ChargeEVs_index_2,ChargeEVs
Oahu,2020012300,5.83845408484
Oahu,2020012302,2.40525095753
Oahu,2020012304,1.10286066272
Oahu,2020012306,4.03911202243
Oahu,2020012308,15.0988893287
Oahu,2020012310,10.5960665289
Oahu,2020012312,8.39358020309
Oahu,2020012314,10.4074081149
Oahu,2020012316,13.2516370207
Oahu,2020012318,18.52694551
Oahu,2020012320,16.5709396866
Oahu,2020012322,11.8707012823
Oahu,2020022300,5.83845408484
Oahu,2020022302,2.40525095753
Oahu,2020022304,1.10286066272
Oahu,2020022306,4.03911202243
Oahu,2020022308,15.0988893287
Oahu,2020022310,10.5960665289
Oahu,2020022312,8.39358020309
Oahu,2020022314,10.4074081149
Oahu,2020022316,13.2516370207
Oahu,2020022318,18.52694551
Oahu,2020022320,16.5709396866
Oahu,2020022322,11.8707012823
Oahu,2020032300,5.83845408484
Oahu,2020032302,2.40525095753
Oahu,2020032304,1.10286066272
Oahu,2020032306,4.03911202243
Oahu,2020032308,15.0988893287
Oahu,2020032310,10.5960665289
Oahu,2020032312,8.39358020309
Oahu,2020032314,10.4074081149
Oahu,2020032316,13.2516370207
Oahu,2020032318,18.52694551
Oahu,2020032320,16.5709396866
Oahu,2020032322,11.8707012823
Oahu,2020042300,5.83845408484
Oahu,2020042302,2.40525095753
Oahu,2020042304,1.10286066272
Oahu,2020042306,4.03911202243
Oahu,2020042308,15.0988893287
Oahu,2020042310,10.5960665289
Oahu,2020042312,8.39358020309
Oahu,2020042314,10.4074081149
Oahu,2020042316,13.2516370207
Oahu,2020042318,18.52694551
Oahu,2020042320,16.5709396866
Oahu,2020042322,11.8707012823
Oahu,2020052300,5.83845408484
Oahu,2020052302,2.40525095753
Oahu,2020052304,1.10286066272
Oahu,2020052306,4.03911202243
Oahu,2020052308,15.0988893287
Oahu,2020052310,10.5960665289
Oahu,2020052312,8.39358020309
Oahu,2020052314,10.4074081149
Oahu,2020052316,13.2516370207
Oahu,2020052318,18.52694551
Oahu,2020052320,16.5709396866
Oahu,2020052322,11.8707012823
Oahu,2020062300,5.83845408484
Oahu,2020062302,2.40525095753
Oahu,2020062304,1.10286066272
Oahu,2020062306,4.03911202243
Oahu,2020062308,15.0988893287
Oahu,2020062310,10.5960665289
Oahu,2020062312,8.39358020309
Oahu,2020062314,10.4074081149
Oahu,2020062316,13.2516370207
Oahu,2020062318,18.52694551
Oahu,2020062320,16.5709396866
Oahu,2020062322,11.8707012823
Oahu,2020072300,5.83845408484
Oahu,2020072302,2.40525095753
Oahu,2020072304,1.10286066272
Oahu,2020072306,4.03911202243
Oahu,2020072308,15.0988893287
Oahu,2020072310,10.5960665289
Oahu,2020072312,8.39358020309
Oahu,2020072314,10.4074081149
Oahu,2020072316,13.2516370207
Oahu,2020072318,18.52694551
Oahu,2020072320,16.5709396866
Oahu,2020072322,11.8707012823
Oahu,2020082300,5.83845408484
Oahu,2020082302,2.40525095753
Oahu,2020082304,1.10286066272
Oahu,2020082306,4.03911202243
Oahu,2020082308,15.0988893287
Oahu,2020082310,10.5960665289
Oahu,2020082312,8.39358020309
Oahu,2020082314,10.4074081149
Oahu,2020082316,13.2516370207
Oahu,2020082318,18.52694551
Oahu,2020082320,16.5709396866
Oahu,2020082322,11.8707012823
Oahu,2020092300,5.83845408484
Oahu,2020092302,2.40525095753
Oahu,2020092304,1.10286066272
Oahu,2020092306,4.03911202243
Oahu,2020092308,15.0988893287
Oahu,2020092310,10.5960665289
Oahu,2020092312,8.39358020309
Oahu,2020092314,10.4074081149
Oahu,2020092316,13.2516370207
Oahu,2020092318,18.52694551
Oahu,2020092320,16.5709396866
Oahu,2020092322,11.8707012823
Oahu,2020102300,5.83845408484
Oahu,2020102302,2.40525095753
Oahu,2020102304,1.10286066272
Oahu,2020102306,4.03911202243
Oahu,2020102308,15.0988893287
Oahu,2020102310,10.5960665289
Oahu,2020102312,8.39358020309
Oahu,2020102314,10.4074081149
Oahu,2020102316,13.2516370207
Oahu,2020102318,18.52694551
Oahu,2020102320,16.5709396866
Oahu,2020102322,11.8707012823
Oahu,2020112300,5.83845408484
Oahu,2020112302,2.40525095753
Oahu,2020112304,1.10286066272
Oahu,2020112306,4.03911202243
Oahu,2020112308,15.0988893287
Oahu,2020112310,10.5960665289
Oahu,2020112312,8.39358020309
