RFM_SUPPLY_TIERS_1	RFM_SUPPLY_TIERS_2	RFM_SUPPLY_TIERS_3	ConsumeFuelTier
Hawaii_Biodiesel	2020	base	11356.27995
Hawaii_Biodiesel	2025	base	3785.42665
Hawaii_Biodiesel	2030	base	3785.42665
Hawaii_Biodiesel	2035	base	3785.42665
Hawaii_Biodiesel	2040	base	0.0
Hawaii_Biodiesel	2045	base	114840.599753
Hawaii_Coal	2020	base	25499631.4753
Hawaii_Coal	2025	base	24818677.4486
Hawaii_Coal	2030	base	24923128.6132
Hawaii_Coal	2035	base	23966545.1642
Hawaii_Coal	2040	base	22539659.3969
Hawaii_Coal	2045	base	0.0
Hawaii_Diesel	2020	base	382654.24879
Hawaii_Diesel	2025	base	390408.63517
Hawaii_Diesel	2030	base	121048.071676
Hawaii_Diesel	2035	base	80999.1615422
Hawaii_Diesel	2040	base	-3.20314395371e-10
Hawaii_Diesel	2045	base	0.0
Hawaii_LNG	2020	bulk_10	0.0
Hawaii_LNG	2020	bulk_15	0.0
Hawaii_LNG	2020	bulk_20	0.0
Hawaii_LNG	2020	bulk_25	0.0
Hawaii_LNG	2020	bulk_30	0.0
Hawaii_LNG	2020	container_10	0.0
Hawaii_LNG	2020	container_15	0.0
Hawaii_LNG	2020	container_20	0.0
Hawaii_LNG	2020	container_25	0.0
Hawaii_LNG	2020	container_30	0.0
Hawaii_LNG	2025	bulk_10	0.0
Hawaii_LNG	2025	bulk_15	0.0
Hawaii_LNG	2025	bulk_20	0.0
Hawaii_LNG	2025	bulk_25	0.0
Hawaii_LNG	2025	bulk_30	0.0
Hawaii_LNG	2025	container_10	0.0
Hawaii_LNG	2025	container_15	0.0
Hawaii_LNG	2025	container_20	0.0
Hawaii_LNG	2025	container_25	0.0
Hawaii_LNG	2025	container_30	0.0
Hawaii_LNG	2030	bulk_10	0.0
Hawaii_LNG	2030	bulk_15	0.0
Hawaii_LNG	2030	bulk_20	0.0
Hawaii_LNG	2030	bulk_25	0.0
Hawaii_LNG	2030	bulk_30	0.0
Hawaii_LNG	2030	container_10	0.0
Hawaii_LNG	2030	container_15	0.0
Hawaii_LNG	2030	container_20	0.0
Hawaii_LNG	2030	container_25	0.0
Hawaii_LNG	2030	container_30	0.0
Hawaii_LNG	2035	bulk_10	0.0
Hawaii_LNG	2035	bulk_15	0.0
Hawaii_LNG	2035	bulk_20	0.0
Hawaii_LNG	2035	bulk_25	0.0
Hawaii_LNG	2035	bulk_30	0.0
Hawaii_LNG	2035	container_10	0.0
Hawaii_LNG	2035	container_15	0.0
Hawaii_LNG	2035	container_20	0.0
Hawaii_LNG	2035	container_25	0.0
Hawaii_LNG	2035	container_30	0.0
Hawaii_LNG	2040	bulk_10	0.0
Hawaii_LNG	2040	bulk_15	0.0
Hawaii_LNG	2040	bulk_20	0.0
Hawaii_LNG	2040	bulk_25	0.0
Hawaii_LNG	2040	bulk_30	0.0
Hawaii_LNG	2040	container_10	0.0
Hawaii_LNG	2040	container_15	0.0
Hawaii_LNG	2040	container_20	0.0
Hawaii_LNG	2040	container_25	0.0
Hawaii_LNG	2040	container_30	0.0
Hawaii_LNG	2045	bulk_10	0.0
Hawaii_LNG	2045	bulk_15	0.0
Hawaii_LNG	2045	bulk_20	0.0
Hawaii_LNG	2045	bulk_25	0.0
Hawaii_LNG	2045	bulk_30	0.0
Hawaii_LNG	2045	container_10	0.0
Hawaii_LNG	2045	container_15	0.0
Hawaii_LNG	2045	container_20	0.0
Hawaii_LNG	2045	container_25	0.0
Hawaii_LNG	2045	container_30	0.0
Hawaii_LSFO	2020	base	21657257.1385
Hawaii_LSFO	2025	base	15436850.4758
Hawaii_LSFO	2030	base	13182629.2165
Hawaii_LSFO	2035	base	11513415.698
Hawaii_LSFO	2040	base	8462090.32197
Hawaii_LSFO	2045	base	0.0
Hawaii_Pellet-Biomass	2020	base	0.0
Hawaii_Pellet-Biomass	2025	base	0.0
Hawaii_Pellet-Biomass	2030	base	0.0
Hawaii_Pellet-Biomass	2035	base	0.0
Hawaii_Pellet-Biomass	2040	base	0.0
Hawaii_Pellet-Biomass	2045	base	5848231.10991
