STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_4	2020012300	49.821096445
Oahu_Battery_4	2020012302	119.650993883
Oahu_Battery_4	2020012304	158.704312359
Oahu_Battery_4	2020012306	114.296874016
Oahu_Battery_4	2020012308	114.296874016
Oahu_Battery_4	2020012310	120.040679578
Oahu_Battery_4	2020012312	158.704312359
Oahu_Battery_4	2020012314	158.704312359
Oahu_Battery_4	2020012316	158.704312359
Oahu_Battery_4	2020012318	104.02238415
Oahu_Battery_4	2020012320	69.120002459
Oahu_Battery_4	2020012322	0.0
Oahu_Battery_4	2020022300	19.0445174831
Oahu_Battery_4	2020022302	88.874414921
Oahu_Battery_4	2020022304	158.704312359
Oahu_Battery_4	2020022306	98.127672511
Oahu_Battery_4	2020022308	34.3920602295
Oahu_Battery_4	2020022310	34.3920602295
Oahu_Battery_4	2020022312	34.3920602295
Oahu_Battery_4	2020022314	45.728053621
Oahu_Battery_4	2020022316	45.728053621
Oahu_Battery_4	2020022318	0.0
Oahu_Battery_4	2020022320	0.0
Oahu_Battery_4	2020022322	0.0
Oahu_Battery_4	2020032300	36.8463035202
Oahu_Battery_4	2020032302	106.676200958
Oahu_Battery_4	2020032304	49.9258494947
Oahu_Battery_4	2020032306	91.7608900949
Oahu_Battery_4	2020032308	88.874414921
Oahu_Battery_4	2020032310	158.704312359
Oahu_Battery_4	2020032312	137.771513129
Oahu_Battery_4	2020032314	158.704312359
Oahu_Battery_4	2020032316	158.704312359
Oahu_Battery_4	2020032318	79.3521561794
Oahu_Battery_4	2020032320	0.0
Oahu_Battery_4	2020032322	0.0
Oahu_Battery_4	2020042300	27.3461050157
Oahu_Battery_4	2020042302	88.874414921
Oahu_Battery_4	2020042304	158.704312359
Oahu_Battery_4	2020042306	145.206637272
Oahu_Battery_4	2020042308	68.1095924213
Oahu_Battery_4	2020042310	66.5074316165
Oahu_Battery_4	2020042312	134.291535754
Oahu_Battery_4	2020042314	127.574674716
Oahu_Battery_4	2020042316	91.4857507797
Oahu_Battery_4	2020042318	47.1290092818
Oahu_Battery_4	2020042320	0.0
Oahu_Battery_4	2020042322	0.0
Oahu_Battery_4	2020052300	69.8298974379
Oahu_Battery_4	2020052302	139.659794876
Oahu_Battery_4	2020052304	158.704312359
Oahu_Battery_4	2020052306	146.267153187
Oahu_Battery_4	2020052308	106.229781678
Oahu_Battery_4	2020052310	106.229781678
Oahu_Battery_4	2020052312	106.229781678
Oahu_Battery_4	2020052314	93.530241403
Oahu_Battery_4	2020052316	72.0011555105
Oahu_Battery_4	2020052318	7.26983632491
Oahu_Battery_4	2020052320	0.0
Oahu_Battery_4	2020052322	0.0
Oahu_Battery_4	2020062300	59.2737745169
Oahu_Battery_4	2020062302	50.968495463
Oahu_Battery_4	2020062304	120.798392901
Oahu_Battery_4	2020062306	76.9466579344
Oahu_Battery_4	2020062308	57.7397165395
Oahu_Battery_4	2020062310	51.790996738
Oahu_Battery_4	2020062312	121.620894176
Oahu_Battery_4	2020062314	152.046907394
Oahu_Battery_4	2020062316	158.704312359
Oahu_Battery_4	2020062318	117.902598636
Oahu_Battery_4	2020062320	38.5504424565
Oahu_Battery_4	2020062322	0.0
Oahu_Battery_4	2020072300	69.8298974379
Oahu_Battery_4	2020072302	139.659794876
Oahu_Battery_4	2020072304	139.659794876
Oahu_Battery_4	2020072306	124.367124069
Oahu_Battery_4	2020072308	124.367124069
Oahu_Battery_4	2020072310	127.703493343
Oahu_Battery_4	2020072312	158.704312359
Oahu_Battery_4	2020072314	158.704312359
Oahu_Battery_4	2020072316	134.152992468
Oahu_Battery_4	2020072318	93.8491512924
Oahu_Battery_4	2020072320	14.496995113
Oahu_Battery_4	2020072322	0.0
Oahu_Battery_4	2020082300	0.0
Oahu_Battery_4	2020082302	41.7962607818
Oahu_Battery_4	2020082304	90.4465853645
Oahu_Battery_4	2020082306	86.8824548049
Oahu_Battery_4	2020082308	89.7379243791
Oahu_Battery_4	2020082310	89.7379243791
Oahu_Battery_4	2020082312	147.104984565
Oahu_Battery_4	2020082314	156.467224507
Oahu_Battery_4	2020082316	158.704312359
Oahu_Battery_4	2020082318	118.082236551
Oahu_Battery_4	2020082320	38.7300803714
Oahu_Battery_4	2020082322	11.8876077842
Oahu_Battery_4	2020092300	69.8298974379
Oahu_Battery_4	2020092302	101.350119487
Oahu_Battery_4	2020092304	137.585772673
Oahu_Battery_4	2020092306	58.2336164932
Oahu_Battery_4	2020092308	20.3681546433
Oahu_Battery_4	2020092310	62.3438036033
Oahu_Battery_4	2020092312	128.520543142
Oahu_Battery_4	2020092314	158.704312359
Oahu_Battery_4	2020092316	158.704312359
Oahu_Battery_4	2020092318	110.482172097
Oahu_Battery_4	2020092320	79.3521561794
Oahu_Battery_4	2020092322	0.0
Oahu_Battery_4	2020102300	69.8298974379
Oahu_Battery_4	2020102302	17.4459623954
Oahu_Battery_4	2020102304	79.3521561794
Oahu_Battery_4	2020102306	0.0
Oahu_Battery_4	2020102308	45.6729921586
Oahu_Battery_4	2020102310	88.874414921
Oahu_Battery_4	2020102312	158.704312359
Oahu_Battery_4	2020102314	158.704312359
Oahu_Battery_4	2020102316	131.627270971
Oahu_Battery_4	2020102318	52.2751147917
Oahu_Battery_4	2020102320	43.0636486642
Oahu_Battery_4	2020102322	0.0
Oahu_Battery_4	2020112300	0.0
Oahu_Battery_4	2020112302	26.8284014812
Oahu_Battery_4	2020112304	0.0
Oahu_Battery_4	2020112306	0.0
Oahu_Battery_4	2020112308	0.0
Oahu_Battery_4	2020112310	19.0445174831
Oahu_Battery_4	2020112312	88.874414921
Oahu_Battery_4	2020112314	158.704312359
Oahu_Battery_4	2020112316	125.844923784
Oahu_Battery_4	2020112318	46.492767605
Oahu_Battery_4	2020112320	46.492767605
Oahu_Battery_4	2020112322	79.3521561794
Oahu_Battery_4	2020122300	85.7636532684
Oahu_Battery_4	2020122302	155.593550706
Oahu_Battery_4	2020122304	158.704312359
Oahu_Battery_4	2020122306	105.036198593
Oahu_Battery_4	2020122308	25.6840424136
Oahu_Battery_4	2020122310	0.0
Oahu_Battery_4	2020122312	69.8298974379
Oahu_Battery_4	2020122314	139.659794876
Oahu_Battery_4	2020122316	139.659794876
Oahu_Battery_4	2020122318	60.3076386964
Oahu_Battery_4	2020122320	0.0
Oahu_Battery_4	2020122322	15.9337558305
Oahu_Battery_4	2025012300	0.0
Oahu_Battery_4	2025012302	113.929130163
Oahu_Battery_4	2025012304	139.343182666
Oahu_Battery_4	2025012306	0.0
Oahu_Battery_4	2025012308	0.0
Oahu_Battery_4	2025012310	142.840340945
Oahu_Battery_4	2025012312	285.680681889
Oahu_Battery_4	2025012314	324.637138511
Oahu_Battery_4	2025012316	324.637138511
Oahu_Battery_4	2025012318	180.754953118
Oahu_Battery_4	2025012320	48.7112765338
Oahu_Battery_4	2025012322	0.0
Oahu_Battery_4	2025022300	140.237520705
Oahu_Battery_4	2025022302	191.129272569
Oahu_Battery_4	2025022304	216.553765409
Oahu_Battery_4	2025022306	54.4349905844
Oahu_Battery_4	2025022308	0.0
Oahu_Battery_4	2025022310	87.729161338
Oahu_Battery_4	2025022312	230.569502283
Oahu_Battery_4	2025022314	324.637138511
Oahu_Battery_4	2025022316	324.637138511
Oahu_Battery_4	2025022318	162.318569255
Oahu_Battery_4	2025022320	0.0
Oahu_Battery_4	2025022322	0.0
Oahu_Battery_4	2025032300	0.0
Oahu_Battery_4	2025032302	73.204301815
Oahu_Battery_4	2025032304	0.0
Oahu_Battery_4	2025032306	0.0
Oahu_Battery_4	2025032308	142.840340945
Oahu_Battery_4	2025032310	181.796797566
Oahu_Battery_4	2025032312	324.637138511
Oahu_Battery_4	2025032314	324.637138511
Oahu_Battery_4	2025032316	324.637138511
Oahu_Battery_4	2025032318	165.128313107
Oahu_Battery_4	2025032320	2.80974385121
Oahu_Battery_4	2025032322	0.0
Oahu_Battery_4	2025042300	91.4143735169
Oahu_Battery_4	2025042302	162.318569255
Oahu_Battery_4	2025042304	162.318569255
Oahu_Battery_4	2025042306	0.0
Oahu_Battery_4	2025042308	0.0
