PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,2062952049.0136163,506991082.80648005
2020,FuelCostsPerPeriod,annual,1749901409.99211,430055759.6967346
2020,StorageEnergyInstallCosts,annual,0.0,0.0
2020,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2020,AESDeactivateFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,1974478839.0804822,562535318.5186243
2025,FuelCostsPerPeriod,annual,1286230916.9369056,366451290.45017415
2025,StorageEnergyInstallCosts,annual,0.0,0.0
2025,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2025,AESDeactivateFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,1856062049.8005762,613021809.1392167
2030,FuelCostsPerPeriod,annual,1041243027.4876312,343902664.5324951
2030,StorageEnergyInstallCosts,annual,0.0,0.0
2030,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2030,AESDeactivateFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,1716370657.887873,657174403.2775141
2035,FuelCostsPerPeriod,annual,936081882.291807,358412706.2455284
2035,StorageEnergyInstallCosts,annual,0.0,0.0
2035,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2035,AESDeactivateFixedCost,annual,0.0,0.0
2040,TotalGenFixedCosts,annual,1534778368.515402,681241899.2560575
2040,FuelCostsPerPeriod,annual,720020921.7899657,319595604.3730043
2040,StorageEnergyInstallCosts,annual,0.0,0.0
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,AESDeactivateFixedCost,annual,0.0,0.0
2045,TotalGenFixedCosts,annual,1948886548.0762367,1002832414.0818185
2045,FuelCostsPerPeriod,annual,172477585.0975461,88751247.83898315
2045,StorageEnergyInstallCosts,annual,0.0,0.0
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,AESDeactivateFixedCost,annual,0.0,0.0
2020,GenVariableOMCostsInTP,timepoint,91333519.4278774,22446125.169708494
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2020,UnservedLoadPenalty,timepoint,0.0,0.0
2020,UnservedReservePenalty,timepoint,0.0,0.0
2025,GenVariableOMCostsInTP,timepoint,69478890.98606987,19794757.633042663
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,UnservedLoadPenalty,timepoint,0.0,0.0
2025,UnservedReservePenalty,timepoint,0.0,0.0
2030,GenVariableOMCostsInTP,timepoint,55446712.446908735,18312989.039713386
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,UnservedLoadPenalty,timepoint,0.0,0.0
2030,UnservedReservePenalty,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,46559875.16430859,17827127.279974133
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,UnservedLoadPenalty,timepoint,0.0,0.0
2035,UnservedReservePenalty,timepoint,0.0,0.0
2040,GenVariableOMCostsInTP,timepoint,34440555.9987972,15287125.660202289
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,UnservedLoadPenalty,timepoint,0.0,0.0
2040,UnservedReservePenalty,timepoint,0.0,0.0
2045,GenVariableOMCostsInTP,timepoint,14545495.138448756,7484629.630239162
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,UnservedLoadPenalty,timepoint,0.0,0.0
2045,UnservedReservePenalty,timepoint,0.0,0.0
