gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,multiple,2020,1331.2415605227625,4704765.485223804,1434130.1061379677,180.0,28945169.02245778,13559854.833563756,35.46297737482491,0.8442678592863792,0.0,0.0
Airport_DSG,multiple,2020,1.269215955983494,20783.349372938672,0.0,8.0,262179.80871822074,62220.4997789953,271.96605608592256,0.018110958276020175,0.0,0.0
Airport_DSG,multiple,2025,1.4941403026134803,24466.474578269575,0.0,8.0,262179.80871822074,62220.4997789953,233.48997578424473,0.02132049518569464,0.0,0.0
Airport_DSG,multiple,2030,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2035,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2040,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2045,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Battery_Bulk,Battery,2020,-2.6518832841059816,0.0,0.0,185.05334331570887,6035973.481338455,6405239.654377862,521.2737013596054,0.014722985123314703,26.51883284105981,23.86694955695383
Battery_Bulk,Battery,2025,-12.82487422970151,0.0,0.0,185.05334331570887,6035973.481338455,6405239.654377862,107.78717906473874,0.07120239175832878,128.24874229701516,115.42386806731366
Battery_Bulk,Battery,2030,-74.73657825750664,0.0,0.0,349.47723364667826,9049083.55267281,9602684.469466161,27.729643468369456,0.21971146716138462,747.3657825750666,672.6292043175599
Battery_Bulk,Battery,2035,-93.79841693208337,0.0,0.0,427.66019684578293,7535491.015551662,7996494.023250189,18.398776566474577,0.22533833469849263,937.9841693208338,844.1857523887504
