load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-01-12 00:00,647.788,0,646.601,0,1.18636,0
Oahu,2020-01-12 02:00,604.349,0,592.355,11.1351,0.859446,0
Oahu,2020-01-12 04:00,654.352,0,653.488,0,0.863464,0
Oahu,2020-01-12 06:00,914.226,0,913.182,0,1.04417,0
Oahu,2020-01-12 08:00,1006.41,0,1004.81,0,1.59563,0
Oahu,2020-01-12 10:00,1075.09,0,1061.22,11.1351,2.74151,0
Oahu,2020-01-12 12:00,1067.18,0,1064.04,0,3.14321,0
Oahu,2020-01-12 14:00,1058.03,0,1050.26,3.93617,3.83282,0
Oahu,2020-01-12 16:00,1023.51,0,1019.38,0,4.12742,0
Oahu,2020-01-12 18:00,1077.32,0,1070.67,0,6.65109,0
Oahu,2020-01-12 20:00,968.305,0,962.135,0,6.17026,0
Oahu,2020-01-12 22:00,803.495,0,801.948,0,1.54632,0
Oahu,2020-01-19 00:00,621.2,0,608.879,11.1351,1.18636,0
Oahu,2020-01-19 02:00,556.712,0,555.852,0,0.859446,0
Oahu,2020-01-19 04:00,626.536,0,625.672,0,0.863464,0
Oahu,2020-01-19 06:00,886.152,0,885.107,0,1.04417,0
Oahu,2020-01-19 08:00,965.602,0,964.006,0,1.59563,0
Oahu,2020-01-19 10:00,1024.61,0,1010.74,11.1351,2.74151,0
Oahu,2020-01-19 12:00,1030.46,0,1027.32,0,3.14321,0
Oahu,2020-01-19 14:00,1027.32,0,1023.49,0,3.83282,0
Oahu,2020-01-19 16:00,1001.25,0,997.127,0,4.12742,0
Oahu,2020-01-19 18:00,1058.29,0,1051.64,0,6.65109,0
Oahu,2020-01-19 20:00,954.686,0,948.516,0,6.17026,0
Oahu,2020-01-19 22:00,789.597,0,788.051,0,1.54632,0
Oahu,2020-02-12 00:00,546.44,0,545.253,0,1.18636,0
Oahu,2020-02-12 02:00,516.816,0,504.821,11.1351,0.859446,0
Oahu,2020-02-12 04:00,585.214,0,584.351,0,0.863464,0
Oahu,2020-02-12 06:00,843.828,0,842.783,0,1.04417,0
Oahu,2020-02-12 08:00,931.3,0,918.57,11.1351,1.59563,0
Oahu,2020-02-12 10:00,969.591,0,966.85,0,2.74151,0
Oahu,2020-02-12 12:00,989.578,0,986.435,0,3.14321,0
Oahu,2020-02-12 14:00,1000.25,0,990.054,6.36193,3.83282,0
Oahu,2020-02-12 16:00,987.605,0,983.478,0,4.12742,0
Oahu,2020-02-12 18:00,1076.39,0,1069.74,0,6.65109,0
Oahu,2020-02-12 20:00,962.235,0,956.065,0,6.17026,0
Oahu,2020-02-12 22:00,745.773,0,744.227,0,1.54632,0
Oahu,2020-05-02 00:00,623.849,0,622.663,0,1.18636,0
Oahu,2020-05-02 02:00,588.693,0,576.699,11.1351,0.859446,0
Oahu,2020-05-02 04:00,631.923,0,631.06,0,0.863464,0
Oahu,2020-05-02 06:00,893.069,0,892.025,0,1.04417,0
Oahu,2020-05-02 08:00,995.734,0,994.139,0,1.59563,0
Oahu,2020-05-02 10:00,1233.78,0,1045.99,185.053,2.74151,0
Oahu,2020-05-02 12:00,1069.2,0,1066.06,0,3.14321,0
Oahu,2020-05-02 14:00,1071.78,0,1067.95,0,3.83282,0
Oahu,2020-05-02 16:00,1050.58,0,1046.35,0.100399,4.12742,0
Oahu,2020-05-02 18:00,1068.59,0,1061.94,0,6.65109,0
Oahu,2020-05-02 20:00,1005.5,0,999.33,0,6.17026,0
Oahu,2020-05-02 22:00,794.002,0,792.456,0,1.54632,0
Oahu,2020-09-22 00:00,713.852,0,701.531,11.1351,1.18636,0
Oahu,2020-09-22 02:00,642.291,0,641.431,0,0.859446,0
Oahu,2020-09-22 04:00,659.026,0,658.162,0,0.863464,0
Oahu,2020-09-22 06:00,795.537,0,794.493,0,1.04417,0
Oahu,2020-09-22 08:00,991.5,0,988.906,0.998372,1.59563,0
Oahu,2020-09-22 10:00,1063.26,0,1058.89,1.62607,2.74151,0
Oahu,2020-09-22 12:00,1063.62,0,1060.47,0,3.14321,0
Oahu,2020-09-22 14:00,1068.34,0,1053.37,11.1351,3.83282,0
Oahu,2020-09-22 16:00,1044.34,0,1040.22,0,4.12742,0
Oahu,2020-09-22 18:00,1071.53,0,1064.88,0,6.65109,0
Oahu,2020-09-22 20:00,980.693,0,974.523,0,6.17026,0
Oahu,2020-09-22 22:00,850.379,0,848.833,0,1.54632,0
Oahu,2020-10-27 00:00,702.198,0,689.877,11.1351,1.18636,0
Oahu,2020-10-27 02:00,630.564,0,629.705,0,0.859446,0
Oahu,2020-10-27 04:00,652.542,0,651.679,0,0.863464,0
Oahu,2020-10-27 06:00,787.109,0,786.065,0,1.04417,0
Oahu,2020-10-27 08:00,1000.2,0,987.469,11.1351,1.59563,0
Oahu,2020-10-27 10:00,1052.36,0,1049.62,0,2.74151,0
Oahu,2020-10-27 12:00,1052.34,0,1049.19,0,3.14321,0
Oahu,2020-10-27 14:00,1020.12,0,1016.29,0,3.83282,0
Oahu,2020-10-27 16:00,1002.76,0,998.637,0,4.12742,0
Oahu,2020-10-27 18:00,1053.9,0,1047.25,0,6.65109,0
Oahu,2020-10-27 20:00,967.271,0,961.101,0,6.17026,0
Oahu,2020-10-27 22:00,832.748,0,831.202,0,1.54632,0
Oahu,2020-12-15 00:00,656.329,0,655.143,0,1.18636,0
Oahu,2020-12-15 02:00,600.006,0,588.012,11.1351,0.859446,0
Oahu,2020-12-15 04:00,614.065,0,613.201,0,0.863464,0
Oahu,2020-12-15 06:00,745.716,0,744.672,0,1.04417,0
Oahu,2020-12-15 08:00,922.75,0,921.155,0,1.59563,0
Oahu,2020-12-15 10:00,978.504,0,973.271,2.49068,2.74151,0
Oahu,2020-12-15 12:00,964.264,0,961.121,0,3.14321,0
Oahu,2020-12-15 14:00,993.205,0,929.127,60.2445,3.83282,0
Oahu,2020-12-15 16:00,948.135,0,944.008,0,4.12742,0
Oahu,2020-12-15 18:00,1016.77,0,1010.11,0,6.65109,0
Oahu,2020-12-15 20:00,934.222,0,928.052,0,6.17026,0
Oahu,2020-12-15 22:00,794.819,0,793.273,0,1.54632,0
Oahu,2020-02-20 00:00,603.709,0,602.523,0,1.18636,0
Oahu,2020-02-20 02:00,563.484,0,551.49,11.1351,0.859446,0
Oahu,2020-02-20 04:00,624.264,0,623.4,0,0.863464,0
Oahu,2020-02-20 06:00,875.96,0,874.916,0,1.04417,0
Oahu,2020-02-20 08:00,976.463,0,974.867,0,1.59563,0
Oahu,2020-02-20 10:00,1038.46,0,1035.72,0,2.74151,0
Oahu,2020-02-20 12:00,1070.81,0,1056.53,11.1351,3.14321,0
Oahu,2020-02-20 14:00,1065.46,0,1061.63,0,3.83282,0
Oahu,2020-02-20 16:00,1056.45,0,1052.32,0,4.12742,0
Oahu,2020-02-20 18:00,1107.06,0,1100.41,0,6.65109,0
Oahu,2020-02-20 20:00,986.525,0,980.355,0,6.17026,0
Oahu,2020-02-20 22:00,766.895,0,758.942,6.40654,1.54632,0
