generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Oahu_Battery_Bulk,2020-01-12 00:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-01-12 02:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-01-12 04:00,Oahu,0,5.05334,9.93641
Oahu_Battery_Bulk,2020-01-12 06:00,Oahu,0,4.96821,0
Oahu_Battery_Bulk,2020-01-12 08:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-01-12 10:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-01-12 12:00,Oahu,0,3.54255,12.958
Oahu_Battery_Bulk,2020-01-12 14:00,Oahu,3.93617,0,20.0431
Oahu_Battery_Bulk,2020-01-12 16:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-12 18:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-01-12 20:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-01-12 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-01-19 00:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-01-19 02:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-19 04:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-19 06:00,Oahu,0,4.96821,10.1067
Oahu_Battery_Bulk,2020-01-19 08:00,Oahu,0,5.05334,0
Oahu_Battery_Bulk,2020-01-19 10:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-01-19 12:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-19 14:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-19 16:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-01-19 18:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-01-19 20:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-01-19 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-02-12 00:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-02-12 02:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-02-12 04:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-02-12 06:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-02-12 08:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-02-12 10:00,Oahu,0,2.14525,15.7526
Oahu_Battery_Bulk,2020-02-12 12:00,Oahu,0,3.58048,8.59163
Oahu_Battery_Bulk,2020-02-12 14:00,Oahu,6.36193,0,20.0431
Oahu_Battery_Bulk,2020-02-12 16:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-02-12 18:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-02-12 20:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-02-12 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-05-02 00:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-05-02 02:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-05-02 04:00,Oahu,0,4.96821,10.1067
Oahu_Battery_Bulk,2020-05-02 06:00,Oahu,0,5.05334,0
Oahu_Battery_Bulk,2020-05-02 08:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-05-02 10:00,Oahu,185.053,156.526,20.0431
Oahu_Battery_Bulk,2020-05-02 12:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-05-02 14:00,Oahu,0,0.0903595,19.8624
Oahu_Battery_Bulk,2020-05-02 16:00,Oahu,0.100399,0,20.0431
Oahu_Battery_Bulk,2020-05-02 18:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-05-02 20:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-05-02 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-09-22 00:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-09-22 02:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-09-22 04:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-09-22 06:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-09-22 08:00,Oahu,0.998372,0,1.79707
Oahu_Battery_Bulk,2020-09-22 10:00,Oahu,1.62607,0,4.72399
Oahu_Battery_Bulk,2020-09-22 12:00,Oahu,0,2.36199,0
Oahu_Battery_Bulk,2020-09-22 14:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-09-22 16:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-09-22 18:00,Oahu,0,10.0216,0
Oahu_Battery_Bulk,2020-09-22 20:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-09-22 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-10-27 00:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-10-27 02:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-10-27 04:00,Oahu,0,0.498475,19.0462
Oahu_Battery_Bulk,2020-10-27 06:00,Oahu,0,9.52308,0
Oahu_Battery_Bulk,2020-10-27 08:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-10-27 10:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-10-27 12:00,Oahu,0,0,20.0431
Oahu_Battery_Bulk,2020-10-27 14:00,Oahu,0,0.439656,19.1638
Oahu_Battery_Bulk,2020-10-27 16:00,Oahu,0,1.57384,16.0161
Oahu_Battery_Bulk,2020-10-27 18:00,Oahu,0,8.00805,0
Oahu_Battery_Bulk,2020-10-27 20:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-10-27 22:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-12-15 00:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-12-15 02:00,Oahu,11.1351,0,20.0431
Oahu_Battery_Bulk,2020-12-15 04:00,Oahu,0,0.26391,19.5153
Oahu_Battery_Bulk,2020-12-15 06:00,Oahu,0,9.75764,0
Oahu_Battery_Bulk,2020-12-15 08:00,Oahu,0,0,0
Oahu_Battery_Bulk,2020-12-15 10:00,Oahu,2.49068,0,4.48323
