generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_4	2020-01-23-00:00	Oahu	28.3074	0	49.8211
Oahu_Battery_4	2020-01-23-02:00	Oahu	39.6761	0	119.651
Oahu_Battery_4	2020-01-23-04:00	Oahu	22.1894	0	158.704
Oahu_Battery_4	2020-01-23-06:00	Oahu	0	22.2037	114.297
Oahu_Battery_4	2020-01-23-08:00	Oahu	0	0	114.297
Oahu_Battery_4	2020-01-23-10:00	Oahu	3.26353	0	120.041
Oahu_Battery_4	2020-01-23-12:00	Oahu	21.968	0	158.704
Oahu_Battery_4	2020-01-23-14:00	Oahu	0	0	158.704
Oahu_Battery_4	2020-01-23-16:00	Oahu	0	0	158.704
Oahu_Battery_4	2020-01-23-18:00	Oahu	0	27.341	104.022
Oahu_Battery_4	2020-01-23-20:00	Oahu	0	17.4512	69.12
Oahu_Battery_4	2020-01-23-22:00	Oahu	0	34.56	0
Oahu_Battery_4	2020-02-23-00:00	Oahu	10.8207	0	19.0445
Oahu_Battery_4	2020-02-23-02:00	Oahu	39.6761	0	88.8744
Oahu_Battery_4	2020-02-23-04:00	Oahu	39.6761	0	158.704
Oahu_Battery_4	2020-02-23-06:00	Oahu	0	30.2883	98.1277
Oahu_Battery_4	2020-02-23-08:00	Oahu	0	31.8678	34.3921
Oahu_Battery_4	2020-02-23-10:00	Oahu	0	0	34.3921
Oahu_Battery_4	2020-02-23-12:00	Oahu	0	0	34.3921
Oahu_Battery_4	2020-02-23-14:00	Oahu	6.44091	0	45.7281
Oahu_Battery_4	2020-02-23-16:00	Oahu	0	0	45.7281
Oahu_Battery_4	2020-02-23-18:00	Oahu	0	22.864	0
Oahu_Battery_4	2020-02-23-20:00	Oahu	0	0	0
Oahu_Battery_4	2020-02-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-03-23-00:00	Oahu	20.9354	0	36.8463
Oahu_Battery_4	2020-03-23-02:00	Oahu	39.6761	0	106.676
Oahu_Battery_4	2020-03-23-04:00	Oahu	0	28.3752	49.9258
Oahu_Battery_4	2020-03-23-06:00	Oahu	23.7699	0	91.7609
Oahu_Battery_4	2020-03-23-08:00	Oahu	0	1.44324	88.8744
Oahu_Battery_4	2020-03-23-10:00	Oahu	39.6761	0	158.704
Oahu_Battery_4	2020-03-23-12:00	Oahu	0	10.4664	137.772
Oahu_Battery_4	2020-03-23-14:00	Oahu	11.8936	0	158.704
Oahu_Battery_4	2020-03-23-16:00	Oahu	0	0	158.704
Oahu_Battery_4	2020-03-23-18:00	Oahu	0	39.6761	79.3522
Oahu_Battery_4	2020-03-23-20:00	Oahu	0	39.6761	0
Oahu_Battery_4	2020-03-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-04-23-00:00	Oahu	15.5376	0	27.3461
Oahu_Battery_4	2020-04-23-02:00	Oahu	34.9593	0	88.8744
Oahu_Battery_4	2020-04-23-04:00	Oahu	39.6761	0	158.704
Oahu_Battery_4	2020-04-23-06:00	Oahu	0	6.74884	145.207
Oahu_Battery_4	2020-04-23-08:00	Oahu	0	38.5485	68.1096
Oahu_Battery_4	2020-04-23-10:00	Oahu	0	0.80108	66.5074
Oahu_Battery_4	2020-04-23-12:00	Oahu	38.5137	0	134.292
Oahu_Battery_4	2020-04-23-14:00	Oahu	0	3.35843	127.575
Oahu_Battery_4	2020-04-23-16:00	Oahu	0	18.0445	91.4858
Oahu_Battery_4	2020-04-23-18:00	Oahu	0	22.1784	47.129
Oahu_Battery_4	2020-04-23-20:00	Oahu	0	23.5645	0
Oahu_Battery_4	2020-04-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-05-23-00:00	Oahu	39.6761	0	69.8299
Oahu_Battery_4	2020-05-23-02:00	Oahu	39.6761	0	139.66
Oahu_Battery_4	2020-05-23-04:00	Oahu	10.8207	0	158.704
Oahu_Battery_4	2020-05-23-06:00	Oahu	0	6.21858	146.267
Oahu_Battery_4	2020-05-23-08:00	Oahu	0	20.0187	106.23
Oahu_Battery_4	2020-05-23-10:00	Oahu	0	0	106.23
Oahu_Battery_4	2020-05-23-12:00	Oahu	0	0	106.23
Oahu_Battery_4	2020-05-23-14:00	Oahu	0	6.34977	93.5302
Oahu_Battery_4	2020-05-23-16:00	Oahu	0	10.7645	72.0012
Oahu_Battery_4	2020-05-23-18:00	Oahu	0	32.3657	7.26984
Oahu_Battery_4	2020-05-23-20:00	Oahu	0	3.63492	0
Oahu_Battery_4	2020-05-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-06-23-00:00	Oahu	33.6783	0	59.2738
Oahu_Battery_4	2020-06-23-02:00	Oahu	0	4.15264	50.9685
Oahu_Battery_4	2020-06-23-04:00	Oahu	39.6761	0	120.798
Oahu_Battery_4	2020-06-23-06:00	Oahu	0	21.9259	76.9467
Oahu_Battery_4	2020-06-23-08:00	Oahu	0	9.60347	57.7397
Oahu_Battery_4	2020-06-23-10:00	Oahu	0	2.97436	51.791
Oahu_Battery_4	2020-06-23-12:00	Oahu	39.6761	0	121.621
Oahu_Battery_4	2020-06-23-14:00	Oahu	17.2875	0	152.047
Oahu_Battery_4	2020-06-23-16:00	Oahu	3.78262	0	158.704
