BALANCING_AREA_TIMEPOINTS_1	BALANCING_AREA_TIMEPOINTS_2	MaximumContingencyDown
system_wide_balancing_area	2020012300	53.2598516655
system_wide_balancing_area	2020012302	48.2672997961
system_wide_balancing_area	2020012304	56.4319411133
system_wide_balancing_area	2020012306	84.5770985082
system_wide_balancing_area	2020012308	91.8921213665
system_wide_balancing_area	2020012310	95.7789031729
system_wide_balancing_area	2020012312	96.8355032392
system_wide_balancing_area	2020012314	95.9755831599
system_wide_balancing_area	2020012316	95.2048600371
system_wide_balancing_area	2020012318	105.470131556
system_wide_balancing_area	2020012320	92.6331121705
system_wide_balancing_area	2020012322	69.6143020798
system_wide_balancing_area	2020022300	57.2735611598
system_wide_balancing_area	2020022302	50.2066845136
system_wide_balancing_area	2020022304	51.8144561644
system_wide_balancing_area	2020022306	64.7589655597
system_wide_balancing_area	2020022308	85.3055124018
system_wide_balancing_area	2020022310	93.7926307282
system_wide_balancing_area	2020022312	94.116238403
system_wide_balancing_area	2020022314	93.6325368481
system_wide_balancing_area	2020022316	95.2197261965
system_wide_balancing_area	2020022318	101.108791232
system_wide_balancing_area	2020022320	92.35295137
system_wide_balancing_area	2020022322	76.0328117725
system_wide_balancing_area	2020032300	56.8836280799
system_wide_balancing_area	2020032302	50.3439068423
system_wide_balancing_area	2020032304	51.6543692637
system_wide_balancing_area	2020032306	60.913348358
system_wide_balancing_area	2020032308	79.5719627489
system_wide_balancing_area	2020032310	85.3878485908
system_wide_balancing_area	2020032312	86.2134578533
system_wide_balancing_area	2020032314	85.8040801161
system_wide_balancing_area	2020032316	87.3855533215
system_wide_balancing_area	2020032318	92.7325967885
system_wide_balancing_area	2020032320	88.4421533878
system_wide_balancing_area	2020032322	71.0985729368
system_wide_balancing_area	2020042300	54.3073017154
system_wide_balancing_area	2020042302	49.289596025
system_wide_balancing_area	2020042304	56.0774564952
system_wide_balancing_area	2020042306	82.0602367814
system_wide_balancing_area	2020042308	96.2008508412
system_wide_balancing_area	2020042310	102.894949816
system_wide_balancing_area	2020042312	105.234562254
system_wide_balancing_area	2020042314	105.727420805
system_wide_balancing_area	2020042316	104.436396062
system_wide_balancing_area	2020042318	104.574769994
system_wide_balancing_area	2020042320	98.1448140567
system_wide_balancing_area	2020042322	73.35700079
system_wide_balancing_area	2020052300	61.5228399557
system_wide_balancing_area	2020052302	56.1906626481
system_wide_balancing_area	2020052304	64.140330925
system_wide_balancing_area	2020052306	89.776631985
system_wide_balancing_area	2020052308	104.200840719
system_wide_balancing_area	2020052310	110.00870721
system_wide_balancing_area	2020052312	111.176238139
system_wide_balancing_area	2020052314	109.84633804
system_wide_balancing_area	2020052316	104.726851503
system_wide_balancing_area	2020052318	101.873791232
system_wide_balancing_area	2020052320	96.7405971192
system_wide_balancing_area	2020052322	78.242069629
system_wide_balancing_area	2020062300	59.5136959596
system_wide_balancing_area	2020062302	54.1369201738
system_wide_balancing_area	2020062304	61.200369926
system_wide_balancing_area	2020062306	84.6560008238
system_wide_balancing_area	2020062308	100.343791231
system_wide_balancing_area	2020062310	108.387221004
system_wide_balancing_area	2020062312	110.643359608
system_wide_balancing_area	2020062314	110.845762717
system_wide_balancing_area	2020062316	108.095620938
system_wide_balancing_area	2020062318	104.85606844
system_wide_balancing_area	2020062320	103.049320574
system_wide_balancing_area	2020062322	79.8018089281
system_wide_balancing_area	2020072300	65.4221986726
system_wide_balancing_area	2020072302	59.4588098199
