STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Oahu_Battery_4,2020012300,71.5216208587
Oahu_Battery_4,2020012302,164.145275951
Oahu_Battery_4,2020012304,210.508307027
Oahu_Battery_4,2020012306,137.03533118
Oahu_Battery_4,2020012308,137.03533118
Oahu_Battery_4,2020012310,165.220183129
Oahu_Battery_4,2020012312,210.508307027
Oahu_Battery_4,2020012314,210.508307027
Oahu_Battery_4,2020012316,210.508307027
Oahu_Battery_4,2020012318,105.254153513
Oahu_Battery_4,2020012320,0.0
Oahu_Battery_4,2020012322,0.0
Oahu_Battery_4,2020022300,92.6236550918
Oahu_Battery_4,2020022302,185.247310184
Oahu_Battery_4,2020022304,210.508307027
Oahu_Battery_4,2020022306,105.254153513
Oahu_Battery_4,2020022308,75.9547619742
Oahu_Battery_4,2020022310,117.884651935
Oahu_Battery_4,2020022312,210.508307027
Oahu_Battery_4,2020022314,210.508307027
Oahu_Battery_4,2020022316,196.499287035
Oahu_Battery_4,2020022318,91.2451335216
Oahu_Battery_4,2020022320,0.0
Oahu_Battery_4,2020022322,0.0
Oahu_Battery_4,2020032300,13.5355972667
Oahu_Battery_4,2020032302,106.159252359
Oahu_Battery_4,2020032304,59.171880024
Oahu_Battery_4,2020032306,81.3072042817
Oahu_Battery_4,2020032308,85.8851076698
Oahu_Battery_4,2020032310,178.508762762
Oahu_Battery_4,2020032312,178.508762762
Oahu_Battery_4,2020032314,210.508307027
Oahu_Battery_4,2020032316,210.508307027
Oahu_Battery_4,2020032318,105.254153513
Oahu_Battery_4,2020032320,17.44191432
Oahu_Battery_4,2020032322,0.0
Oahu_Battery_4,2020042300,42.3612753952
Oahu_Battery_4,2020042302,78.0926694978
Oahu_Battery_4,2020042304,170.71632459
Oahu_Battery_4,2020042306,93.3893125837
Oahu_Battery_4,2020042308,54.7866010034
Oahu_Battery_4,2020042310,54.7866010034
Oahu_Battery_4,2020042312,126.958855369
Oahu_Battery_4,2020042314,126.958855369
Oahu_Battery_4,2020042316,77.9247944541
Oahu_Battery_4,2020042318,0.0
Oahu_Battery_4,2020042320,0.0
