STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_4	2020012300	56.9617232206
Oahu_Battery_4	2020012302	113.923446441
Oahu_Battery_4	2020012304	129.458461865
Oahu_Battery_4	2020012306	64.7292309325
Oahu_Battery_4	2020012308	64.7292309325
Oahu_Battery_4	2020012310	99.6206251868
Oahu_Battery_4	2020012312	129.458461865
Oahu_Battery_4	2020012314	129.458461865
Oahu_Battery_4	2020012316	129.458461865
Oahu_Battery_4	2020012318	64.7292309325
Oahu_Battery_4	2020012320	0.0
Oahu_Battery_4	2020012322	0.0
Oahu_Battery_4	2020022300	56.9617232206
Oahu_Battery_4	2020022302	113.923446441
Oahu_Battery_4	2020022304	129.458461865
Oahu_Battery_4	2020022306	72.4967386444
Oahu_Battery_4	2020022308	72.4967386444
Oahu_Battery_4	2020022310	72.4967386444
Oahu_Battery_4	2020022312	129.458461865
Oahu_Battery_4	2020022314	129.458461865
Oahu_Battery_4	2020022316	79.7807963637
Oahu_Battery_4	2020022318	15.0515654312
Oahu_Battery_4	2020022320	0.0
Oahu_Battery_4	2020022322	0.0
Oahu_Battery_4	2020032300	0.0
Oahu_Battery_4	2020032302	56.9617232206
Oahu_Battery_4	2020032304	56.9617232206
Oahu_Battery_4	2020032306	64.2219903015
Oahu_Battery_4	2020032308	64.2219903015
Oahu_Battery_4	2020032310	121.183713522
Oahu_Battery_4	2020032312	121.183713522
Oahu_Battery_4	2020032314	129.458461865
Oahu_Battery_4	2020032316	129.458461865
Oahu_Battery_4	2020032318	66.7792109359
Oahu_Battery_4	2020032320	9.30577221715
Oahu_Battery_4	2020032322	0.0
Oahu_Battery_4	2020042300	0.0
Oahu_Battery_4	2020042302	0.0
Oahu_Battery_4	2020042304	56.0327173336
Oahu_Battery_4	2020042306	56.0327173336
Oahu_Battery_4	2020042308	56.0327173336
Oahu_Battery_4	2020042310	56.0327173336
Oahu_Battery_4	2020042312	105.567457052
Oahu_Battery_4	2020042314	105.567457052
Oahu_Battery_4	2020042316	97.5159766653
Oahu_Battery_4	2020042318	32.7867457328
Oahu_Battery_4	2020042320	0.0
Oahu_Battery_4	2020042322	0.0
Oahu_Battery_4	2020052300	56.9617232206
Oahu_Battery_4	2020052302	113.923446441
Oahu_Battery_4	2020052304	129.458461865
Oahu_Battery_4	2020052306	64.7292309325
Oahu_Battery_4	2020052308	34.7046646731
Oahu_Battery_4	2020052310	53.5394811692
Oahu_Battery_4	2020052312	40.4010459749
Oahu_Battery_4	2020052314	56.820900673
Oahu_Battery_4	2020052316	56.820900673
Oahu_Battery_4	2020052318	31.0029923175
Oahu_Battery_4	2020052320	0.0
Oahu_Battery_4	2020052322	0.0
Oahu_Battery_4	2020062300	56.9617232206
Oahu_Battery_4	2020062302	29.0062687021
Oahu_Battery_4	2020062304	85.9679919226
Oahu_Battery_4	2020062306	91.1230796322
Oahu_Battery_4	2020062308	37.2421581709
Oahu_Battery_4	2020062310	15.5350154238
Oahu_Battery_4	2020062312	72.4967386444
Oahu_Battery_4	2020062314	129.458461865
Oahu_Battery_4	2020062316	129.458461865
Oahu_Battery_4	2020062318	64.7292309325
Oahu_Battery_4	2020062320	0.0
Oahu_Battery_4	2020062322	0.0
Oahu_Battery_4	2020072300	56.9617232206
Oahu_Battery_4	2020072302	113.923446441
Oahu_Battery_4	2020072304	113.923446441
Oahu_Battery_4	2020072306	113.923446441
Oahu_Battery_4	2020072308	113.923446441
Oahu_Battery_4	2020072310	118.384572325
Oahu_Battery_4	2020072312	129.458461865
Oahu_Battery_4	2020072314	129.458461865
Oahu_Battery_4	2020072316	79.2640280873
Oahu_Battery_4	2020072318	62.4090016094
Oahu_Battery_4	2020072320	0.0
Oahu_Battery_4	2020072322	0.0
Oahu_Battery_4	2020082300	0.0
Oahu_Battery_4	2020082302	56.9617232206
Oahu_Battery_4	2020082304	113.923446441
Oahu_Battery_4	2020082306	95.1961916062
Oahu_Battery_4	2020082308	96.4475313206
Oahu_Battery_4	2020082310	84.88917558
Oahu_Battery_4	2020082312	129.458461865
Oahu_Battery_4	2020082314	129.458461865
Oahu_Battery_4	2020082316	129.458461865
Oahu_Battery_4	2020082318	68.5509934066
Oahu_Battery_4	2020082320	3.82176247416
Oahu_Battery_4	2020082322	0.0
Oahu_Battery_4	2020092300	107.445572133
Oahu_Battery_4	2020092302	117.829044368
Oahu_Battery_4	2020092304	123.361251743
Oahu_Battery_4	2020092306	58.6320208102
Oahu_Battery_4	2020092308	33.6031944176
Oahu_Battery_4	2020092310	59.1935344236
Oahu_Battery_4	2020092312	112.772967437
Oahu_Battery_4	2020092314	129.458461865
Oahu_Battery_4	2020092316	129.458461865
Oahu_Battery_4	2020092318	64.7292309325
Oahu_Battery_4	2020092320	0.0
Oahu_Battery_4	2020092322	50.4838489119
Oahu_Battery_4	2020102300	20.1594982956
Oahu_Battery_4	2020102302	54.0913623612
Oahu_Battery_4	2020102304	32.2126973273
Oahu_Battery_4	2020102306	0.0
Oahu_Battery_4	2020102308	15.5350154238
Oahu_Battery_4	2020102310	72.4967386444
Oahu_Battery_4	2020102312	129.458461865
Oahu_Battery_4	2020102314	129.458461865
Oahu_Battery_4	2020102316	129.458461865
Oahu_Battery_4	2020102318	64.7292309325
Oahu_Battery_4	2020102320	20.1594982956
Oahu_Battery_4	2020102322	20.1594982956
Oahu_Battery_4	2020112300	0.0
Oahu_Battery_4	2020112302	38.0338637292
Oahu_Battery_4	2020112304	0.0
Oahu_Battery_4	2020112306	0.0
Oahu_Battery_4	2020112308	8.84308835608
Oahu_Battery_4	2020112310	45.856005762
Oahu_Battery_4	2020112312	102.817728983
Oahu_Battery_4	2020112314	129.458461865
Oahu_Battery_4	2020112316	127.598811292
Oahu_Battery_4	2020112318	62.8695803598
Oahu_Battery_4	2020112320	62.8695803598
Oahu_Battery_4	2020112322	51.1497916152
Oahu_Battery_4	2020122300	62.9410637147
Oahu_Battery_4	2020122302	119.902786935
Oahu_Battery_4	2020122304	129.458461865
Oahu_Battery_4	2020122306	65.9172608451
Oahu_Battery_4	2020122308	1.18802991262
Oahu_Battery_4	2020122310	1.18802991262
Oahu_Battery_4	2020122312	58.1497531332
Oahu_Battery_4	2020122314	64.7292309325
Oahu_Battery_4	2020122316	64.7292309325
Oahu_Battery_4	2020122318	0.0
Oahu_Battery_4	2020122320	0.0
Oahu_Battery_4	2020122322	5.97934049415
Oahu_Battery_4	2025012300	0.0
Oahu_Battery_4	2025012302	139.437134954
Oahu_Battery_4	2025012304	181.848636154
Oahu_Battery_4	2025012306	0.0
Oahu_Battery_4	2025012308	0.0
Oahu_Battery_4	2025012310	161.152524804
Oahu_Battery_4	2025012312	311.64842666
Oahu_Battery_4	2025012314	371.171916289
Oahu_Battery_4	2025012316	371.171916289
Oahu_Battery_4	2025012318	185.585958144
Oahu_Battery_4	2025012320	45.9568114405
Oahu_Battery_4	2025012322	0.0
Oahu_Battery_4	2025022300	17.9369627021
Oahu_Battery_4	2025022302	181.252605869
Oahu_Battery_4	2025022304	188.472008325
Oahu_Battery_4	2025022306	2.88605018064
Oahu_Battery_4	2025022308	0.0
Oahu_Battery_4	2025022310	68.7914518886
Oahu_Battery_4	2025022312	232.107095056
Oahu_Battery_4	2025022314	366.425488737
Oahu_Battery_4	2025022316	371.171916289
Oahu_Battery_4	2025022318	185.585958144
Oahu_Battery_4	2025022320	0.0
Oahu_Battery_4	2025022322	0.0
Oahu_Battery_4	2025032300	0.0
Oahu_Battery_4	2025032302	84.5989963984
Oahu_Battery_4	2025032304	0.0
Oahu_Battery_4	2025032306	0.0
Oahu_Battery_4	2025032308	163.315643167
Oahu_Battery_4	2025032310	68.4707630681
Oahu_Battery_4	2025032312	68.4707630681
Oahu_Battery_4	2025032314	231.786406235
Oahu_Battery_4	2025032316	371.171916289
Oahu_Battery_4	2025032318	211.371683327
Oahu_Battery_4	2025032320	25.7857251828
Oahu_Battery_4	2025032322	0.0
Oahu_Battery_4	2025042300	84.3330949882
Oahu_Battery_4	2025042302	185.585958144
Oahu_Battery_4	2025042304	185.585958144
Oahu_Battery_4	2025042306	0.0
Oahu_Battery_4	2025042308	0.0
Oahu_Battery_4	2025042310	113.785930219
Oahu_Battery_4	2025042312	277.101573386
Oahu_Battery_4	2025042314	371.171916289
Oahu_Battery_4	2025042316	371.171916289
Oahu_Battery_4	2025042318	185.585958144
Oahu_Battery_4	2025042320	21.5212255143
Oahu_Battery_4	2025042322	0.0
Oahu_Battery_4	2025052300	30.0730116458
Oahu_Battery_4	2025052302	112.903950325
Oahu_Battery_4	2025052304	112.903950325
Oahu_Battery_4	2025052306	26.2222171556
Oahu_Battery_4	2025052308	115.910088064
Oahu_Battery_4	2025052310	191.739757229
Oahu_Battery_4	2025052312	315.859303368
Oahu_Battery_4	2025052314	315.859303368
Oahu_Battery_4	2025052316	315.859303368
Oahu_Battery_4	2025052318	130.273345224
Oahu_Battery_4	2025052320	0.0
Oahu_Battery_4	2025052322	0.0
Oahu_Battery_4	2025062300	45.1431629377
Oahu_Battery_4	2025062302	0.0
Oahu_Battery_4	2025062304	64.5332850866
Oahu_Battery_4	2025062306	10.7820225229
Oahu_Battery_4	2025062308	61.7317189002
Oahu_Battery_4	2025062310	120.229707212
Oahu_Battery_4	2025062312	283.545350379
Oahu_Battery_4	2025062314	371.171916289
Oahu_Battery_4	2025062316	371.171916289
Oahu_Battery_4	2025062318	285.954531861
Oahu_Battery_4	2025062320	100.368573717
Oahu_Battery_4	2025062322	25.8118523523
Oahu_Battery_4	2025072300	136.577779748
Oahu_Battery_4	2025072302	210.935997517
Oahu_Battery_4	2025072304	88.3546440524
Oahu_Battery_4	2025072306	0.0
Oahu_Battery_4	2025072308	57.3997773489
Oahu_Battery_4	2025072310	213.858514658
Oahu_Battery_4	2025072312	371.171916289
Oahu_Battery_4	2025072314	371.171916289
Oahu_Battery_4	2025072316	371.171916289
Oahu_Battery_4	2025072318	185.585958144
Oahu_Battery_4	2025072320	0.0
Oahu_Battery_4	2025072322	0.0
Oahu_Battery_4	2025082300	138.661741041
Oahu_Battery_4	2025082302	90.9464957115
Oahu_Battery_4	2025082304	90.9464957115
Oahu_Battery_4	2025082306	0.0
Oahu_Battery_4	2025082308	25.9240811891
Oahu_Battery_4	2025082310	126.305459404
Oahu_Battery_4	2025082312	258.661127491
Oahu_Battery_4	2025082314	339.124834471
Oahu_Battery_4	2025082316	371.171916289
Oahu_Battery_4	2025082318	348.908610957
Oahu_Battery_4	2025082320	321.923303754
Oahu_Battery_4	2025082322	284.711160674
Oahu_Battery_4	2025092300	22.2703149773
Oahu_Battery_4	2025092302	22.2703149773
Oahu_Battery_4	2025092304	185.585958144
Oahu_Battery_4	2025092306	0.0
Oahu_Battery_4	2025092308	0.0
Oahu_Battery_4	2025092310	60.220123171
Oahu_Battery_4	2025092312	210.625328482
Oahu_Battery_4	2025092314	329.877195928
Oahu_Battery_4	2025092316	371.171916289
Oahu_Battery_4	2025092318	185.585958144
Oahu_Battery_4	2025092320	32.671434683
Oahu_Battery_4	2025092322	0.0
Oahu_Battery_4	2025102300	4.60381922679
Oahu_Battery_4	2025102302	115.151878935
Oahu_Battery_4	2025102304	122.997197187
Oahu_Battery_4	2025102306	0.0
Oahu_Battery_4	2025102308	0.0
Oahu_Battery_4	2025102310	163.315643167
Oahu_Battery_4	2025102312	304.965488453
Oahu_Battery_4	2025102314	371.171916289
Oahu_Battery_4	2025102316	370.848987973
Oahu_Battery_4	2025102318	185.263029828
Oahu_Battery_4	2025102320	43.972429138
Oahu_Battery_4	2025102322	0.0
Oahu_Battery_4	2025112300	57.9694681097
Oahu_Battery_4	2025112302	57.9694681097
Oahu_Battery_4	2025112304	0.0
Oahu_Battery_4	2025112306	0.0
Oahu_Battery_4	2025112308	20.9329555197
Oahu_Battery_4	2025112310	104.8678194
Oahu_Battery_4	2025112312	268.183462567
Oahu_Battery_4	2025112314	371.171916289
Oahu_Battery_4	2025112316	371.171916289
Oahu_Battery_4	2025112318	185.585958144
Oahu_Battery_4	2025112320	185.585958144
Oahu_Battery_4	2025112322	162.342819831
Oahu_Battery_4	2025122300	85.7009128959
Oahu_Battery_4	2025122302	233.83894069
Oahu_Battery_4	2025122304	236.197582075
Oahu_Battery_4	2025122306	147.116585249
Oahu_Battery_4	2025122308	0.0
Oahu_Battery_4	2025122310	131.574437489
Oahu_Battery_4	2025122312	207.856273122
Oahu_Battery_4	2025122314	371.171916289
Oahu_Battery_4	2025122316	371.171916289
Oahu_Battery_4	2025122318	185.585958144
Oahu_Battery_4	2025122320	0.0
Oahu_Battery_4	2025122322	0.0
Oahu_Battery_4	2030012300	0.0
Oahu_Battery_4	2030012302	0.0
Oahu_Battery_4	2030012304	0.0
Oahu_Battery_4	2030012306	0.0
Oahu_Battery_4	2030012308	0.0
Oahu_Battery_4	2030012310	163.315643167
Oahu_Battery_4	2030012312	326.631286334
Oahu_Battery_4	2030012314	371.171916289
Oahu_Battery_4	2030012316	371.171916289
Oahu_Battery_4	2030012318	240.905460633
Oahu_Battery_4	2030012320	55.319502489
Oahu_Battery_4	2030012322	0.0
Oahu_Battery_4	2030022300	143.139924428
Oahu_Battery_4	2030022302	146.268302508
Oahu_Battery_4	2030022304	146.268302508
Oahu_Battery_4	2030022306	0.0
Oahu_Battery_4	2030022308	0.0
Oahu_Battery_4	2030022310	94.7943794315
Oahu_Battery_4	2030022312	258.110022599
Oahu_Battery_4	2030022314	371.171916289
Oahu_Battery_4	2030022316	371.171916289
Oahu_Battery_4	2030022318	185.585958144
Oahu_Battery_4	2030022320	131.88887448
Oahu_Battery_4	2030022322	131.88887448
Oahu_Battery_4	2030032300	0.0
Oahu_Battery_4	2030032302	0.0
Oahu_Battery_4	2030032304	0.0
Oahu_Battery_4	2030032306	0.0
Oahu_Battery_4	2030032308	159.728949688
Oahu_Battery_4	2030032310	159.728949688
Oahu_Battery_4	2030032312	159.728949688
Oahu_Battery_4	2030032314	323.044592855
Oahu_Battery_4	2030032316	371.171916289
Oahu_Battery_4	2030032318	233.74537831
Oahu_Battery_4	2030032320	73.8710231323
Oahu_Battery_4	2030032322	0.0
Oahu_Battery_4	2030042300	16.926010337
Oahu_Battery_4	2030042302	30.4125049293
Oahu_Battery_4	2030042304	12.6169158544
Oahu_Battery_4	2030042306	0.0
Oahu_Battery_4	2030042308	0.0
Oahu_Battery_4	2030042310	104.628064467
Oahu_Battery_4	2030042312	267.943707634
Oahu_Battery_4	2030042314	354.251401626
Oahu_Battery_4	2030042316	354.251401626
Oahu_Battery_4	2030042318	168.665443481
Oahu_Battery_4	2030042320	0.0
Oahu_Battery_4	2030042322	0.0
Oahu_Battery_4	2030052300	0.0
Oahu_Battery_4	2030052302	7.94335365345
Oahu_Battery_4	2030052304	7.94335365345
Oahu_Battery_4	2030052306	0.0
Oahu_Battery_4	2030052308	163.315643167
Oahu_Battery_4	2030052310	169.340949172
Oahu_Battery_4	2030052312	316.636605186
Oahu_Battery_4	2030052314	325.097872097
Oahu_Battery_4	2030052316	325.097872097
Oahu_Battery_4	2030052318	222.421903374
Oahu_Battery_4	2030052320	131.829545208
Oahu_Battery_4	2030052322	31.2138919226
Oahu_Battery_4	2030062300	0.0
Oahu_Battery_4	2030062302	0.0
Oahu_Battery_4	2030062304	0.0
Oahu_Battery_4	2030062306	0.0
