gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,multiple,2020,1343.7468163429198,4748960.541711874,1441386.0097570447,180.0,28945169.02245778,13559854.833563756,35.16583914694415,0.852198640501598,0.0,0.0
Airport_DSG,multiple,2020,1.2210178817056394,19994.10825751062,0.0,8.0,262179.80871822074,62220.4997789953,282.055178646231,0.017423200366804215,0.0,0.0
Airport_DSG,multiple,2025,0.28918844566712515,4735.446692568305,0.0,8.0,262179.80871822074,62220.4997789953,1138.135911448693,0.0041265474552957355,0.0,0.0
Airport_DSG,multiple,2030,1.0362585969738654,16968.683981703092,0.0,8.0,262179.80871822074,62220.4997789953,329.4245215198234,0.014786795048143057,0.0,0.0
Airport_DSG,multiple,2035,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2040,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2045,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Battery_Bulk,Battery,2020,-5.022604307902439,0.0,0.0,285.56319453714957,9314351.41126797,9884180.770296305,424.71397538519085,0.018070290583991615,50.22604307902441,45.20343877112197
Battery_Bulk,Battery,2025,-15.94323222627292,0.0,0.0,359.69413016500914,10983401.059808709,11655338.815806465,157.77324861328012,0.04553878347047312,159.43232226272937,143.48909003645642
Battery_Bulk,Battery,2030,-135.89393563357186,0.0,0.0,731.6587232035604,17799747.87661399,18888693.147792686,29.997611211645722,0.19082265095735812,1358.9393563357182,1223.0454207021467
Battery_Bulk,Battery,2035,-173.03141484841848,0.0,0.0,834.3252327328561,15155155.051821299,16082310.56784651,20.058955862650663,0.21307278574602986,1730.3141484841844,1557.2827336357664
Battery_Bulk,Battery,2040,-219.18930734611723,0.0,0.0,993.9734565949552,17234660.71477276,18289035.32815583,18.00761809913671,0.22655986671937586,2191.8930734611704,1972.7037661150537
Battery_Bulk,Battery,2045,-363.9546320439307,0.0,0.0,1481.9195464598279,23221757.46255354,24642408.08932616,14.61237239105557,0.2523254334010451,3639.5463204393072,3275.5916883953764
Battery_Conting,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,multiple,2020,806.4105188645697,3620783.2297019167,459753.9677975867,150.586,19437504.877785232,2603631.9400000004,31.822402420567716,0.6113184180745529,0.0,0.0
CC_152,multiple,2025,1092.54896138682,4905544.836626822,614284.8525948422,150.586,19437504.877785232,2603631.9400000004,24.664049490475424,0.828232379315174,0.0,0.0
CC_152,multiple,2030,829.9783888375023,3726602.9658803847,465739.76079398545,150.586,19437504.877785232,2603631.9400000004,31.046277987739952,0.6291845949809822,0.0,0.0
CC_152,multiple,2035,787.8808293749577,3537584.9238935593,442068.78322155424,150.586,19437504.877785232,2603631.9400000004,32.4652165505422,0.5972715521158207,0.0,0.0
CC_152,multiple,2040,662.2387349577077,2973451.919960107,371552.58616950235,150.586,19437504.877785232,2603631.9400000004,37.77276594873726,0.5020256139665118,0.0,0.0
CC_152,multiple,2045,380.0531844508323,1706438.7981842367,0.0,150.586,19437504.877785232,2603631.9400000004,62.48487471637462,0.2881082352817097,0.0,0.0
CIP_CT,multiple,2020,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2025,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2030,2.033356258596974,8306.530593910315,2570.248163686382,113.0,3703289.798144868,1565887.51940943,2595.4545967216286,0.0020541441978795144,0.0,0.0
CIP_CT,multiple,2035,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2040,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2045,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CentralTrackingPV,SUN,2020,437.2327299654779,0.0,0.0,185.7,37058811.09034198,3178552.9681440527,92.02733761871627,0.26877981742873314,0.0,0.0
CentralTrackingPV,SUN,2025,667.8605090148226,0.0,0.0,279.0791533622572,48818688.05551175,4318303.30458165,79.56300850678696,0.27318337186994945,0.0,0.0
CentralTrackingPV,SUN,2030,2874.0244429828567,0.0,0.0,1272.202769952512,144998757.25040454,13577414.466569277,55.175651725631376,0.25788733512026163,0.0,0.0
CentralTrackingPV,SUN,2035,3414.314787619561,0.0,0.0,1513.1924800052043,167417845.43439928,15724422.55903198,53.63953805826936,0.25757593115694505,0.0,0.0
CentralTrackingPV,SUN,2040,4154.7860503234115,0.0,0.0,1891.9785494730243,200947282.38275424,18942223.14391001,52.92438716779362,0.25068500123650606,0.0,0.0
CentralTrackingPV,SUN,2045,5830.7758474778575,0.0,0.0,3013.0548553866965,291884975.0304749,27829025.443974853,54.83215421713464,0.22090991142393535,0.0,0.0
FlatDistPV,SUN,2020,646.2104508818409,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,147.78980875691897,0.198997346400627,0.0,0.0
FlatDistPV,SUN,2025,640.8136235210907,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,149.03447031569922,0.19733541982190014,0.0,0.0
FlatDistPV,SUN,2030,612.3001417472052,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,155.97468045659747,0.18855483262789421,0.0,0.0
FlatDistPV,SUN,2035,587.4014622109149,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,162.58611034621126,0.18088740609550083,0.0,0.0
FlatDistPV,SUN,2040,577.3416733887163,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,165.41906353648676,0.17778954335088504,0.0,0.0
FlatDistPV,SUN,2045,1720.5511577694565,0.0,0.0,1254.956210652303,157846938.44028094,8591489.18777446,96.73552970306805,0.15650741264906046,0.0,0.0
