load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,UnservedLoad,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-01-23-00:00,0.0,126.00000000000001,0.0,0.0,75.0,0.0,42.8,0.0,335.27425531866993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,335.27425531866993,0.0,0.0,0.0,-7.563727422166266e-12,344.08796925670003,579.0742553186701,0.0,0.0,532.598516655,40.6372845788,5.83845408484,0.0,453.72525383560003,321.4072634997905,0.0,typical
Oahu,2020,2020-01-23-02:00,0.0,67.9547753382,0.0,0.0,75.0,0.0,42.8,0.0,351.95055033702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,351.95055033702,0.0,0.0,0.0,-5.030642569181509e-12,344.08796925670003,537.7053256752199,0.0,0.0,482.672997961,52.6270767567,2.40525095753,0.0,523.760270675,321.4072634997905,0.0,typical
Oahu,2020,2020-01-23-04:00,0.0,116.165057055,0.0,0.0,75.0,0.0,42.8,0.0,357.79984603432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,357.79984603432,0.0,0.0,0.0,-7.844391802791506e-12,344.08796925670003,591.76490308932,0.0,0.0,564.319411133,26.3426312934,1.10286066272,0.0,449.2655434953,321.4072634997905,0.0,typical
Oahu,2020,2020-01-23-06:00,0.0,180.0,0.0,0.0,146.162,0.0,42.8,0.0,444.11160918094,36.7364879235,36.7364879235,0.0,0.0,0.0,0.0,0.0,42.8,0.0,444.11160918094,0.0,0.0,0.0,-1.63140612130519e-11,307.3514813332,849.81009710444,0.0,0.0,845.770985082,0.0,4.03911202243,0.0,429.7754813332,321.4072634997905,0.0,typical
Oahu,2020,2020-01-23-08:00,0.0,144.778420196,0.0,0.0,151.6286288,0.0,42.8,145.14021273220817,449.67284126515995,0.0,0.0,0.0,0.0,0.0,32.365941485091156,48.24880269517,42.8,0.0,449.67284126515995,64.525468551947,0.0,-2.9674041002181184e-11,-1.013944483929663e-11,344.08796925670003,934.0201029933683,0.0,0.0,918.921213665,0.0,15.0988893287,0.0,512.5469202604,420.8846812256314,0.0,typical
Oahu,2020,2020-01-23-10:00,0.0,126.00000000000001,0.0,0.0,91.3998864,0.0,42.8,339.996022133669,384.20331014968997,0.0,0.0,0.0,0.0,0.0,62.716694057469,120.6078595491,42.8,0.0,384.20331014968997,156.6714685271,0.0,3.291944494776544e-11,-1.1908696251339279e-11,344.08796925670003,984.3992186833591,0.0,0.0,957.789031729,16.0141204255,10.5960665289,0.0,489.5422032823,433.4018180160215,0.0,typical
Oahu,2020,2020-01-23-12:00,0.0,122.74092580000001,0.0,0.0,85.9332576,0.0,42.8,401.106112416997,349.90020535671,0.0,0.0,0.0,0.0,0.0,49.328370702197006,153.896729884,42.8,0.0,349.90020535671,197.8810118308,0.0,3.7559289012278896e-11,-1.5418777365994174e-11,344.08796925670003,1002.4805011737067,0.0,0.0,968.355032392,25.7318885784,8.39358020309,0.0,491.7056744354,433.4018180160215,0.0,typical
Oahu,2020,2020-01-23-14:00,3.4393584070796464,118.232205902,4.560641592920354,0.0,113.6998864,0.0,42.8,345.37230697131196,342.05884044073,0.0,0.0,0.0,0.0,0.0,43.670349120412,134.1048420518,42.8,0.0,342.05884044073,167.5971157991,0.0,4.022027155770047e-11,-1.780620095814811e-11,344.08796925670003,970.1632397140421,0.0,0.0,959.755831599,0.0,10.4074081149,0.0,512.3958769549,433.4018180160215,0.0,typical
Oahu,2020,2020-01-23-16:00,0.0,180.0,0.0,0.0,178.5635359957,0.0,42.8,154.30767614506303,409.62902525094,0.0,0.0,0.0,0.0,0.0,45.938491022803,49.0731999714,42.8,0.0,409.62902525094,59.29598515086,0.0,-6.863842827442568e-11,-1.0331291377951857e-11,344.08796925670003,965.3002373917027,0.0,0.0,952.048600371,0.0,13.2516370207,0.0,495.65043326100005,421.1775484334552,0.0,typical
Oahu,2020,2020-01-23-18:00,0.0,180.0,30.10639016459567,0.0,339.5608883872044,0.0,42.8,0.0,428.1339057614899,52.6270767567,52.6270767567,0.0,0.0,0.0,0.0,0.0,42.8,0.0,428.1339057614899,0.0,0.0,0.0,-8.775202786637237e-12,291.4608925,1073.2282610699901,0.0,0.0,1054.70131556,0.0,18.52694551,0.0,382.6196139482,321.4072634997905,0.0,typical
