generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_4	2020-01-23-00:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-01-23-02:00	Oahu	32.3646	0	113.923
Oahu_Battery_4	2020-01-23-04:00	Oahu	8.82671	0	129.458
Oahu_Battery_4	2020-01-23-06:00	Oahu	0	32.3646	64.7292
Oahu_Battery_4	2020-01-23-08:00	Oahu	0	0	64.7292
Oahu_Battery_4	2020-01-23-10:00	Oahu	19.8247	0	99.6206
Oahu_Battery_4	2020-01-23-12:00	Oahu	16.9533	0	129.458
Oahu_Battery_4	2020-01-23-14:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-01-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-01-23-18:00	Oahu	0	32.3646	64.7292
Oahu_Battery_4	2020-01-23-20:00	Oahu	0	32.3646	0
Oahu_Battery_4	2020-01-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-02-23-00:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-02-23-02:00	Oahu	32.3646	0	113.923
Oahu_Battery_4	2020-02-23-04:00	Oahu	8.82671	0	129.458
Oahu_Battery_4	2020-02-23-06:00	Oahu	0	28.4809	72.4967
Oahu_Battery_4	2020-02-23-08:00	Oahu	0	0	72.4967
Oahu_Battery_4	2020-02-23-10:00	Oahu	0	0	72.4967
Oahu_Battery_4	2020-02-23-12:00	Oahu	32.3646	0	129.458
Oahu_Battery_4	2020-02-23-14:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-02-23-16:00	Oahu	0	24.8388	79.7808
Oahu_Battery_4	2020-02-23-18:00	Oahu	0	32.3646	15.0516
Oahu_Battery_4	2020-02-23-20:00	Oahu	0	7.52578	0
Oahu_Battery_4	2020-02-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-03-23-00:00	Oahu	0	0	0
Oahu_Battery_4	2020-03-23-02:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-03-23-04:00	Oahu	0	0	56.9617
Oahu_Battery_4	2020-03-23-06:00	Oahu	4.12515	0	64.222
Oahu_Battery_4	2020-03-23-08:00	Oahu	0	0	64.222
Oahu_Battery_4	2020-03-23-10:00	Oahu	32.3646	0	121.184
Oahu_Battery_4	2020-03-23-12:00	Oahu	0	0	121.184
Oahu_Battery_4	2020-03-23-14:00	Oahu	4.70156	0	129.458
Oahu_Battery_4	2020-03-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-03-23-18:00	Oahu	0	31.3396	66.7792
Oahu_Battery_4	2020-03-23-20:00	Oahu	0	28.7367	9.30577
Oahu_Battery_4	2020-03-23-22:00	Oahu	0	4.65289	0
Oahu_Battery_4	2020-04-23-00:00	Oahu	0	0	0
Oahu_Battery_4	2020-04-23-02:00	Oahu	0	0	0
Oahu_Battery_4	2020-04-23-04:00	Oahu	31.8368	0	56.0327
Oahu_Battery_4	2020-04-23-06:00	Oahu	0	0	56.0327
Oahu_Battery_4	2020-04-23-08:00	Oahu	0	0	56.0327
Oahu_Battery_4	2020-04-23-10:00	Oahu	0	0	56.0327
Oahu_Battery_4	2020-04-23-12:00	Oahu	28.1447	0	105.567
Oahu_Battery_4	2020-04-23-14:00	Oahu	0	0	105.567
Oahu_Battery_4	2020-04-23-16:00	Oahu	0	4.02574	97.516
Oahu_Battery_4	2020-04-23-18:00	Oahu	0	32.3646	32.7867
Oahu_Battery_4	2020-04-23-20:00	Oahu	0	16.3934	0
Oahu_Battery_4	2020-04-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-05-23-00:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-05-23-02:00	Oahu	32.3646	0	113.923
Oahu_Battery_4	2020-05-23-04:00	Oahu	8.82671	0	129.458
Oahu_Battery_4	2020-05-23-06:00	Oahu	0	32.3646	64.7292
Oahu_Battery_4	2020-05-23-08:00	Oahu	0	15.0123	34.7047
Oahu_Battery_4	2020-05-23-10:00	Oahu	10.7016	0	53.5395
Oahu_Battery_4	2020-05-23-12:00	Oahu	0	6.56922	40.401
Oahu_Battery_4	2020-05-23-14:00	Oahu	9.32946	0	56.8209
Oahu_Battery_4	2020-05-23-16:00	Oahu	0	0	56.8209
Oahu_Battery_4	2020-05-23-18:00	Oahu	0	12.909	31.003
Oahu_Battery_4	2020-05-23-20:00	Oahu	0	15.5015	0
Oahu_Battery_4	2020-05-23-22:00	Oahu	0	0	0
Oahu_Battery_4	2020-06-23-00:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-06-23-02:00	Oahu	0	13.9777	29.0063
Oahu_Battery_4	2020-06-23-04:00	Oahu	32.3646	0	85.968
Oahu_Battery_4	2020-06-23-06:00	Oahu	2.92903	0	91.1231
Oahu_Battery_4	2020-06-23-08:00	Oahu	0	26.9405	37.2422
Oahu_Battery_4	2020-06-23-10:00	Oahu	0	10.8536	15.535
Oahu_Battery_4	2020-06-23-12:00	Oahu	32.3646	0	72.4967
Oahu_Battery_4	2020-06-23-14:00	Oahu	32.3646	0	129.458
Oahu_Battery_4	2020-06-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-06-23-18:00	Oahu	0	32.3646	64.7292
