GEN_BLD_YRS_1	GEN_BLD_YRS_2	BuildGen
Oahu_AES	1992	180.0
Oahu_Airport_DSG	2013	8.0
Oahu_Battery_4	2020	31.9142190654
Oahu_Battery_4	2025	96.7249227751
Oahu_Battery_4	2030	0.0
Oahu_Battery_4	2035	0.0
Oahu_Battery_4	2040	0.0
Oahu_Battery_4	2045	0.0
Oahu_Battery_6	2020	0.0
Oahu_Battery_6	2025	0.0
Oahu_Battery_6	2030	26.6934865666
Oahu_Battery_6	2035	211.758187361
Oahu_Battery_6	2040	198.316762863
Oahu_Battery_6	2045	670.144510895
Oahu_Battery_Conting	2020	180.0
Oahu_Battery_Conting	2025	0.0
Oahu_Battery_Conting	2030	0.0
Oahu_Battery_Conting	2035	124.423725987
Oahu_Battery_Conting	2040	0.0
Oahu_Battery_Conting	2045	0.0
Oahu_Battery_Reg	2020	115.033379409
Oahu_Battery_Reg	2025	0.0
Oahu_Battery_Reg	2030	0.0
Oahu_Battery_Reg	2035	0.0
Oahu_Battery_Reg	2040	0.0
Oahu_Battery_Reg	2045	0.0
Oahu_CC_152	2020	0.0
Oahu_CC_152	2025	0.0
Oahu_CC_152	2030	0.0
Oahu_CC_152	2035	0.0
Oahu_CC_152	2040	0.0
Oahu_CC_152	2045	0.0
Oahu_CIP_CT	2009	113.0
Oahu_CentralTrackingPV_PV_01	2020	0.0
Oahu_CentralTrackingPV_PV_01	2025	0.0
Oahu_CentralTrackingPV_PV_01	2030	0.0
Oahu_CentralTrackingPV_PV_01	2035	0.0
Oahu_CentralTrackingPV_PV_01	2040	0.0
Oahu_CentralTrackingPV_PV_01	2045	0.0
Oahu_CentralTrackingPV_PV_02	2020	0.0
Oahu_CentralTrackingPV_PV_02	2025	0.0
Oahu_CentralTrackingPV_PV_02	2030	0.0
Oahu_CentralTrackingPV_PV_02	2035	0.0
Oahu_CentralTrackingPV_PV_02	2040	0.0
Oahu_CentralTrackingPV_PV_02	2045	0.0
Oahu_CentralTrackingPV_PV_03	2020	0.0
Oahu_CentralTrackingPV_PV_03	2025	0.0
Oahu_CentralTrackingPV_PV_03	2030	0.0
Oahu_CentralTrackingPV_PV_03	2035	0.0
Oahu_CentralTrackingPV_PV_03	2040	0.0
Oahu_CentralTrackingPV_PV_03	2045	0.0
