STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,1.3252246170370006
Oahu_Battery_Bulk,2025,133.49580766693884
Oahu_Battery_Bulk,2030,2293.0424367248042
Oahu_Battery_Bulk,2035,385.7373489552974
Oahu_Battery_Bulk,2040,1490.2038780304238
Oahu_Battery_Bulk,2045,5968.761232662292
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
