DISCRETE_GEN_BLD_YRS_1,DISCRETE_GEN_BLD_YRS_2,BuildUnits
Oahu_AES,1992,1.0
Oahu_Airport_DSG,2013,1.0
Oahu_CC_152,2020,-0.0
Oahu_CC_152,2025,-0.0
Oahu_CC_152,2030,-0.0
Oahu_CC_152,2035,-0.0
Oahu_CC_152,2040,-0.0
Oahu_CC_152,2045,-0.0
Oahu_CIP_CT,2009,1.0
Oahu_H-Power,1989,1.0
Oahu_Honolulu_8,1954,1.0
Oahu_Honolulu_9,1957,1.0
Oahu_IC_Barge,2020,0.0
Oahu_IC_Barge,2025,-0.0
Oahu_IC_Barge,2030,-0.0
Oahu_IC_Barge,2035,-0.0
Oahu_IC_Barge,2040,-0.0
Oahu_IC_Barge,2045,-0.0
Oahu_IC_MCBH,2020,0.0
Oahu_IC_MCBH,2025,0.0
Oahu_IC_MCBH,2030,0.0
Oahu_IC_MCBH,2035,0.0
Oahu_IC_MCBH,2040,0.0
Oahu_IC_MCBH,2045,-0.0
Oahu_IC_Schofield,2018,6.0
Oahu_IC_Schofield,2020,0.0
Oahu_IC_Schofield,2025,0.0
Oahu_IC_Schofield,2030,0.0
Oahu_IC_Schofield,2035,0.0
Oahu_IC_Schofield,2040,0.0
Oahu_IC_Schofield,2045,0.0
Oahu_Kahe_1,1963,1.0
Oahu_Kahe_2,1964,1.0
Oahu_Kahe_3,1970,1.0
Oahu_Kahe_4,1972,1.0
Oahu_Kahe_5,1974,1.0
Oahu_Kahe_6,1981,1.0
Oahu_Kalaeloa_CC1,1989,1.0
Oahu_Kalaeloa_CC2,1991,1.0
Oahu_Kalaeloa_CC3,1991,1.0
Oahu_Waiau_10,1973,1.0
Oahu_Waiau_6,1961,1.0
Oahu_Waiau_7,1966,1.0
Oahu_Waiau_8,1968,1.0
Oahu_Waiau_9,1973,1.0
