ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2020012300,102.638349434
Oahu,2020012302,171.150396597
Oahu,2020012304,91.9631629171
Oahu,2020012306,-84.5770985082
Oahu,2020012308,-91.8921213665
Oahu,2020012310,73.0015414566
Oahu,2020012312,107.420803603
Oahu,2020012314,-14.8937220063
Oahu,2020012316,-87.0937663198
Oahu,2020012318,-105.470131556
Oahu,2020012320,-92.6331121705
Oahu,2020012322,-69.6143020798
Oahu,2020022300,139.400158779
Oahu,2020022302,253.065574893
Oahu,2020022304,69.1296229405
Oahu,2020022306,-64.7589655597
Oahu,2020022308,-43.3830800579
Oahu,2020022310,24.3409659801
Oahu,2020022312,80.5525404435
Oahu,2020022314,-93.6325368481
Oahu,2020022316,-95.2197261965
Oahu,2020022318,-101.108791232
Oahu,2020022320,-92.35295137
Oahu,2020022322,-76.0328117725
Oahu,2020032300,33.7905489415
Oahu,2020032302,90.4559385173
Oahu,2020032304,-34.5708647619
Oahu,2020032306,37.375289863
Oahu,2020032308,54.5006464128
Oahu,2020032310,116.334653755
Oahu,2020032312,-66.2162738636
Oahu,2020032314,73.3830943535
Oahu,2020032316,-52.7797101043
Oahu,2020032318,-92.7325967885
Oahu,2020032320,-88.4421533878
Oahu,2020032322,-71.0985729368
Oahu,2020042300,175.549124519
Oahu,2020042302,180.098029765
Oahu,2020042304,101.685839648
Oahu,2020042306,-82.0602367814
Oahu,2020042308,-58.2485239489
Oahu,2020042310,-71.1476013177
Oahu,2020042312,100.426642747
Oahu,2020042314,34.2097062717
Oahu,2020042316,-104.436396062
Oahu,2020042318,-104.574769994
Oahu,2020042320,-98.1448140567
Oahu,2020042322,-73.35700079
Oahu,2020052300,146.895668116
Oahu,2020052302,180.958676234
Oahu,2020052304,96.4291008687
Oahu,2020052306,-89.776631985
Oahu,2020052308,-3.73029115985
Oahu,2020052310,10.3253941636
Oahu,2020052312,18.9240451281
Oahu,2020052314,-109.84633804
Oahu,2020052316,-104.726851503
Oahu,2020052318,-101.873791232
Oahu,2020052320,-96.7405971192
Oahu,2020052322,53.1616165292
Oahu,2020062300,-14.2967006475
Oahu,2020062302,132.778926805
Oahu,2020062304,194.010691563
Oahu,2020062306,-41.2847978924
Oahu,2020062308,-46.4789543087
Oahu,2020062310,-23.8680659724
Oahu,2020062312,131.288405822
Oahu,2020062314,63.653313511
Oahu,2020062316,-108.095620938
Oahu,2020062318,-104.85606844
Oahu,2020062320,-103.049320574
Oahu,2020062322,-79.8018089281
Oahu,2020072300,186.431191464
Oahu,2020072302,185.110683264
Oahu,2020072304,-10.6976261629
Oahu,2020072306,-41.0333038821
Oahu,2020072308,6.03494003033
Oahu,2020072310,-55.0621801867
Oahu,2020072312,100.897455523
Oahu,2020072314,-2.33993611422
Oahu,2020072316,-110.874350412
Oahu,2020072318,-107.318044027
Oahu,2020072320,-103.687406845
Oahu,2020072322,-47.4614226511
Oahu,2020082300,-64.5302640049
Oahu,2020082302,36.3740946236
Oahu,2020082304,64.9354251897
Oahu,2020082306,20.8934451748
Oahu,2020082308,74.739425358
Oahu,2020082310,17.1335347465
Oahu,2020082312,101.523210341
Oahu,2020082314,61.6502730601
Oahu,2020082316,-37.2360404613
Oahu,2020082318,-98.8389310923
Oahu,2020082320,-95.6279593093
Oahu,2020082322,-81.0162136255
Oahu,2020092300,68.3748666655
Oahu,2020092302,141.203361658
Oahu,2020092304,136.511086871
Oahu,2020092306,-89.2917788262
Oahu,2020092308,-54.2734495594
Oahu,2020092310,-41.9760086252
Oahu,2020092312,82.4864954588
Oahu,2020092314,41.5026958596
Oahu,2020092316,5.32544478065
Oahu,2020092318,-113.832604464
Oahu,2020092320,-99.8783757502
Oahu,2020092322,-76.1517340684
Oahu,2020102300,31.5611204336
Oahu,2020102302,51.8240445131
Oahu,2020102304,-19.3145307342
Oahu,2020102306,-85.3562943566
Oahu,2020102308,-19.0506441318
Oahu,2020102310,137.478657806
Oahu,2020102312,147.473136104
Oahu,2020102314,90.8636545588
Oahu,2020102316,-104.304889876
Oahu,2020102318,-110.237408765
Oahu,2020102320,-96.8183478308
Oahu,2020102322,-24.1184977212
Oahu,2020112300,-54.9796848447
Oahu,2020112302,48.0482735222
Oahu,2020112304,-16.9766861837
Oahu,2020112306,-62.4902500449
Oahu,2020112308,119.761975168
Oahu,2020112310,111.186196118
Oahu,2020112312,128.607423031
Oahu,2020112314,82.4970169666
Oahu,2020112316,-90.9555882206
Oahu,2020112318,-102.752011344
Oahu,2020112320,-90.5564981448
Oahu,2020112322,-71.3901660232
Oahu,2020122300,159.263525231
Oahu,2020122302,190.651170724
Oahu,2020122304,111.545341494
Oahu,2020122306,-78.5599611608
Oahu,2020122308,-93.1156691009
Oahu,2020122310,-80.2209667384
Oahu,2020122312,15.9334023829
Oahu,2020122314,67.5352145117
Oahu,2020122316,-96.8526586476
Oahu,2020122318,-104.439829935
Oahu,2020122320,-93.921847665
Oahu,2020122322,2.18227890354
Oahu,2025012300,1.14524392573
Oahu,2025012302,-49.5335057795
Oahu,2025012304,-5.8573289309
Oahu,2025012306,-81.6393920561
Oahu,2025012308,64.3674013591
Oahu,2025012310,251.856183521
Oahu,2025012312,118.1890057
Oahu,2025012314,-91.7181714747
Oahu,2025012316,50.4756760168
Oahu,2025012318,-100.113450486
Oahu,2025012320,-88.762688457
Oahu,2025012322,-68.4089733386
Oahu,2025022300,-57.4970311467
Oahu,2025022302,91.7149214294
Oahu,2025022304,-20.9241566271
Oahu,2025022306,-64.1157828589
Oahu,2025022308,-37.5659542649
Oahu,2025022310,178.867522613
Oahu,2025022312,-6.76995219598
Oahu,2025022314,111.768264308
Oahu,2025022316,63.3785493064
Oahu,2025022318,-96.2570618136
Oahu,2025022320,-88.5149643958
Oahu,2025022322,-74.0843543533
Oahu,2025032300,-57.1522441315
Oahu,2025032302,-0.533425243001
Oahu,2025032304,-52.5284237079
Oahu,2025032306,-21.707865478
Oahu,2025032308,-77.2137459444
Oahu,2025032310,169.185247397
Oahu,2025032312,166.230566952
Oahu,2025032314,62.7167496227
Oahu,2025032316,54.6321468881
Oahu,2025032318,-88.8506548447
Oahu,2025032320,-85.0569547201
Oahu,2025032322,-69.7213967898
Oahu,2025042300,-17.3491213133
Oahu,2025042302,-50.4374415663
Oahu,2025042304,-56.4394102923
Oahu,2025042306,-79.4139300805
Oahu,2025042308,17.1734994281
Oahu,2025042310,135.464547032
Oahu,2025042312,163.258820375
Oahu,2025042314,251.618786357
Oahu,2025042316,-99.199399861
Oahu,2025042318,-99.3217529972
Oahu,2025042320,-93.6362509725
Oahu,2025042322,-71.718346109
Oahu,2025052300,-61.2543326636
Oahu,2025052302,-20.0605369487
Oahu,2025052304,-16.9153211603
Oahu,2025052306,-86.2369287106
Oahu,2025052308,240.682593119
Oahu,2025052310,186.354189916
Oahu,2025052312,-101.393641402
Oahu,2025052314,119.317935206
Oahu,2025052316,4.87197292444
Oahu,2025052318,-96.9334908737
Oahu,2025052320,-92.3946128775
Oahu,2025052322,-76.0378265292
Oahu,2025062300,-59.4778053641
Oahu,2025062302,-54.723547339
Oahu,2025062304,-60.9691978936
Oahu,2025062306,-81.7091591399
Oahu,2025062308,126.597678352
Oahu,2025062310,-79.6723181193
Oahu,2025062312,240.09271736
Oahu,2025062314,192.051221303
Oahu,2025062316,52.770793186
Oahu,2025062318,-99.570482988
Oahu,2025062320,-97.9729185955
Oahu,2025062322,-77.4169807612
Oahu,2025072300,96.9309031826
Oahu,2025072302,-59.4292738871
Oahu,2025072304,-64.9064744186
Oahu,2025072306,-85.1782895839
Oahu,2025072308,2.07791242112
Oahu,2025072310,184.625679411
Oahu,2025072312,178.721124816
Oahu,2025072314,99.552881431
Oahu,2025072316,-72.9052931833
Oahu,2025072318,-101.747413487
Oahu,2025072320,-98.5371278721
Oahu,2025072322,-79.204628829
Oahu,2025082300,-63.913560143
Oahu,2025082302,-57.642631749
Oahu,2025082304,-59.0046049495
Oahu,2025082306,-70.3311012404
Oahu,2025082308,176.768087938
Oahu,2025082310,-3.58586089829
Oahu,2025082312,232.510230551
Oahu,2025082314,8.8762887729
