ShiftDemand_index_1	ShiftDemand_index_2	ShiftDemand
Oahu	2020012300	95.7242004081
Oahu	2020012302	155.825658002
Oahu	2020012304	41.7039841485
Oahu	2020012306	-84.5770985082
Oahu	2020012308	-30.2189859369
Oahu	2020012310	107.102703137
Oahu	2020012312	-33.6744548706
Oahu	2020012314	68.0604846519
Oahu	2020012316	-54.2223177006
Oahu	2020012318	-105.470131556
Oahu	2020012320	-92.6331121705
Oahu	2020012322	-67.6209296052
Oahu	2020022300	161.49762422
Oahu	2020022302	274.458178514
Oahu	2020022304	114.241286337
Oahu	2020022306	-64.7589655597
Oahu	2020022308	-44.7906071983
Oahu	2020022310	-93.7926307282
Oahu	2020022312	63.5192297123
Oahu	2020022314	-45.6598347272
Oahu	2020022316	-95.2197261965
Oahu	2020022318	-101.108791232
Oahu	2020022320	-92.35295137
Oahu	2020022322	-76.0328117725
Oahu	2020032300	25.5601891484
Oahu	2020032302	81.7211124544
Oahu	2020032304	-31.3409036093
Oahu	2020032306	25.6376733989
Oahu	2020032308	27.5301362137
Oahu	2020032310	137.159312223
Oahu	2020032312	74.1354168874
Oahu	2020032314	-22.7514592141
Oahu	2020032316	-65.3781543889
Oahu	2020032318	-92.7325967885
Oahu	2020032320	-88.4421533878
Oahu	2020032322	-71.0985729368
Oahu	2020042300	172.744342165
Oahu	2020042302	198.028815478
Oahu	2020042304	122.347361364
Oahu	2020042306	-57.157818482
Oahu	2020042308	-96.2008508412
Oahu	2020042310	24.544940541
Oahu	2020042312	0.73873323434
Oahu	2020042314	15.4674574436
Oahu	2020042316	-104.436396062
Oahu	2020042318	-104.574769994
Oahu	2020042320	-98.1448140567
Oahu	2020042322	-73.35700079
Oahu	2020052300	145.331428707
Oahu	2020052302	172.479596237
Oahu	2020052304	87.733554483
Oahu	2020052306	-89.776631985
Oahu	2020052308	-30.8171218366
Oahu	2020052310	1.22395833555
Oahu	2020052312	47.6277443583
Oahu	2020052314	-92.9360110841
Oahu	2020052316	-104.726851503
Oahu	2020052318	-101.873791232
Oahu	2020052320	-96.7405971192
Oahu	2020052322	62.4747226389
Oahu	2020062300	-4.15015158822
Oahu	2020062302	84.1199181186
Oahu	2020062304	172.497107358
Oahu	2020062306	-53.2398439745
Oahu	2020062308	12.974223363
Oahu	2020062310	29.9302966232
Oahu	2020062312	106.327114162
Oahu	2020062314	47.3441548174
Oahu	2020062316	-108.095620938
Oahu	2020062318	-104.85606844
Oahu	2020062320	-103.049320574
Oahu	2020062322	-79.8018089281
Oahu	2020072300	167.585636906
Oahu	2020072302	86.8084794424
Oahu	2020072304	-20.8218196597
Oahu	2020072306	0.123409075588
Oahu	2020072308	32.2823904425
Oahu	2020072310	47.4968552548
Oahu	2020072312	113.772671868
Oahu	2020072314	-23.5442922114
Oahu	2020072316	-110.874350412
Oahu	2020072318	-107.318044027
Oahu	2020072320	-103.687406845
Oahu	2020072322	-81.8235298347
Oahu	2020082300	21.6816812261
Oahu	2020082302	64.6347406756
Oahu	2020082304	64.6624887143
Oahu	2020082306	17.4902410168
Oahu	2020082308	66.2148166452
Oahu	2020082310	-101.358082068
Oahu	2020082312	103.651737078
Oahu	2020082314	58.8165739401
Oahu	2020082316	-20.3110932013
Oahu	2020082318	-98.8389310923
Oahu	2020082320	-95.6279593093
Oahu	2020082322	-81.0162136255
Oahu	2020092300	96.5909622089
Oahu	2020092302	174.985092207
Oahu	2020092304	175.160432251
Oahu	2020092306	-89.2917788262
Oahu	2020092308	-85.677877019
Oahu	2020092310	23.37948871
Oahu	2020092312	22.3300778398
Oahu	2020092314	-11.5936149716
Oahu	2020092316	-16.0200681169
Oahu	2020092318	-113.832604464
Oahu	2020092320	-99.8783757502
Oahu	2020092322	-76.1517340684
Oahu	2020102300	73.8405705173
Oahu	2020102302	93.9889623776
Oahu	2020102304	23.3913314142
Oahu	2020102306	-86.0613693652
Oahu	2020102308	72.4888644357
Oahu	2020102310	15.4937798236
Oahu	2020102312	138.205592666
Oahu	2020102314	55.7038116877
Oahu	2020102316	-104.304889876
Oahu	2020102318	-110.237408765
Oahu	2020102320	-96.8183478308
Oahu	2020102322	-75.6908970854
Oahu	2020112300	-54.9796848447
Oahu	2020112302	-18.2625159141
Oahu	2020112304	-52.5268662535
Oahu	2020112306	-62.4902500449
Oahu	2020112308	61.8848522109
Oahu	2020112310	98.2290318791
Oahu	2020112312	161.25542048
Oahu	2020112314	155.639199963
Oahu	2020112316	-90.9555882206
Oahu	2020112318	-102.752011344
Oahu	2020112320	-90.5564981448
Oahu	2020112322	-4.4850897658
Oahu	2020122300	146.048974994
Oahu	2020122302	167.652477127
Oahu	2020122304	94.1975816194
Oahu	2020122306	-78.5599611608
Oahu	2020122308	-93.1156691009
Oahu	2020122310	-99.7525926869
Oahu	2020122312	56.1430309327
Oahu	2020122314	128.635010586
Oahu	2020122316	-96.8526586476
Oahu	2020122318	-104.439829935
Oahu	2020122320	-93.921847665
Oahu	2020122322	-26.0345160623
Oahu	2025012300	-53.9480249516
Oahu	2025012302	-15.444690638
Oahu	2025012304	-13.0909159868
Oahu	2025012306	-81.6393920561
Oahu	2025012308	-73.0695020826
Oahu	2025012310	278.56324331
Oahu	2025012312	240.448380682
Oahu	2025012314	-91.7181714747
Oahu	2025012316	67.1841854806
Oahu	2025012318	-100.113450486
Oahu	2025012320	-88.762688457
Oahu	2025012322	-68.4089733386
Oahu	2025022300	-57.4970311467
