PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,1977177161.3903894,485911046.954703
2020,FuelCostsPerPeriod,annual,1747437586.869841,429450250.54144424
2020,StorageEnergyInstallCosts,annual,0.0,0.0
2020,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2020,AESDeactivateFixedCost,annual,0.0,0.0
2025,TotalGenFixedCosts,annual,2018959729.696223,575208066.1192877
2025,FuelCostsPerPeriod,annual,1107013725.3326595,315391740.9793588
2025,StorageEnergyInstallCosts,annual,0.0,0.0
2025,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2025,AESDeactivateFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,1759257424.9990146,581049092.3675588
2030,FuelCostsPerPeriod,annual,983995243.7219362,324994816.0707329
2030,StorageEnergyInstallCosts,annual,0.0,0.0
2030,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2030,AESDeactivateFixedCost,annual,0.0,0.0
2035,TotalGenFixedCosts,annual,1717241226.2846155,657507731.783226
2035,FuelCostsPerPeriod,annual,786637633.1155167,301192586.09004813
2035,StorageEnergyInstallCosts,annual,0.0,0.0
2035,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2035,AESDeactivateFixedCost,annual,0.0,0.0
2040,TotalGenFixedCosts,annual,1385617633.995463,615033941.049633
2040,FuelCostsPerPeriod,annual,666310991.2135168,295755383.61839193
2040,StorageEnergyInstallCosts,annual,0.0,0.0
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,AESDeactivateFixedCost,annual,0.0,0.0
2045,TotalGenFixedCosts,annual,1711342889.3103008,880600321.6056213
2045,FuelCostsPerPeriod,annual,165390668.7178028,85104555.59386024
2045,StorageEnergyInstallCosts,annual,0.0,0.0
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,AESDeactivateFixedCost,annual,0.0,0.0
2020,GenVariableOMCostsInTP,timepoint,77345172.97361958,19008349.231626306
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,GenVariableOMCostsInTP,timepoint,64540647.37176061,18387836.27763745
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,GenVariableOMCostsInTP,timepoint,52664763.70937478,17394164.55957337
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,40896807.45153762,15658817.580809169
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,GenVariableOMCostsInTP,timepoint,34438386.03313663,15286162.477792207
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,GenVariableOMCostsInTP,timepoint,14478293.796919785,7450050.047542797
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
