gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,multiple,2020,1407.0072742093705,4972530.49894237,1478091.519166757,180.0,28945169.02245778,13559854.833563756,33.7436452712319,0.8923181596964552,0.0,0.0
Airport_DSG,multiple,2020,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2025,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2030,0.9719944979367264,15916.362494465693,0.0,8.0,262179.80871822074,62220.4997789953,350.1220137707356,0.013869784502521782,0.0,0.0
Airport_DSG,multiple,2035,0.7872352132049518,12890.938218658164,0.0,8.0,262179.80871822074,62220.4997789953,428.45040600090954,0.011233379183860614,0.0,0.0
Airport_DSG,multiple,2040,0.546244841815681,8944.73264151791,0.0,8.0,262179.80871822074,62220.4997789953,610.2484007550854,0.007794589637780835,0.0,0.0
Airport_DSG,multiple,2045,0.6506740027510316,10654.755058278684,0.0,8.0,262179.80871822074,62220.4997789953,514.9353779909619,0.009284731774415406,0.0,0.0
Battery_Bulk,Battery,2020,-0.08213334259174061,0.0,0.0,278.1806533169526,9073551.530371064,9628649.338513356,25300.593561547084,0.0003033409050907408,0.8213334259174068,0.7392000833256662
Battery_Bulk,Battery,2025,-8.038925148187637,0.0,0.0,360.1602201827495,10919312.225363,11587329.18238715,311.0786439849172,0.022931931984617075,80.38925148187641,72.35032633368877
Battery_Bulk,Battery,2030,-95.91216563694717,0.0,0.0,611.2283087743386,15520199.51007102,16469687.557957727,37.059239282554636,0.16121618515991087,959.1216563694716,863.2094907325243
Battery_Bulk,Battery,2035,-108.2226743273936,0.0,0.0,679.9878590831427,12407055.897715244,13166089.393173765,26.25568630175053,0.16351421222932683,1082.2267432739359,974.0040689465424
Battery_Bulk,Battery,2040,-149.0834728948945,0.0,0.0,735.9958189902552,12773869.999949744,13555344.289783489,19.623021905837206,0.20810981211072851,1490.8347289489457,1341.7512560540513
Battery_Bulk,Battery,2045,-275.2597639276752,0.0,0.0,1032.2872722635855,16322767.50468392,17321354.709962696,13.580756403647966,0.2739558405121391,2752.5976392767516,2477.3378753490765
Battery_Conting,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,multiple,2020,1039.2660342502154,4666304.4937834665,591554.8557011458,150.586,19437504.877785232,2603631.9400000004,25.698368301661027,0.7878400059947049,0.0,0.0
CC_152,multiple,2025,1123.7140094709675,5045475.902524644,635428.9642179054,150.586,19437504.877785232,2603631.9400000004,24.104543052784365,0.8518577753738011,0.0,0.0
CC_152,multiple,2030,819.28864749741,3678606.027263371,460085.72814209305,150.586,19437504.877785232,2603631.9400000004,31.392773381654738,0.6210809856991334,0.0,0.0
CC_152,multiple,2035,794.0985306593384,3565502.4026604295,445541.04589606926,150.586,19437504.877785232,2603631.9400000004,32.24617378297442,0.6019850264868886,0.0,0.0
CC_152,multiple,2040,625.0633034905618,2806534.2326726224,350743.8534628608,150.586,19437504.877785232,2603631.9400000004,39.75224735110857,0.47384390573714374,0.0,0.0
CC_152,multiple,2045,396.50149123557935,1780291.695647751,0.0,150.586,19437504.877785232,2603631.9400000004,60.07903889390318,0.3005772602366597,0.0,0.0
CIP_CT,multiple,2020,12.253033125848253,50055.26901531949,11254.043894736813,113.0,3703289.798144868,1565887.51940943,434.11558035769025,0.01237830153740681,0.0,0.0
CIP_CT,multiple,2025,5.716485540713235,23352.603279832892,5193.7140599545755,113.0,3703289.798144868,1565887.51940943,925.8363172862661,0.005774927810151972,0.0,0.0
CIP_CT,multiple,2030,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2035,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2040,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CIP_CT,multiple,2045,0.0,0.0,0.0,113.0,3703289.798144868,1565887.51940943,0.0,0.0,0.0,0.0
CentralTrackingPV,SUN,2020,440.2448587860392,0.0,0.0,185.7,37058811.09034198,3178552.9681440527,91.3976921148818,0.27063146159664847,0.0,0.0
CentralTrackingPV,SUN,2025,1092.5297334078914,0.0,0.0,451.97125310306984,70585294.2517826,6428558.342797072,70.49131043267164,0.2759423419974676,0.0,0.0
CentralTrackingPV,SUN,2030,2996.5939422054107,0.0,0.0,1328.6155752014838,155695228.79007462,14601707.276363729,56.830167633958595,0.2574687068453475,0.0,0.0
CentralTrackingPV,SUN,2035,3387.7355617416893,0.0,0.0,1492.967952498265,170960030.27949432,16065943.587509623,55.20678059383445,0.2590328902938996,0.0,0.0
CentralTrackingPV,SUN,2040,4214.036167441637,0.0,0.0,1942.2045103381072,210621140.12819153,19882223.474984325,54.698952368772765,0.24768470799717252,0.0,0.0
CentralTrackingPV,SUN,2045,5567.221913536713,0.0,0.0,2851.162667565807,283756513.54883707,27054911.619696055,55.82881911223879,0.22290121252293285,0.0,0.0
FlatDistPV,SUN,2020,646.2104508818409,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,147.78980875691897,0.198997346400627,0.0,0.0
FlatDistPV,SUN,2025,646.2104508818406,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,147.78980875691906,0.19899734640062688,0.0,0.0
FlatDistPV,SUN,2030,582.1069478380185,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,164.06490131625284,0.17925698630075967,0.0,0.0
FlatDistPV,SUN,2035,576.0872912537327,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,165.77924978123846,0.17740326251018768,0.0,0.0
FlatDistPV,SUN,2040,592.2408179547225,0.0,0.0,370.70000000000005,92624524.68867333,2878794.2638763236,161.25757640678353,0.18237766201753391,0.0,0.0
FlatDistPV,SUN,2045,2046.051806455611,0.0,0.0,1322.6406391157163,164338851.78876027,8986990.634715987,84.71234299962802,0.17659185035379282,0.0,0.0
H-Power,MSW,2020,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
H-Power,MSW,2025,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
H-Power,MSW,2030,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
H-Power,MSW,2035,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
H-Power,MSW,2040,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
H-Power,MSW,2045,374.928,54301973.45804399,0.0,73.0,11472234.51288218,5499274.460278634,190.09911884736485,0.5863013698630136,0.0,0.0
Hawaii_Cogen,multiple,2020,92.74499999999999,5078346.80715841,34628.9929,12.2,384209.6566316124,213311.9550498068,61.19864595223279,0.8678138333707611,0.0,0.0
Hawaii_Cogen,multiple,2025,92.74499999999999,5078346.80715841,34628.9929,12.2,384209.6566316124,213311.9550498068,61.19864595223279,0.8678138333707611,0.0,0.0
Hawaii_Cogen,multiple,2030,92.74499999999999,5078346.80715841,34628.9929,12.2,384209.6566316124,213311.9550498068,61.19864595223279,0.8678138333707611,0.0,0.0
Hawaii_Cogen,multiple,2035,92.74499999999999,5078346.80715841,34628.9929,12.2,384209.6566316124,213311.9550498068,61.19864595223279,0.8678138333707611,0.0,0.0
Hawaii_Cogen,multiple,2040,92.74499999999999,5078346.80715841,34628.9929,12.2,384209.6566316124,213311.9550498068,61.19864595223279,0.8678138333707611,0.0,0.0
IC_Barge,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
