gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,Oahu,multiple,2020,1501.6796042238034,3003359.2084476096,2488474.849192404
AES,Oahu,multiple,2025,1451.2822991658086,2902564.598331621,2409625.9488512003
AES,Oahu,multiple,2030,1382.4941540191028,2764988.3080382086,2301821.5395995355
AES,Oahu,multiple,2035,1336.0104603886052,2672020.9207772124,2230970.325767334
AES,Oahu,multiple,2040,1280.049158336912,2560098.316673825,2130551.9399497984
AES,Oahu,multiple,2045,338.1975165084933,676395.0330169866,0.0
Airport_DSG,Oahu,multiple,2020,0.974,36486.04,734.458119772
Airport_DSG,Oahu,multiple,2025,0.974,36486.04,734.458119772
Airport_DSG,Oahu,multiple,2030,0.487,18243.02,367.229059886
Airport_DSG,Oahu,multiple,2035,0.974,36486.04,730.8221884860001
Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2045,0.0,0.0,0.0
Battery_4,Oahu,Battery,2020,0.2428358313133011,0.0,0.0
Battery_4,Oahu,Battery,2025,216.38739522173526,0.0,0.0
Battery_4,Oahu,Battery,2030,188.59826477891198,0.0,0.0
Battery_4,Oahu,Battery,2035,139.3254010999809,0.0,0.0
Battery_4,Oahu,Battery,2040,0.0,0.0,0.0
Battery_4,Oahu,Battery,2045,0.0,0.0,0.0
Battery_6,Oahu,Battery,2020,0.0,0.0,0.0
Battery_6,Oahu,Battery,2025,0.0,0.0,0.0
Battery_6,Oahu,Battery,2030,9.278734893285453,0.0,0.0
Battery_6,Oahu,Battery,2035,371.0962977873621,0.0,0.0
Battery_6,Oahu,Battery,2040,754.9206897235036,0.0,0.0
Battery_6,Oahu,Battery,2045,1966.60118192161,0.0,0.0
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2040,82.21090685872353,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2040,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0
CC_152,Oahu,multiple,2020,0.0,0.0,0.0
CC_152,Oahu,multiple,2025,0.0,0.0,0.0
CC_152,Oahu,multiple,2030,0.0,0.0,0.0
CC_152,Oahu,multiple,2035,0.0,0.0,0.0
CC_152,Oahu,multiple,2040,0.0,0.0,0.0
CC_152,Oahu,multiple,2045,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2020,2.739375,111656.92499999999,3462.6856625
CIP_CT,Oahu,multiple,2025,9.442844808730836,384890.35440386896,11186.877079462909
CIP_CT,Oahu,multiple,2030,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2035,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2040,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2045,0.0,0.0,0.0
CentralTrackingPV,Oahu,SUN,2020,391.9418730256341,0.0,0.0
CentralTrackingPV,Oahu,SUN,2025,1347.9497961968852,0.0,0.0
CentralTrackingPV,Oahu,SUN,2030,1410.2801041702514,0.0,0.0
CentralTrackingPV,Oahu,SUN,2035,2304.6457814670575,0.0,0.0
CentralTrackingPV,Oahu,SUN,2040,3456.254748406423,0.0,0.0
CentralTrackingPV,Oahu,SUN,2045,2871.8155202603107,0.0,0.0
FlatDistPV,Oahu,SUN,2020,367.8497901641664,0.0,0.0
FlatDistPV,Oahu,SUN,2025,359.25022481780354,0.0,0.0
FlatDistPV,Oahu,SUN,2030,361.15039308080185,0.0,0.0
FlatDistPV,Oahu,SUN,2035,348.7269586777938,0.0,0.0
FlatDistPV,Oahu,SUN,2040,277.0851991103248,0.0,0.0
FlatDistPV,Oahu,SUN,2045,2449.350639754238,0.0,0.0
H-Power,Oahu,MSW,2020,375.1848000000005,6753326.3999999855,0.0
