load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,UnservedLoad,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-01-23-00:00,0.0,168.377554368,0.0,0.0,75.0,0.0,42.8,0.0,320.0096847740899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,320.0096847740899,0.0,0.0,0.0,-2.135180920959101e-12,282.21741064779997,606.1872391420901,0.0,0.0,532.598516655,0.0,0.0,73.5887224869,336.8398562799,311.5373308483814,0.0,typical
Oahu,2020,2020-01-23-02:00,0.0,180.0,0.0,0.0,75.0,0.0,42.8,0.0,335.65267511428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,335.65267511428,0.0,0.0,0.0,1.5916157281026244e-12,282.21741064779997,633.4526751142799,0.0,0.0,482.672997961,23.0250628966,0.0,127.754614257,348.2424735445,311.5373308483814,0.0,typical
Oahu,2020,2020-01-23-04:00,0.0,180.0,0.0,0.0,75.0,0.0,42.8,0.0,334.15891593690003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,334.15891593690003,0.0,0.0,0.0,1.5063505998114124e-12,282.21741064779997,631.9589159368999,0.0,0.0,564.319411133,1.04326997496,0.0,66.5962348289,326.2606806228,311.5373308483814,0.0,typical
Oahu,2020,2020-01-23-06:00,0.0,180.0,0.0,0.0,102.0,0.0,42.8,0.0,415.2137536468,21.180132927,21.180132927,0.0,0.0,0.0,0.0,0.0,42.8,0.0,415.2137536468,0.0,0.0,0.0,-8.782308213994838e-12,261.03727772080003,761.1938865738,0.0,0.0,845.770985082,0.0,0.0,-84.5770985082,363.13727772083996,311.5373308483814,0.0,typical
Oahu,2020,2020-01-23-08:00,0.0,155.5,0.0,0.0,118.3998864,0.0,42.8,158.69734270287003,424.21644394839996,0.0,0.0,0.0,0.0,0.0,45.923071455753,48.24880269517,42.8,0.0,424.21644394839996,64.525468551947,0.0,-1.326032617043893e-10,-4.9901416332431836e-11,282.21741064779997,899.6136730512701,0.0,0.0,918.921213665,0.0,0.0,-19.3075406139,441.25752424784,418.54849642362865,0.0,typical
Oahu,2020,2020-01-23-10:00,0.0,155.5,0.0,0.0,118.3998864,0.0,42.8,388.09038509090004,362.86194697037,0.0,0.0,0.0,0.0,0.0,110.8110570147,120.6078595491,42.8,0.0,362.86194697037,156.6714685271,0.0,-7.639044952156837e-11,1.7053025658242404e-12,282.21741064779997,1067.65221846127,0.0,0.0,957.789031729,0.0,0.0,109.863186732,441.2575242478,437.7448606390007,0.0,typical
Oahu,2020,2020-01-23-12:00,0.0,164.554222305,0.0,0.0,118.3998864,0.0,42.8,441.3488560630001,328.61694569281,0.0,0.0,0.0,0.0,0.0,89.5711143482,153.896729884,42.8,0.0,328.61694569281,197.8810118308,0.0,1.1100098618044285e-10,-3.481659405224491e-12,282.21741064779997,1095.7199104608098,0.0,0.0,968.355032392,20.5415586962,0.0,106.823319373,452.74486063899997,437.7448606390007,0.0,typical
Oahu,2020,2020-01-23-14:00,0.0,180.0,0.0,0.0,118.3998864,0.0,42.8,373.5483303181,321.63283273653997,0.0,0.0,0.0,0.0,0.0,71.8463724672,134.1048420518,42.8,0.0,321.63283273653997,167.5971157991,0.0,2.8055779921487556e-11,-6.52278231427772e-12,282.21741064779997,1036.38104945464,0.0,0.0,959.755831599,23.0250628966,118.101845403,-64.5016904437,439.7825871445,437.7448606390007,0.0,typical
Oahu,2020,2020-01-23-16:00,0.0,180.0,0.0,0.0,118.3998864,0.0,42.8,183.45497346326002,387.63460501094,0.0,0.0,0.0,0.0,0.0,75.085788341,49.0731999714,42.8,0.0,387.63460501094,59.29598515086,0.0,-8.659384320708341e-11,-1.2789769243681803e-13,282.21741064779997,912.2894648741998,0.0,0.0,952.048600371,8.76306680865,0.0,-48.5222023055,425.5205910565,425.52059105643445,0.0,typical
Oahu,2020,2020-01-23-18:00,0.0,180.0,30.10639016459567,0.0,269.33049781197434,0.0,42.8,0.0,403.9692331307999,23.0250628966,23.0250628966,0.0,0.0,0.0,0.0,0.0,42.8,0.0,403.9692331307999,0.0,0.0,0.0,-1.241318159372895e-11,259.19234775120003,949.23118400397,0.0,0.0,1054.70131556,0.0,0.0,-105.470131556,356.09545977462,311.5373308483814,0.0,typical
