load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-01-23-00:00,635.237,0,532.599,0,0,102.638
Oahu,2020-01-23-02:00,653.998,0,482.673,0.174348,0,171.15
Oahu,2020-01-23-04:00,656.306,0,564.319,0.0237748,0,91.9632
Oahu,2020-01-23-06:00,761.194,0,845.771,0,0,-84.5771
Oahu,2020-01-23-08:00,901.909,0,918.921,0,74.88,-91.8921
Oahu,2020-01-23-10:00,1030.84,0,957.789,0.0475495,0,73.0015
Oahu,2020-01-23-12:00,1075.78,0,968.355,0,0,107.421
Oahu,2020-01-23-14:00,971.134,0,959.756,0.174348,26.0979,-14.8937
Oahu,2020-01-23-16:00,865.129,0,952.049,0.174348,0,-87.0938
Oahu,2020-01-23-18:00,949.231,0,1054.7,0,0,-105.47
Oahu,2020-01-23-20:00,833.698,0,926.331,0,0,-92.6331
Oahu,2020-01-23-22:00,643.653,0,696.143,0,17.1239,-69.6143
Oahu,2020-02-23-00:00,712.136,0,572.736,0,0,139.4
Oahu,2020-02-23-02:00,755.132,0,502.067,0,0,253.066
Oahu,2020-02-23-04:00,616.676,0,518.145,0,29.4014,69.1296
Oahu,2020-02-23-06:00,582.831,0,647.59,0,0,-64.759
Oahu,2020-02-23-08:00,809.672,0,853.055,0,0,-43.3831
Oahu,2020-02-23-10:00,962.315,0,937.926,0.0475495,0,24.341
Oahu,2020-02-23-12:00,1021.89,0,941.162,0.174348,0,80.5525
Oahu,2020-02-23-14:00,931.568,0,936.325,0.174348,88.7004,-93.6325
Oahu,2020-02-23-16:00,856.978,0,952.197,0,0,-95.2197
Oahu,2020-02-23-18:00,909.979,0,1011.09,0,0,-101.109
Oahu,2020-02-23-20:00,831.177,0,923.53,0,0,-92.353
Oahu,2020-02-23-22:00,684.295,0,760.328,0,0,-76.0328
Oahu,2020-03-23-00:00,602.627,0,568.836,0,0,33.7905
Oahu,2020-03-23-02:00,593.895,0,503.439,0,0,90.4559
Oahu,2020-03-23-04:00,481.973,0,516.544,0,0,-34.5709
Oahu,2020-03-23-06:00,646.509,0,609.133,0,0,37.3753
Oahu,2020-03-23-08:00,850.22,0,795.72,0,0,54.5006
Oahu,2020-03-23-10:00,970.261,0,853.878,0.0475495,0,116.335
Oahu,2020-03-23-12:00,914.194,0,862.135,0.174348,118.102,-66.2163
Oahu,2020-03-23-14:00,931.598,0,858.041,0.174348,0,73.3831
Oahu,2020-03-23-16:00,821.076,0,873.856,0,0,-52.7797
Oahu,2020-03-23-18:00,834.593,0,927.326,0,0,-92.7326
Oahu,2020-03-23-20:00,795.979,0,884.422,0,0,-88.4422
Oahu,2020-03-23-22:00,639.887,0,710.986,0,0,-71.0986
Oahu,2020-04-23-00:00,718.796,0,543.073,0.174348,0,175.549
Oahu,2020-04-23-02:00,673.168,0,492.896,0.174348,0,180.098
Oahu,2020-04-23-04:00,662.508,0,560.775,0.0475495,0,101.686
Oahu,2020-04-23-06:00,744.466,0,820.602,0,5.92377,-82.0602
Oahu,2020-04-23-08:00,903.76,0,962.009,0,0,-58.2485
Oahu,2020-04-23-10:00,1069.98,0,1028.95,0,112.178,-71.1476
Oahu,2020-04-23-12:00,1152.77,0,1052.35,0,0,100.427
Oahu,2020-04-23-14:00,1091.48,0,1057.27,0,0,34.2097
Oahu,2020-04-23-16:00,939.928,0,1044.36,0,0,-104.436
Oahu,2020-04-23-18:00,941.173,0,1045.75,0,0,-104.575
Oahu,2020-04-23-20:00,883.303,0,981.448,0,0,-98.1448
Oahu,2020-04-23-22:00,660.213,0,733.57,0,0,-73.357
Oahu,2020-05-23-00:00,762.124,0,615.228,0,0,146.896
Oahu,2020-05-23-02:00,743.149,0,561.907,0,0.283645,180.959
Oahu,2020-05-23-04:00,737.832,0,641.403,0,0,96.4291
Oahu,2020-05-23-06:00,807.99,0,897.766,0,0,-89.7766
Oahu,2020-05-23-08:00,1038.28,0,1042.01,0,0,-3.73029
Oahu,2020-05-23-10:00,1110.41,0,1100.09,0,0,10.3254
Oahu,2020-05-23-12:00,1130.69,0,1111.76,0,0,18.924
Oahu,2020-05-23-14:00,1083.58,0,1098.46,0.0237748,94.94,-109.846
Oahu,2020-05-23-16:00,965.594,0,1047.27,0.174348,22.8782,-104.727
Oahu,2020-05-23-18:00,916.864,0,1018.74,0,0,-101.874
Oahu,2020-05-23-20:00,870.665,0,967.406,0,0,-96.7406
Oahu,2020-05-23-22:00,835.582,0,782.421,0,0,53.1616
Oahu,2020-06-23-00:00,637.966,0,595.137,0,57.1261,-14.2967
Oahu,2020-06-23-02:00,674.148,0,541.369,0,0,132.779
Oahu,2020-06-23-04:00,806.014,0,612.004,0,0,194.011
Oahu,2020-06-23-06:00,805.275,0,846.56,0,0,-41.2848
Oahu,2020-06-23-08:00,957.133,0,1003.44,0.174348,0,-46.479
Oahu,2020-06-23-10:00,1060.18,0,1083.87,0.174348,0,-23.8681
Oahu,2020-06-23-12:00,1237.72,0,1106.43,0,0,131.288
Oahu,2020-06-23-14:00,1172.11,0,1108.46,0,0,63.6533
