load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2020-01-23-00:00	628.323	0	0	532.599	0	0	95.7242
Oahu	2020-01-23-02:00	642.851	0	0	482.673	4.35194	0	155.826
Oahu	2020-01-23-04:00	637.938	0	0	564.319	31.9142	0	41.704
Oahu	2020-01-23-06:00	761.194	0	0	845.771	0	0	-84.5771
Oahu	2020-01-23-08:00	920.616	0	0	918.921	31.9142	0	-30.219
Oahu	2020-01-23-10:00	1073.6	0	0	957.789	8.70388	0	107.103
Oahu	2020-01-23-12:00	1084.7	0	0	968.355	31.9142	118.102	-33.6745
Oahu	2020-01-23-14:00	1027.82	0	0	959.756	0	0	68.0605
Oahu	2020-01-23-16:00	897.826	0	0	952.049	0	0	-54.2223
Oahu	2020-01-23-18:00	949.231	0	0	1054.7	0	0	-105.47
Oahu	2020-01-23-20:00	833.698	0	0	926.331	0	0	-92.6331
Oahu	2020-01-23-22:00	628.522	0	0	696.143	0	0	-67.6209
Oahu	2020-02-23-00:00	734.233	0	0	572.736	0	0	161.498
Oahu	2020-02-23-02:00	776.525	0	0	502.067	0	0	274.458
Oahu	2020-02-23-04:00	641.403	0	0	518.145	0	9.01707	114.241
Oahu	2020-02-23-06:00	582.831	0	0	647.59	0	0	-64.759
Oahu	2020-02-23-08:00	808.265	0	0	853.055	0	0	-44.7906
Oahu	2020-02-23-10:00	953.218	0	0	937.926	0	109.085	-93.7926
Oahu	2020-02-23-12:00	1011.28	0	0	941.162	6.6031	0	63.5192
Oahu	2020-02-23-14:00	922.58	0	0	936.325	31.9142	0	-45.6598
Oahu	2020-02-23-16:00	856.978	0	0	952.197	0	0	-95.2197
Oahu	2020-02-23-18:00	909.979	0	0	1011.09	0	0	-101.109
Oahu	2020-02-23-20:00	831.177	0	0	923.53	0	0	-92.353
Oahu	2020-02-23-22:00	684.295	0	0	760.328	0	0	-76.0328
Oahu	2020-03-23-00:00	594.396	0	0	568.836	0	0	25.5602
Oahu	2020-03-23-02:00	585.16	0	0	503.439	0	0	81.7211
Oahu	2020-03-23-04:00	485.203	0	0	516.544	0	0	-31.3409
Oahu	2020-03-23-06:00	634.771	0	0	609.133	0	0	25.6377
Oahu	2020-03-23-08:00	855.164	0	0	795.72	31.9142	0	27.5301
Oahu	2020-03-23-10:00	991.038	0	0	853.878	0	0	137.159
Oahu	2020-03-23-12:00	936.27	0	0	862.135	0	0	74.1354
Oahu	2020-03-23-14:00	962.095	0	0	858.041	8.70388	118.102	-22.7515
Oahu	2020-03-23-16:00	840.392	0	0	873.856	31.9142	0	-65.3782
Oahu	2020-03-23-18:00	834.593	0	0	927.326	0	0	-92.7326
Oahu	2020-03-23-20:00	795.979	0	0	884.422	0	0	-88.4422
Oahu	2020-03-23-22:00	639.887	0	0	710.986	0	0	-71.0986
Oahu	2020-04-23-00:00	715.817	0	0	543.073	0	0	172.744
Oahu	2020-04-23-02:00	690.925	0	0	492.896	0	0	198.029
Oahu	2020-04-23-04:00	683.122	0	0	560.775	0	0	122.347
Oahu	2020-04-23-06:00	763.445	0	0	820.602	0	0	-57.1578
Oahu	2020-04-23-08:00	917.558	0	0	962.009	31.9142	19.8363	-96.2009
Oahu	2020-04-23-10:00	1069.32	0	0	1028.95	15.8218	0	24.5449
Oahu	2020-04-23-12:00	1151.35	0	0	1052.35	0	98.2656	0.738733
Oahu	2020-04-23-14:00	1072.74	0	0	1057.27	0	0	15.4675
Oahu	2020-04-23-16:00	939.928	0	0	1044.36	0	0	-104.436
Oahu	2020-04-23-18:00	941.173	0	0	1045.75	0	0	-104.575
Oahu	2020-04-23-20:00	883.303	0	0	981.448	0	0	-98.1448
Oahu	2020-04-23-22:00	660.213	0	0	733.57	0	0	-73.357
Oahu	2020-05-23-00:00	760.56	0	0	615.228	0	0	145.331
Oahu	2020-05-23-02:00	734.386	0	0	561.907	0	0	172.48
Oahu	2020-05-23-04:00	729.137	0	0	641.403	0	0	87.7336
Oahu	2020-05-23-06:00	807.99	0	0	897.766	0	0	-89.7766
Oahu	2020-05-23-08:00	1011.19	0	0	1042.01	0	0	-30.8171
