generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_4,2020,Oahu,23.0251,92.1003,23.0251,92.1003
Oahu_Battery_4,2025,Oahu,113.076,452.302,136.101,544.403
Oahu_Battery_4,2030,Oahu,0,0,136.101,544.403
Oahu_Battery_4,2035,Oahu,0,0,113.076,452.302
Oahu_Battery_4,2040,Oahu,0,0,0,0
Oahu_Battery_4,2045,Oahu,0,0,0,0
Oahu_Battery_6,2020,Oahu,0,0,0,0
Oahu_Battery_6,2025,Oahu,7.07569,42.4541,7.07569,42.4541
Oahu_Battery_6,2030,Oahu,23.7871,142.723,30.8628,185.177
Oahu_Battery_6,2035,Oahu,213.349,1280.1,244.212,1465.27
Oahu_Battery_6,2040,Oahu,227.041,1362.24,464.177,2785.06
Oahu_Battery_6,2045,Oahu,640.201,3841.21,1080.59,6483.55
Oahu_Battery_Conting,2020,Oahu,180,0,180,0
Oahu_Battery_Conting,2025,Oahu,0,0,180,0
Oahu_Battery_Conting,2030,Oahu,0,0,180,0
Oahu_Battery_Conting,2035,Oahu,123.865,0,123.865,0
Oahu_Battery_Conting,2040,Oahu,0,0,123.865,0
Oahu_Battery_Conting,2045,Oahu,0,0,123.865,0
Oahu_Battery_Reg,2020,Oahu,79.1923,0,79.1923,0
Oahu_Battery_Reg,2025,Oahu,0,0,79.1923,0
Oahu_Battery_Reg,2030,Oahu,0,0,79.1923,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
