RFM_SUPPLY_TIERS_1	RFM_SUPPLY_TIERS_2	RFM_SUPPLY_TIERS_3	ConsumeFuelTier
Hawaii_Biodiesel	2020	base	15141.7066
Hawaii_Biodiesel	2025	base	7744.26422827
Hawaii_Biodiesel	2030	base	7570.8533
Hawaii_Biodiesel	2035	base	3785.42665
Hawaii_Biodiesel	2040	base	0.0
Hawaii_Biodiesel	2045	base	323189.756584
Hawaii_Coal	2020	base	26361468.066
Hawaii_Coal	2025	base	25611664.5034
Hawaii_Coal	2030	base	25336467.5046
Hawaii_Coal	2035	base	24156619.9685
Hawaii_Coal	2040	base	22612341.631
Hawaii_Coal	2045	base	0.0
Hawaii_Diesel	2020	base	145916.246323
Hawaii_Diesel	2025	base	427001.819701
Hawaii_Diesel	2030	base	129482.973102
Hawaii_Diesel	2035	base	76658.4602856
Hawaii_Diesel	2040	base	15291.8
Hawaii_Diesel	2045	base	0.0
Hawaii_LNG	2020	bulk_10	0.0
Hawaii_LNG	2020	bulk_15	0.0
Hawaii_LNG	2020	bulk_20	0.0
Hawaii_LNG	2020	bulk_25	0.0
Hawaii_LNG	2020	bulk_30	0.0
Hawaii_LNG	2020	container_10	0.0
Hawaii_LNG	2020	container_15	0.0
Hawaii_LNG	2020	container_20	0.0
Hawaii_LNG	2020	container_25	0.0
Hawaii_LNG	2020	container_30	0.0
Hawaii_LNG	2025	bulk_10	0.0
Hawaii_LNG	2025	bulk_15	0.0
Hawaii_LNG	2025	bulk_20	0.0
Hawaii_LNG	2025	bulk_25	0.0
Hawaii_LNG	2025	bulk_30	0.0
Hawaii_LNG	2025	container_10	0.0
Hawaii_LNG	2025	container_15	0.0
Hawaii_LNG	2025	container_20	0.0
Hawaii_LNG	2025	container_25	0.0
Hawaii_LNG	2025	container_30	0.0
Hawaii_LNG	2030	bulk_10	0.0
Hawaii_LNG	2030	bulk_15	0.0
Hawaii_LNG	2030	bulk_20	0.0
Hawaii_LNG	2030	bulk_25	0.0
Hawaii_LNG	2030	bulk_30	0.0
Hawaii_LNG	2030	container_10	0.0
Hawaii_LNG	2030	container_15	0.0
Hawaii_LNG	2030	container_20	0.0
Hawaii_LNG	2030	container_25	0.0
Hawaii_LNG	2030	container_30	0.0
Hawaii_LNG	2035	bulk_10	0.0
Hawaii_LNG	2035	bulk_15	0.0
Hawaii_LNG	2035	bulk_20	0.0
Hawaii_LNG	2035	bulk_25	0.0
Hawaii_LNG	2035	bulk_30	0.0
Hawaii_LNG	2035	container_10	0.0
Hawaii_LNG	2035	container_15	0.0
Hawaii_LNG	2035	container_20	0.0
Hawaii_LNG	2035	container_25	0.0
Hawaii_LNG	2035	container_30	0.0
Hawaii_LNG	2040	bulk_10	0.0
Hawaii_LNG	2040	bulk_15	0.0
Hawaii_LNG	2040	bulk_20	0.0
Hawaii_LNG	2040	bulk_25	0.0
Hawaii_LNG	2040	bulk_30	0.0
Hawaii_LNG	2040	container_10	0.0
Hawaii_LNG	2040	container_15	0.0
Hawaii_LNG	2040	container_20	0.0
Hawaii_LNG	2040	container_25	0.0
Hawaii_LNG	2040	container_30	0.0
Hawaii_LNG	2045	bulk_10	0.0
Hawaii_LNG	2045	bulk_15	0.0
Hawaii_LNG	2045	bulk_20	0.0
Hawaii_LNG	2045	bulk_25	0.0
Hawaii_LNG	2045	bulk_30	0.0
Hawaii_LNG	2045	container_10	0.0
Hawaii_LNG	2045	container_15	0.0
Hawaii_LNG	2045	container_20	0.0
Hawaii_LNG	2045	container_25	0.0
Hawaii_LNG	2045	container_30	0.0
Hawaii_LSFO	2020	base	19914694.2221
Hawaii_LSFO	2025	base	13625430.0591
Hawaii_LSFO	2030	base	11757018.377
Hawaii_LSFO	2035	base	9785389.63222
Hawaii_LSFO	2040	base	8053489.45566
Hawaii_LSFO	2045	base	0.0
Hawaii_Pellet-Biomass	2020	base	0.0
Hawaii_Pellet-Biomass	2025	base	0.0
Hawaii_Pellet-Biomass	2030	base	0.0
Hawaii_Pellet-Biomass	2035	base	0.0
Hawaii_Pellet-Biomass	2040	base	0.0
Hawaii_Pellet-Biomass	2045	base	6466873.57785
