DemandResponseSpinningReserveDown_index_1,DemandResponseSpinningReserveDown_index_2,DemandResponseSpinningReserveDown_index_3,DemandResponseSpinningReserveDown
contingency,system_wide_balancing_area,2007011200,457.102156775458
contingency,system_wide_balancing_area,2007011202,470.7103421225174
contingency,system_wide_balancing_area,2007011204,487.34446378315215
contingency,system_wide_balancing_area,2007011206,821.8639627059024
contingency,system_wide_balancing_area,2007011208,788.14039649518
contingency,system_wide_balancing_area,2007011210,761.567539035836
contingency,system_wide_balancing_area,2007011212,759.5706925937174
contingency,system_wide_balancing_area,2007011214,768.8977875649356
contingency,system_wide_balancing_area,2007011216,805.5943499362452
contingency,system_wide_balancing_area,2007011218,963.6026050922019
contingency,system_wide_balancing_area,2007011220,865.921134935498
contingency,system_wide_balancing_area,2007011222,721.7534849547912
contingency,system_wide_balancing_area,2007011900,444.2158421943659
contingency,system_wide_balancing_area,2007011902,351.64602534490905
contingency,system_wide_balancing_area,2007011904,436.21004615838086
contingency,system_wide_balancing_area,2007011906,796.5966997985613
contingency,system_wide_balancing_area,2007011908,770.7001779231795
contingency,system_wide_balancing_area,2007011910,671.6910182938446
contingency,system_wide_balancing_area,2007011912,757.2744898080975
contingency,system_wide_balancing_area,2007011914,753.9796823856954
contingency,system_wide_balancing_area,2007011916,897.4144747802278
contingency,system_wide_balancing_area,2007011918,946.4785668787553
contingency,system_wide_balancing_area,2007011920,853.6644184533735
contingency,system_wide_balancing_area,2007011922,709.2454918249693
contingency,system_wide_balancing_area,2007021200,472.13721736105134
contingency,system_wide_balancing_area,2007021202,419.78668621041584
contingency,system_wide_balancing_area,2007021204,506.8436245361991
contingency,system_wide_balancing_area,2007021206,758.5050213161501
contingency,system_wide_balancing_area,2007021208,674.5282440787281
contingency,system_wide_balancing_area,2007021210,587.6145705683336
contingency,system_wide_balancing_area,2007021212,607.7543828464093
contingency,system_wide_balancing_area,2007021214,668.7736495576536
contingency,system_wide_balancing_area,2007021216,885.1298386705815
contingency,system_wide_balancing_area,2007021218,962.7650162665441
contingency,system_wide_balancing_area,2007021220,860.4581944837082
contingency,system_wide_balancing_area,2007021222,669.8043646789984
contingency,system_wide_balancing_area,2007050200,535.4409544479385
contingency,system_wide_balancing_area,2007050202,432.498986265258
contingency,system_wide_balancing_area,2007050204,508.5651616031591
contingency,system_wide_balancing_area,2007050206,802.8227767359504
contingency,system_wide_balancing_area,2007050208,810.9895261685433
contingency,system_wide_balancing_area,2007050210,616.5039956622054
contingency,system_wide_balancing_area,2007050212,688.1239241169427
