DemandResponseSpinningReserveUp_index_1	DemandResponseSpinningReserveUp_index_2	DemandResponseSpinningReserveUp_index_3	DemandResponseSpinningReserveUp
contingency	system_wide_balancing_area	2020012300	0.0
contingency	system_wide_balancing_area	2020012302	160.997602608
contingency	system_wide_balancing_area	2020012304	0.0
contingency	system_wide_balancing_area	2020012306	0.0
contingency	system_wide_balancing_area	2020012308	0.0
contingency	system_wide_balancing_area	2020012310	0.0
contingency	system_wide_balancing_area	2020012312	0.0
contingency	system_wide_balancing_area	2020012314	0.0
contingency	system_wide_balancing_area	2020012316	0.0
contingency	system_wide_balancing_area	2020012318	0.0
contingency	system_wide_balancing_area	2020012320	0.0
contingency	system_wide_balancing_area	2020012322	0.0
contingency	system_wide_balancing_area	2020022300	0.0
contingency	system_wide_balancing_area	2020022302	283.668822942
contingency	system_wide_balancing_area	2020022304	0.0
contingency	system_wide_balancing_area	2020022306	0.0
contingency	system_wide_balancing_area	2020022308	0.0
contingency	system_wide_balancing_area	2020022310	0.0
contingency	system_wide_balancing_area	2020022312	0.0
contingency	system_wide_balancing_area	2020022314	0.0
contingency	system_wide_balancing_area	2020022316	0.0
contingency	system_wide_balancing_area	2020022318	0.0
contingency	system_wide_balancing_area	2020022320	0.0
contingency	system_wide_balancing_area	2020022322	0.0
contingency	system_wide_balancing_area	2020032300	0.0
contingency	system_wide_balancing_area	2020032302	96.244540957
contingency	system_wide_balancing_area	2020032304	0.0
contingency	system_wide_balancing_area	2020032306	0.0
contingency	system_wide_balancing_area	2020032308	0.0
contingency	system_wide_balancing_area	2020032310	0.0
contingency	system_wide_balancing_area	2020032312	0.0
contingency	system_wide_balancing_area	2020032314	0.0
contingency	system_wide_balancing_area	2020032316	0.0
contingency	system_wide_balancing_area	2020032318	0.0
contingency	system_wide_balancing_area	2020032320	0.0
contingency	system_wide_balancing_area	2020032322	0.0
contingency	system_wide_balancing_area	2020042300	0.0
contingency	system_wide_balancing_area	2020042302	146.079635775
contingency	system_wide_balancing_area	2020042304	124.252628693
contingency	system_wide_balancing_area	2020042306	0.0
contingency	system_wide_balancing_area	2020042308	0.0
contingency	system_wide_balancing_area	2020042310	0.0
contingency	system_wide_balancing_area	2020042312	0.0
contingency	system_wide_balancing_area	2020042314	144.446028904
contingency	system_wide_balancing_area	2020042316	0.0
contingency	system_wide_balancing_area	2020042318	0.0
contingency	system_wide_balancing_area	2020042320	0.0
contingency	system_wide_balancing_area	2020042322	0.0
contingency	system_wide_balancing_area	2020052300	0.0
contingency	system_wide_balancing_area	2020052302	223.191585143
contingency	system_wide_balancing_area	2020052304	0.0
contingency	system_wide_balancing_area	2020052306	0.0
contingency	system_wide_balancing_area	2020052308	72.5804131504
contingency	system_wide_balancing_area	2020052310	0.0
contingency	system_wide_balancing_area	2020052312	0.0
contingency	system_wide_balancing_area	2020052314	0.0
contingency	system_wide_balancing_area	2020052316	0.0
contingency	system_wide_balancing_area	2020052318	0.0
contingency	system_wide_balancing_area	2020052320	0.0
contingency	system_wide_balancing_area	2020052322	119.627419069
contingency	system_wide_balancing_area	2020062300	0.0
contingency	system_wide_balancing_area	2020062302	0.0
contingency	system_wide_balancing_area	2020062304	0.0
contingency	system_wide_balancing_area	2020062306	0.0
contingency	system_wide_balancing_area	2020062308	0.0
