UNIT_CONTINGENCY_DISPATCH_POINTS_1,UNIT_CONTINGENCY_DISPATCH_POINTS_2,GenIsCommitted
Oahu_AES,2020012300,1.0
Oahu_AES,2020012302,1.0
Oahu_AES,2020012304,1.0
Oahu_AES,2020012306,1.0
Oahu_AES,2020012308,1.0
Oahu_AES,2020012310,1.0
Oahu_AES,2020012312,1.0
Oahu_AES,2020012314,1.0
Oahu_AES,2020012316,1.0
Oahu_AES,2020012318,1.0
Oahu_AES,2020012320,1.0
Oahu_AES,2020012322,1.0
Oahu_AES,2020022300,1.0
Oahu_AES,2020022302,1.0
Oahu_AES,2020022304,1.0
Oahu_AES,2020022306,1.0
Oahu_AES,2020022308,1.0
Oahu_AES,2020022310,1.0
Oahu_AES,2020022312,1.0
Oahu_AES,2020022314,1.0
Oahu_AES,2020022316,1.0
Oahu_AES,2020022318,1.0
Oahu_AES,2020022320,1.0
Oahu_AES,2020022322,1.0
Oahu_AES,2020032300,1.0
Oahu_AES,2020032302,1.0
Oahu_AES,2020032304,1.0
Oahu_AES,2020032306,1.0
Oahu_AES,2020032308,1.0
Oahu_AES,2020032310,1.0
Oahu_AES,2020032312,1.0
Oahu_AES,2020032314,1.0
Oahu_AES,2020032316,1.0
Oahu_AES,2020032318,1.0
Oahu_AES,2020032320,1.0
Oahu_AES,2020032322,1.0
Oahu_AES,2020042300,1.0
Oahu_AES,2020042302,1.0
Oahu_AES,2020042304,1.0
Oahu_AES,2020042306,1.0
Oahu_AES,2020042308,1.0
Oahu_AES,2020042310,1.0
Oahu_AES,2020042312,1.0
Oahu_AES,2020042314,1.0
Oahu_AES,2020042316,1.0
Oahu_AES,2020042318,1.0
Oahu_AES,2020042320,1.0
Oahu_AES,2020042322,1.0
Oahu_AES,2020052300,1.0
Oahu_AES,2020052302,1.0
Oahu_AES,2020052304,1.0
Oahu_AES,2020052306,1.0
Oahu_AES,2020052308,1.0
Oahu_AES,2020052310,1.0
Oahu_AES,2020052312,1.0
Oahu_AES,2020052314,1.0
Oahu_AES,2020052316,1.0
Oahu_AES,2020052318,1.0
Oahu_AES,2020052320,1.0
Oahu_AES,2020052322,1.0
Oahu_AES,2020062300,1.0
Oahu_AES,2020062302,1.0
Oahu_AES,2020062304,1.0
Oahu_AES,2020062306,1.0
Oahu_AES,2020062308,1.0
Oahu_AES,2020062310,1.0
Oahu_AES,2020062312,1.0
Oahu_AES,2020062314,1.0
Oahu_AES,2020062316,1.0
Oahu_AES,2020062318,1.0
Oahu_AES,2020062320,1.0
Oahu_AES,2020062322,1.0
Oahu_AES,2020072300,1.0
Oahu_AES,2020072302,1.0
Oahu_AES,2020072304,1.0
Oahu_AES,2020072306,1.0
Oahu_AES,2020072308,1.0
Oahu_AES,2020072310,1.0
Oahu_AES,2020072312,1.0
Oahu_AES,2020072314,1.0
Oahu_AES,2020072316,1.0
Oahu_AES,2020072318,1.0
Oahu_AES,2020072320,1.0
Oahu_AES,2020072322,1.0
Oahu_AES,2020082300,1.0
Oahu_AES,2020082302,1.0
Oahu_AES,2020082304,1.0
Oahu_AES,2020082306,1.0
Oahu_AES,2020082308,1.0
Oahu_AES,2020082310,1.0
Oahu_AES,2020082312,1.0
Oahu_AES,2020082314,1.0
Oahu_AES,2020082316,1.0
Oahu_AES,2020082318,1.0
Oahu_AES,2020082320,1.0
Oahu_AES,2020082322,1.0
Oahu_AES,2020092300,1.0
Oahu_AES,2020092302,1.0
Oahu_AES,2020092304,1.0
Oahu_AES,2020092306,1.0
Oahu_AES,2020092308,1.0
Oahu_AES,2020092310,1.0
Oahu_AES,2020092312,1.0
Oahu_AES,2020092314,1.0
Oahu_AES,2020092316,1.0
Oahu_AES,2020092318,1.0
Oahu_AES,2020092320,1.0
Oahu_AES,2020092322,1.0
Oahu_AES,2020102300,1.0
Oahu_AES,2020102302,1.0
Oahu_AES,2020102304,1.0
Oahu_AES,2020102306,1.0
Oahu_AES,2020102308,1.0
Oahu_AES,2020102310,1.0
Oahu_AES,2020102312,1.0
Oahu_AES,2020102314,1.0
Oahu_AES,2020102316,1.0
Oahu_AES,2020102318,1.0
Oahu_AES,2020102320,1.0
Oahu_AES,2020102322,1.0
Oahu_AES,2020112300,1.0
