ShiftDemand_index_1	ShiftDemand_index_2	ShiftDemand
Oahu	2020012300	56.6753238055
Oahu	2020012302	144.862892133
Oahu	2020012304	59.1967653267
Oahu	2020012306	-84.5770985082
Oahu	2020012308	31.6571068425
Oahu	2020012310	97.5922960991
Oahu	2020012312	81.7662757689
Oahu	2020012314	-89.2778489233
Oahu	2020012316	-30.1781667385
Oahu	2020012318	-105.470131556
Oahu	2020012320	-92.6331121705
Oahu	2020012322	-69.6143020798
Oahu	2020022300	148.809520696
Oahu	2020022302	279.9434667
Oahu	2020022304	132.594318954
Oahu	2020022306	-64.7589655597
Oahu	2020022308	-85.3055124018
Oahu	2020022310	-26.4162652474
Oahu	2020022312	26.3197600296
Oahu	2020022314	-46.4720426003
Oahu	2020022316	-95.2197261965
Oahu	2020022318	-101.108791232
Oahu	2020022320	-92.35295137
Oahu	2020022322	-76.0328117725
Oahu	2020032300	-17.1479145579
Oahu	2020032302	45.9006341147
Oahu	2020032304	-51.6543692637
Oahu	2020032306	10.047650396
Oahu	2020032308	91.4735778492
Oahu	2020032310	129.010984873
Oahu	2020032312	13.5759363908
Oahu	2020032314	118.452376632
Oahu	2020032316	-87.3855533215
Oahu	2020032318	-92.7325967885
Oahu	2020032320	-88.4421533878
Oahu	2020032322	-71.0985729368
Oahu	2020042300	138.179638977
Oahu	2020042302	143.740170408
Oahu	2020042304	68.1751721975
Oahu	2020042306	-82.0602367814
Oahu	2020042308	-96.2008508412
Oahu	2020042310	37.5220493398
Oahu	2020042312	94.7437692381
Oahu	2020042314	55.1863385497
Oahu	2020042316	-83.2094662461
Oahu	2020042318	-104.574769994
Oahu	2020042320	-98.1448140567
Oahu	2020042322	-73.35700079
Oahu	2020052300	124.857413437
Oahu	2020052302	167.000922495
Oahu	2020052304	88.1151008689
Oahu	2020052306	-89.776631985
Oahu	2020052308	15.7947889658
Oahu	2020052310	-110.00870721
Oahu	2020052312	26.2074561202
Oahu	2020052314	-17.4620345926
Oahu	2020052316	-47.4992691875
Oahu	2020052318	-101.873791232
Oahu	2020052320	-96.7405971192
Oahu	2020052322	41.3853494395
Oahu	2020062300	-59.5136959596
Oahu	2020062302	99.6382570919
Oahu	2020062304	149.266854011
Oahu	2020062306	-84.6560008238
Oahu	2020062308	27.7688761312
Oahu	2020062310	13.4172099928
Oahu	2020062312	84.8620971777
Oahu	2020062314	23.0994605354
Oahu	2020062316	33.8241397848
Oahu	2020062318	-104.85606844
Oahu	2020062320	-103.049320574
Oahu	2020062322	-79.8018089281
Oahu	2020072300	185.631015025
Oahu	2020072302	85.590747977
Oahu	2020072304	6.75679404899
Oahu	2020072306	-36.1562944404
Oahu	2020072308	6.90793002442
Oahu	2020072310	80.0016105743
Oahu	2020072312	46.3866747692
Oahu	2020072314	5.6910674633
Oahu	2020072316	-87.9805647357
Oahu	2020072318	-107.318044027
Oahu	2020072320	-103.687406845
Oahu	2020072322	-81.8235298347
Oahu	2020082300	52.418533122
Oahu	2020082302	-16.5391942673
Oahu	2020082304	-16.2194475727
Oahu	2020082306	-34.2031202236
Oahu	2020082308	34.5247476781
Oahu	2020082310	51.5979340926
Oahu	2020082312	86.108495982
Oahu	2020082314	45.5223059637
Oahu	2020082316	72.2728492524
Oahu	2020082318	-98.8389310923
Oahu	2020082320	-95.6279593093
Oahu	2020082322	-81.0162136255
Oahu	2020092300	-44.4461920864
Oahu	2020092302	161.95471309
Oahu	2020092304	146.968546499
Oahu	2020092306	-89.2917788262
Oahu	2020092308	16.8917690069
Oahu	2020092310	-64.5914028561
Oahu	2020092312	77.2743978558
Oahu	2020092314	46.0623969291
Oahu	2020092316	39.0402646699
Oahu	2020092318	-113.832604464
Oahu	2020092320	-99.8783757502
Oahu	2020092322	-76.1517340684
Oahu	2020102300	125.196752867
Oahu	2020102302	111.906210924
Oahu	2020102304	-32.8769124869
Oahu	2020102306	-86.0613693652
Oahu	2020102308	114.594712853
Oahu	2020102310	27.4002125818
Oahu	2020102312	30.1952223242
Oahu	2020102314	95.2927610482
Oahu	2020102316	-102.900937066
Oahu	2020102318	-110.237408765
