gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,multiple,2020,1506.8305919835448,3013661.183967093,2496827.7122595226
AES,multiple,2025,1476.8790185081393,2953758.0370162823,2449799.621409569
AES,multiple,2030,1453.536882719471,2907073.765438946,2412709.4715467747
AES,multiple,2035,1395.147114049224,2790294.22809845,2322380.7002657116
AES,multiple,2040,1294.8841119076938,2589768.2238153885,2153713.6553515354
AES,multiple,2045,320.97110049299994,641942.2009859999,0.0
Airport_DSG,multiple,2020,3.4090000000000003,127701.14000000001,2563.3315566300003
Airport_DSG,multiple,2025,0.0,0.0,0.0
Airport_DSG,multiple,2030,0.974,36486.04,734.458119772
Airport_DSG,multiple,2035,0.487,18243.02,367.229059886
Airport_DSG,multiple,2040,0.0,0.0,0.0
Airport_DSG,multiple,2045,0.0,0.0,0.0
Battery_4,Battery,2020,0.0,0.0,0.0
Battery_4,Battery,2025,75.58052145209939,0.0,0.0
Battery_4,Battery,2030,70.79050086480424,0.0,0.0
Battery_4,Battery,2035,42.2857877306557,0.0,0.0
Battery_4,Battery,2040,0.0,0.0,0.0
Battery_4,Battery,2045,0.0,0.0,0.0
Battery_6,Battery,2020,0.0,0.0,0.0
Battery_6,Battery,2025,0.0,0.0,0.0
Battery_6,Battery,2030,75.26209195786343,0.0,0.0
Battery_6,Battery,2035,336.13483246758267,0.0,0.0
Battery_6,Battery,2040,762.8081756452461,0.0,0.0
Battery_6,Battery,2045,1989.92217019086,0.0,0.0
Battery_Conting,Battery,2020,0.0,0.0,0.0
Battery_Conting,Battery,2025,0.0,0.0,0.0
Battery_Conting,Battery,2030,48.213,0.0,0.0
Battery_Conting,Battery,2035,40.30086486125812,0.0,0.0
Battery_Conting,Battery,2040,72.5415567502646,0.0,0.0
Battery_Conting,Battery,2045,0.0,0.0,0.0
Battery_Reg,Battery,2020,0.0,0.0,0.0
Battery_Reg,Battery,2025,0.0,0.0,0.0
Battery_Reg,Battery,2030,27.245834712156935,0.0,0.0
Battery_Reg,Battery,2035,5.584351875088375,0.0,0.0
Battery_Reg,Battery,2040,7.3841552249007005,0.0,0.0
Battery_Reg,Battery,2045,0.0,0.0,0.0
CC_152,multiple,2020,927.2740773852092,4163460.607459587,521532.83335875755
CC_152,multiple,2025,588.1238258573426,2640675.978099468,330638.06496163213
CC_152,multiple,2030,516.3773841248554,2318534.4547206014,289907.44577601535
CC_152,multiple,2035,381.799083549221,1714277.8851360027,215954.3241114081
CC_152,multiple,2040,230.50169716086756,1034952.6202522954,129355.31847970761
CC_152,multiple,2045,19.93400575,89503.68581750001,0.0
CIP_CT,multiple,2020,0.0,0.0,0.0
CIP_CT,multiple,2025,2.739375,111656.92499999999,3462.6856625
CIP_CT,multiple,2030,4.562294811301312,185959.13650864147,4651.680043864435
CIP_CT,multiple,2035,0.0,0.0,0.0
CIP_CT,multiple,2040,0.0,0.0,0.0
CIP_CT,multiple,2045,0.0,0.0,0.0
CentralTrackingPV,SUN,2020,573.9587500106809,0.0,0.0
CentralTrackingPV,SUN,2025,1194.5082899750207,0.0,0.0
CentralTrackingPV,SUN,2030,1317.6634189757451,0.0,0.0
CentralTrackingPV,SUN,2035,2005.0424575923207,0.0,0.0
CentralTrackingPV,SUN,2040,3492.96495913658,0.0,0.0
CentralTrackingPV,SUN,2045,3148.906629691585,0.0,0.0
FlatDistPV,SUN,2020,367.8497901641664,0.0,0.0
FlatDistPV,SUN,2025,354.1472276281095,0.0,0.0
FlatDistPV,SUN,2030,365.0408875383751,0.0,0.0
FlatDistPV,SUN,2035,358.37332092484104,0.0,0.0
FlatDistPV,SUN,2040,94.41079885938224,0.0,0.0
FlatDistPV,SUN,2045,2496.139339904686,0.0,0.0
H-Power,MSW,2020,375.1848000000005,6753326.3999999855,0.0
H-Power,MSW,2025,375.1848000000005,6753326.3999999855,0.0
H-Power,MSW,2030,375.1848000000005,6753326.3999999855,0.0
H-Power,MSW,2035,375.1848000000005,6753326.3999999855,0.0
H-Power,MSW,2040,375.1848000000005,6753326.3999999855,0.0
H-Power,MSW,2045,375.1848000000005,6753326.3999999855,0.0
Honolulu_8,multiple,2020,18.28207428405225,5850.263770896721,19084.270881497323
Honolulu_9,multiple,2020,13.713292488897226,4388.253596447113,14871.69921176274
IC_Barge,multiple,2020,0.0,0.0,0.0
IC_Barge,multiple,2025,0.0,0.0,0.0
IC_Barge,multiple,2030,0.0,0.0,0.0
IC_Barge,multiple,2035,0.0,0.0,0.0
IC_Barge,multiple,2040,0.0,0.0,0.0
IC_Barge,multiple,2045,0.0,0.0,0.0
IC_MCBH,multiple,2020,0.0,0.0,0.0
IC_MCBH,multiple,2025,0.0,0.0,0.0
IC_MCBH,multiple,2030,0.0,0.0,0.0
IC_MCBH,multiple,2035,0.0,0.0,0.0
