GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Oahu_AES,2020,AES,Oahu,multiple,180,0,2.89452e+07,1.35599e+07
Oahu_AES,2025,AES,Oahu,multiple,0,0,0,0
Oahu_AES,2030,AES,Oahu,multiple,0,0,0,0
Oahu_AES,2035,AES,Oahu,multiple,0,0,0,0
Oahu_AES,2040,AES,Oahu,multiple,0,0,0,0
Oahu_AES,2045,AES,Oahu,multiple,0,0,0,0
Oahu_Airport_DSG,2020,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Airport_DSG,2025,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Airport_DSG,2030,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Airport_DSG,2035,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Airport_DSG,2040,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Airport_DSG,2045,Airport_DSG,Oahu,multiple,8,0,262180,62220.5
Oahu_Battery_Bulk,2020,Battery_Bulk,Oahu,Battery,235.036,0.444528,7.68293e+06,8.13529e+06
Oahu_Battery_Bulk,2025,Battery_Bulk,Oahu,Battery,282.906,26.1687,9.42595e+06,9.27902e+06
Oahu_Battery_Bulk,2030,Battery_Bulk,Oahu,Battery,566.795,2017.73,5.65456e+07,1.47996e+07
Oahu_Battery_Bulk,2035,Battery_Bulk,Oahu,Battery,677.768,2572.26,6.57579e+07,1.29724e+07
Oahu_Battery_Bulk,2040,Battery_Bulk,Oahu,Battery,715.031,3915.91,9.05991e+07,1.32773e+07
Oahu_Battery_Bulk,2045,Battery_Bulk,Oahu,Battery,1032.29,7835.47,1.53517e+08,1.72549e+07
Oahu_Battery_Conting,2020,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Conting,2025,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Conting,2030,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Conting,2035,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Conting,2040,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Conting,2045,Battery_Conting,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2020,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2025,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2030,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2035,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2040,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_Battery_Reg,2045,Battery_Reg,Oahu,Battery,0,0,0,0
Oahu_CC_152,2020,CC_152,Oahu,multiple,150.586,0,1.94375e+07,2.60363e+06
Oahu_CC_152,2025,CC_152,Oahu,multiple,150.586,0,1.94375e+07,2.60363e+06
Oahu_CC_152,2030,CC_152,Oahu,multiple,150.586,0,1.94375e+07,2.60363e+06
