load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-01-12 00:00,707.027,0,646.601,0.24696,0,60.179
Oahu,2020-01-12 02:00,629.29,0,592.355,0,33.7617,3.17337
Oahu,2020-01-12 04:00,688.934,0,653.488,0,0,35.4462
Oahu,2020-01-12 06:00,821.864,0,913.182,0,0,-91.3182
Oahu,2020-01-12 08:00,1020.52,0,1004.81,0,0,15.7078
Oahu,2020-01-12 10:00,1148.63,0,1061.22,0,0,87.4071
Oahu,2020-01-12 12:00,1155.7,0,1064.04,0,0,91.6623
Oahu,2020-01-12 14:00,1121.57,0,1050.26,0,0,71.308
Oahu,2020-01-12 16:00,1029.29,0,1019.38,0,0,9.90979
Oahu,2020-01-12 18:00,963.603,0,1070.67,0,0,-107.067
Oahu,2020-01-12 20:00,865.921,0,962.135,0,0,-96.2135
Oahu,2020-01-12 22:00,721.753,0,801.948,0,0,-80.1948
Oahu,2020-01-19 00:00,651.766,0,608.879,0,0,42.8873
Oahu,2020-01-19 02:00,648.888,0,555.852,0,0,93.0358
Oahu,2020-01-19 04:00,690,0,625.672,0,0,64.3276
Oahu,2020-01-19 06:00,796.597,0,885.107,0,0,-88.5107
Oahu,2020-01-19 08:00,998.52,0,964.006,0.24696,33.7617,0.504817
Oahu,2020-01-19 10:00,1147.63,0,1010.74,0,0,136.897
Oahu,2020-01-19 12:00,1091.9,0,1027.32,0,0,64.5829
Oahu,2020-01-19 14:00,1088.29,0,1023.49,0,0,64.8086
Oahu,2020-01-19 16:00,897.414,0,997.127,0,0,-99.7127
Oahu,2020-01-19 18:00,946.479,0,1051.64,0,0,-105.164
Oahu,2020-01-19 20:00,853.664,0,948.516,0,0,-94.8516
Oahu,2020-01-19 22:00,709.245,0,788.051,0,0,-78.8051
Oahu,2020-02-12 00:00,509.565,0,545.253,0.24696,0,-35.9347
Oahu,2020-02-12 02:00,488.892,0,504.821,0,0,-15.9295
Oahu,2020-02-12 04:00,544.988,0,584.351,0,0,-39.3628
Oahu,2020-02-12 06:00,758.505,0,842.783,0,0,-84.2783
Oahu,2020-02-12 08:00,978.897,0,918.57,0,0,60.3275
Oahu,2020-02-12 10:00,1152.72,0,966.85,0,0,185.865
Oahu,2020-02-12 12:00,1167.83,0,986.435,0,0,181.394
Oahu,2020-02-12 14:00,1134.37,0,990.054,0.24696,20.7996,123.27
Oahu,2020-02-12 16:00,898.092,0,983.478,0,12.9621,-98.3478
