load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2020-01-23-00:00	589.274	0	0	532.599	0	0	56.6753
Oahu	2020-01-23-02:00	627.536	0	0	482.673	0	0	144.863
Oahu	2020-01-23-04:00	623.516	0	0	564.319	0	0	59.1968
Oahu	2020-01-23-06:00	772.571	0	0	845.771	0	11.3772	-84.5771
Oahu	2020-01-23-08:00	950.578	0	0	918.921	0	0	31.6571
Oahu	2020-01-23-10:00	1055.38	0	0	957.789	0	0	97.5923
Oahu	2020-01-23-12:00	1050.12	0	0	968.355	0	0	81.7663
Oahu	2020-01-23-14:00	977.203	0	0	959.756	0	106.725	-89.2778
Oahu	2020-01-23-16:00	921.87	0	0	952.049	0	0	-30.1782
Oahu	2020-01-23-18:00	949.231	0	0	1054.7	0	0	-105.47
Oahu	2020-01-23-20:00	833.698	0	0	926.331	0	0	-92.6331
Oahu	2020-01-23-22:00	626.529	0	0	696.143	0	0	-69.6143
Oahu	2020-02-23-00:00	739.34	0	0	572.736	0	17.7948	148.81
Oahu	2020-02-23-02:00	782.01	0	0	502.067	0	0	279.943
Oahu	2020-02-23-04:00	650.739	0	0	518.145	0	0	132.594
Oahu	2020-02-23-06:00	582.831	0	0	647.59	0	0	-64.759
Oahu	2020-02-23-08:00	868.057	0	0	853.055	0	100.307	-85.3055
Oahu	2020-02-23-10:00	911.51	0	0	937.926	0	0	-26.4163
Oahu	2020-02-23-12:00	967.482	0	0	941.162	0	0	26.3198
Oahu	2020-02-23-14:00	889.853	0	0	936.325	0	0	-46.472
Oahu	2020-02-23-16:00	856.978	0	0	952.197	0	0	-95.2197
Oahu	2020-02-23-18:00	909.979	0	0	1011.09	0	0	-101.109
Oahu	2020-02-23-20:00	831.177	0	0	923.53	0	0	-92.353
Oahu	2020-02-23-22:00	684.295	0	0	760.328	0	0	-76.0328
Oahu	2020-03-23-00:00	551.688	0	0	568.836	0	0	-17.1479
Oahu	2020-03-23-02:00	549.34	0	0	503.439	0	0	45.9006
Oahu	2020-03-23-04:00	464.889	0	0	516.544	0	0	-51.6544
Oahu	2020-03-23-06:00	619.181	0	0	609.133	0	0	10.0477
Oahu	2020-03-23-08:00	887.193	0	0	795.72	0	0	91.4736
Oahu	2020-03-23-10:00	982.889	0	0	853.878	0	0	129.011
Oahu	2020-03-23-12:00	930.497	0	0	862.135	0	54.7865	13.5759
Oahu	2020-03-23-14:00	976.493	0	0	858.041	0	0	118.452
Oahu	2020-03-23-16:00	849.785	0	0	873.856	0	63.3153	-87.3856
Oahu	2020-03-23-18:00	834.593	0	0	927.326	0	0	-92.7326
Oahu	2020-03-23-20:00	795.979	0	0	884.422	0	0	-88.4422
Oahu	2020-03-23-22:00	639.887	0	0	710.986	0	0	-71.0986
Oahu	2020-04-23-00:00	681.253	0	0	543.073	0	0	138.18
Oahu	2020-04-23-02:00	636.636	0	0	492.896	0	0	143.74
Oahu	2020-04-23-04:00	628.95	0	0	560.775	0	0	68.1752
Oahu	2020-04-23-06:00	738.791	0	0	820.602	0	0.249315	-82.0602
Oahu	2020-04-23-08:00	938.321	0	0	962.009	0	72.5135	-96.2009
Oahu	2020-04-23-10:00	1066.47	0	0	1028.95	0	0	37.522
Oahu	2020-04-23-12:00	1147.09	0	0	1052.35	0	0	94.7438
Oahu	2020-04-23-14:00	1112.46	0	0	1057.27	0	0	55.1863
Oahu	2020-04-23-16:00	1006.49	0	0	1044.36	0	45.339	-83.2095
Oahu	2020-04-23-18:00	941.173	0	0	1045.75	0	0	-104.575
Oahu	2020-04-23-20:00	883.303	0	0	981.448	0	0	-98.1448
Oahu	2020-04-23-22:00	660.213	0	0	733.57	0	0	-73.357
Oahu	2020-05-23-00:00	740.086	0	0	615.228	0	0	124.857
Oahu	2020-05-23-02:00	728.908	0	0	561.907	0	0	167.001
Oahu	2020-05-23-04:00	729.518	0	0	641.403	0	0	88.1151
Oahu	2020-05-23-06:00	807.99	0	0	897.766	0	0	-89.7766
Oahu	2020-05-23-08:00	1057.8	0	0	1042.01	0	0	15.7948
Oahu	2020-05-23-10:00	1108.18	0	0	1100.09	0	118.102	-110.009
Oahu	2020-05-23-12:00	1137.97	0	0	1111.76	0	0	26.2075
Oahu	2020-05-23-14:00	1081	0	0	1098.46	0	0	-17.462
Oahu	2020-05-23-16:00	999.769	0	0	1047.27	0	0	-47.4993
Oahu	2020-05-23-18:00	916.864	0	0	1018.74	0	0	-101.874
Oahu	2020-05-23-20:00	870.665	0	0	967.406	0	0	-96.7406
Oahu	2020-05-23-22:00	823.806	0	0	782.421	0	0	41.3853
Oahu	2020-06-23-00:00	614.527	0	0	595.137	0	78.904	-59.5137
Oahu	2020-06-23-02:00	641.007	0	0	541.369	0	0	99.6383
Oahu	2020-06-23-04:00	761.271	0	0	612.004	0	0	149.267
Oahu	2020-06-23-06:00	801.102	0	0	846.56	0	39.1979	-84.656
Oahu	2020-06-23-08:00	1031.21	0	0	1003.44	0	0	27.7689
Oahu	2020-06-23-10:00	1097.29	0	0	1083.87	0	0	13.4172
Oahu	2020-06-23-12:00	1191.3	0	0	1106.43	0	0	84.8621
Oahu	2020-06-23-14:00	1131.56	0	0	1108.46	0	0	23.0995
Oahu	2020-06-23-16:00	1114.78	0	0	1080.96	0	0	33.8241
Oahu	2020-06-23-18:00	943.705	0	0	1048.56	0	0	-104.856
Oahu	2020-06-23-20:00	927.444	0	0	1030.49	0	0	-103.049
Oahu	2020-06-23-22:00	718.216	0	0	798.018	0	0	-79.8018
Oahu	2020-07-23-00:00	839.853	0	0	654.222	0	0	185.631
Oahu	2020-07-23-02:00	680.179	0	0	594.588	0	0	85.5907
Oahu	2020-07-23-04:00	663.289	0	0	656.532	0	0	6.75679
Oahu	2020-07-23-06:00	849.637	0	0	885.794	0	0	-36.1563
Oahu	2020-07-23-08:00	1039.05	0	0	1032.14	0	0	6.90793
Oahu	2020-07-23-10:00	1193.9	0	0	1113.9	0	0	80.0016
Oahu	2020-07-23-12:00	1248.73	0	0	1130.49	0	71.8543	46.3867
Oahu	2020-07-23-14:00	1130.09	0	0	1124.4	0	0	5.69107
Oahu	2020-07-23-16:00	1020.76	0	0	1108.74	0	0	-87.9806
Oahu	2020-07-23-18:00	965.862	0	0	1073.18	0	0	-107.318
Oahu	2020-07-23-20:00	933.187	0	0	1036.87	0	0	-103.687
Oahu	2020-07-23-22:00	782.659	0	0	818.235	0	46.2475	-81.8235
Oahu	2020-08-23-00:00	697.721	0	0	645.303	0	0	52.4185
Oahu	2020-08-23-02:00	557.843	0	0	574.382	0	0	-16.5392
Oahu	2020-08-23-04:00	573.566	0	0	589.785	0	0	-16.2194
Oahu	2020-08-23-06:00	683.678	0	0	717.881	0	0	-34.2031
Oahu	2020-08-23-08:00	988.852	0	0	933.169	0	21.1575	34.5247
Oahu	2020-08-23-10:00	1065.18	0	0	1013.58	0	0	51.5979
Oahu	2020-08-23-12:00	1105.92	0	0	1019.81	0	0	86.1085
Oahu	2020-08-23-14:00	1059.25	0	0	1013.73	0	0	45.5223
Oahu	2020-08-23-16:00	1077.2	0	0	1004.92	0	0	72.2728
Oahu	2020-08-23-18:00	932.857	0	0	988.389	0	43.3064	-98.8389
Oahu	2020-08-23-20:00	876.642	0	0	956.28	0	15.9904	-95.628
Oahu	2020-08-23-22:00	766.793	0	0	810.162	0	37.6475	-81.0162
Oahu	2020-09-23-00:00	557.941	0	0	602.387	0	0	-44.4462
Oahu	2020-09-23-02:00	717.892	0	0	555.937	0	0	161.955
Oahu	2020-09-23-04:00	788.886	0	0	641.918	0	0	146.969
Oahu	2020-09-23-06:00	803.626	0	0	892.918	0	0	-89.2918
Oahu	2020-09-23-08:00	1044.3	0	0	1027.41	0	0	16.8918
Oahu	2020-09-23-10:00	1128.89	0	0	1085.51	0	107.97	-64.5914
Oahu	2020-09-23-12:00	1189.84	0	0	1112.56	0	0	77.2744
Oahu	2020-09-23-14:00	1160.08	0	0	1114.02	0	0	46.0624
Oahu	2020-09-23-16:00	1127.03	0	0	1087.99	0	0	39.0403
Oahu	2020-09-23-18:00	1024.49	0	0	1138.33	0	0	-113.833
Oahu	2020-09-23-20:00	898.905	0	0	998.784	0	0	-99.8784
Oahu	2020-09-23-22:00	695.498	0	0	761.517	0	10.1323	-76.1517
Oahu	2020-10-23-00:00	721.786	0	0	596.589	0	0	125.197
Oahu	2020-10-23-02:00	659.61	0	0	547.704	0	0	111.906
Oahu	2020-10-23-04:00	656.794	0	0	613.673	0	75.9975	-32.8769
Oahu	2020-10-23-06:00	774.552	0	0	860.614	0	0	-86.0614
Oahu	2020-10-23-08:00	1101.44	0	0	986.846	0	0	114.595
Oahu	2020-10-23-10:00	1075.1	0	0	1047.7	0	0	27.4002
Oahu	2020-10-23-12:00	1100.93	0	0	1070.73	0	0	30.1952
Oahu	2020-10-23-14:00	1160.46	0	0	1065.16	0	0	95.2928
