generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_4,2020,Oahu,0.5037,2.0148,0.5037,2.0148
Oahu_Battery_4,2025,Oahu,35.2972,141.189,35.8009,143.203
Oahu_Battery_4,2030,Oahu,0,0,35.8009,143.203
Oahu_Battery_4,2035,Oahu,0,0,35.2972,141.189
Oahu_Battery_4,2040,Oahu,0,0,0,0
Oahu_Battery_4,2045,Oahu,0,0,0,0
Oahu_Battery_6,2020,Oahu,0,0,0,0
Oahu_Battery_6,2025,Oahu,0,0,0,0
Oahu_Battery_6,2030,Oahu,39.5403,237.242,39.5403,237.242
Oahu_Battery_6,2035,Oahu,142.388,854.327,181.928,1091.57
Oahu_Battery_6,2040,Oahu,198.02,1188.12,379.948,2279.69
Oahu_Battery_6,2045,Oahu,654.869,3929.22,995.277,5971.66
Oahu_Battery_Conting,2020,Oahu,180,0,180,0
Oahu_Battery_Conting,2025,Oahu,0,0,180,0
Oahu_Battery_Conting,2030,Oahu,0,0,180,0
Oahu_Battery_Conting,2035,Oahu,147.662,0,147.662,0
Oahu_Battery_Conting,2040,Oahu,0,0,147.662,0
Oahu_Battery_Conting,2045,Oahu,0,0,147.662,0
Oahu_Battery_Reg,2020,Oahu,81.3403,0,81.3403,0
Oahu_Battery_Reg,2025,Oahu,8.29784,0,89.6381,0
Oahu_Battery_Reg,2030,Oahu,8.54308,0,98.1812,0
Oahu_Battery_Reg,2035,Oahu,0,0,16.8409,0
Oahu_Battery_Reg,2040,Oahu,0,0,8.54308,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
